MedCodeId	Term	OriginalReadCode	CleansedReadCode	SnomedCTConceptId	SnomedCTDescriptionId	Release	EmisCodeCategoryId
257620012	Hb. A1C 7-10% - borderline	42W2	42W2.00	165680008	257620012		11
257621011	Hb. A1C > 10% - bad control	42W3	42W3.00	165681007	257621011		11
451418011	Haemoglobin A1 level	44TC	44TC.00	1003681000000106	2577721000000116		34
1927791000006119	Raised HbA1c level	EMISNQRA16		1927791000006103	1927791000006119		11
404444016	Hb. A1C - diabetic control	42W	42W..00	269823000	1206383011		11
453910015	HbA1 - diabetic control	42c	42c..00	365845005	1206639010		11
457954013	HbA1c level (DCCT aligned)	42W4	42W4.00	1019431000000105	2566161000000115		11
817481000006113	HbA1 > 10% - bad control	42c2	42c2.00	165681007	2767754019		11
1700711000006113	Haemoglobin A1c level - IFCC standardised	42W5	42W5.00	999791000000106	2572901000000113		11
817471000006110	HbA1 < 7% - good control	42c0	42c0.00	165679005	2770693019		11
3199161000006117	Haemoglobin A1c measurement	^ESCTHA319916		43396009	72395012		11
4595401000006118	Hemoglobin A1c (HbA1c) greater than 10% indicating poor diabetic control	^ESCTHE459540		165681007	2773408014		11
4595381000006118	Haemoglobin A1c (HbA1c) greater than 10% indicating poor diabetic control	^ESCTHA459538		165681007	2767753013		11
4595331000006119	Hemoglobin A1c between 7%-10% indicating borderline diabetic control	^ESCTHE459533		165680008	2768431010		11
6280411000006114	Hemoglobin A1C - diabetic control finding	^ESCTHE628041		365845005	489331011		11
3199181000006110	HbA1c - Haemoglobin A1c level	^ESCTHB319918		43396009	493589010		31
4595301000006110	Haemoglobin A1c (HbA1c) less than 7% indicating good diabetic control	^ESCTHA459530		165679005	2773783018		11
3199171000006112	Hemoglobin A1c measurement	^ESCTHE319917		43396009	72394011		31
4595341000006112	Hemoglobin A1c (HbA1c) between 7%-10% indicating borderline diabetic control	^ESCTHE459534		165680008	2770714019		11
3199191000006113	HbA1c - Hemoglobin A1c level	^ESCTHB319919		43396009	493590018		31
4595391000006115	Hemoglobin A1c greater than 10% indicating poor diabetic control	^ESCTHE459539		165681007	2767755018		11
4595261000006118	Haemoglobin A1c less than 7% indicating good diabetic control	^ESCTHA459526		165679005	4595261000006118		11
804121000006112	Glycosylated Hb	42W-1	42W..11	269823000	1206383011		11
5513671000006116	Hemoglobin A1C - diabetic control interpretation	^ESCTHE551367		269823000	404443010		11
4595351000006114	Haemoglobin A1c (HbA1c) between 7%-10% indicating borderline diabetic control	^ESCTHA459535		165680008	2772787010		11
2154205011	Total glycosylated haemoglobin level	44TL	44TL.00	1013511000000100	2574561000000110		34
803891000006119	Glycated haemoglobin	42W-2	42W..12	269823000	1206383011		11
817491000006111	HbA1 7 - 10% - borderline control	42c1	42c1.00	165680008	2768430011		11
4595291000006114	Hemoglobin A1c (HbA1c) less than 7% indicating good diabetic control	^ESCTHE459529		165679005	2772122013		11
129761000000114	Haemoglobin A1c level	44TB	44TB.00	1003671000000109	2560611000000113		34
257619018	Hb. A1C < 7% - good control	42W1	42W1.00	165679005	257619018		11
457953019	HbA1 level (DCCT aligned)	42c3	42c3.00	1019551000000104	2583661000000115		11
3199201000006111	Haemoglobin A1c level	^ESCTHA319920		43396009	129761000000114		31
257623014	Hb. A1C - diabetic control NOS	42WZ	42WZ.00	269823000	404444016		11
11926761000006112	Hemoglobin A1c less than 7% indicating good diabetic control	^ESCT1192676		165679005	2769803019		11
