medcodeid	term_medcode
251923016	H/O: kidney recipient
4542501000006119	History of renal transplant
4542521000006112	History of - kidney recipient
460644012	History of renal transplant
4669011000006116	Live donor renal allotransplant
4669031000006110	Live donor renal allograft
272320011	Allotransplantation of kidney from live donor
90471000006113	Live donor renal transplant
272325018	Cadaveric renal transplant
478131000006115	Allotransplantation of kidney from cadaver
4669061000006118	Cadaver renal allograft
90461000006118	Transplantation of kidney from cadaver
4669051000006115	Cadaver renal allotransplant
399381000000115	Allotransplantation of kidney from cadaver NEC
117168016	Renal transplant
866751000006110	Kidney replacement
272326017	Other specified transplantation of kidney
272327014	Transplantation of kidney NOS
3647071000006110	Tx - Kidney transplantation
3647061000006115	Kidney transplant
3647051000006117	Tx - Renal transplantation
501594013	Transplantation of kidney
3647091000006111	Renal graft
3647031000006112	Kidney transplantation
866731000006115	Kidney replacement NOS
3647021000006114	Transplant of kidney
278835013	Compensation for renal failure NOS
5488801000006112	Kidney dialysis
877641000006113	Extracorporeal kidney
5488811000006110	Artificial kidney dialysis
394640016	Renal dialysis
619541000006116	Dialysis for renal failure
106291000006118	Thomas intravascular shunt for dialysis
5907581000006118	Extracorporeal haemodialysis
5907571000006116	Extracorporeal hemodialysis
5907541000006112	HD - Hemodialysis
5907561000006111	Haemodialysis procedure
278832011	Haemodialysis
5907531000006119	Hemodialysis procedure
5907591000006115	Hemodialysis
5907551000006114	HD - Haemodialysis
3657891000006116	PD - Peritoneal dialysis
375841000000114	Peritoneal dialysis NEC
118218017	Peritoneal dialysis
394639018	Compensation for renal failure
278834012	Other specified compensation for renal failure
228131000006117	Placement ambulatory dialysis apparatus - compens renal fail
773041000006111	Insertion of chronic ambulatory peritoneal dialysis catheter
228101000006113	Placement ambulatory apparatus compensation renal failure
4694051000006116	Removal of chronic ambulatory peritoneal dialysis catheter
181021000006119	Removal of ambulatory peritoneal dialysis catheter
228211000006117	Placement other apparatus for compensation for renal failure
228221000006113	Placement other apparatus- compensate for renal failure NOS
228231000006111	Placement other apparatus- compensate for renal failure OS
278844014	Insertion of temporary peritoneal dialysis catheter
282526013	Intestinal dialysis
446291000006111	Accidental cut/puncture/perf/haem'ge during renal dialysis
441151000006115	Accidental cut, puncture, perforation or haemorrhage during kidney dialysis
4898631000006119	Accidental cut, puncture, perforation or hemorrhage during kidney dialysis
329116017	Failure of sterile precautions during kidney dialysis
663551000006118	Failure of sterile precautions during renal dialysis
384641000006114	[X]Failure sterile precautions dur kidney dialys/other perf
460680012	Dialysis finding
5307111000006113	Dialysis observation
461420012	Dialysis procedure
4152501000006114	Dialysis procedure
4543021000006113	History of renal dialysis
251957012	H/O: renal dialysis
251956015	H/O: kidney dialysis
7174851000006111	CKD stage 5
304111000000114	Chronic kidney disease stage 5
2767154014	Chronic kidney disease stage 5
7688001000006116	Allotransplantation of kidney with DBD (donation after brain stem death)
372621000000114	Allotransplantation of kidney from beating heart cadaver
1549841000006116	Allotransplantation of kidney from non-beating heart cadaver
7688041000006119	Allotransplantation of kidney with DCD (donation after cardiac death)
5486891000006118	Removal of transplanted kidney
394365013	Transplant nephrectomy
1905531000006112	Excision of rejected transplanted kidney
5686451000006112	Removal of rejected kidney
422992018	Excision of rejected transplanted kidney
272389014	Exploration of renal transplant
4669451000006113	Exploration of kidney transplant
380101000000116	Examination of recipient after kidney transplant
7091541000006113	Post-transplantation of kidney examination of recipient
380061000000118	Interventions associated with transplantation of kidney NOS
7688541000006114	Transplantation of kidney regime
1550021000006110	OS interventions associated with transplantation of kidney
366671000000118	Interventions associated with transplantation of kidney
2692168016	Automated peritoneal dialysis
357219012	Continuous ambulatory peritoneal dialysis
5120171000006118	CAPD - Continuous ambulatory peritoneal dialysis
5120141000006114	Flushing of chronic ambulatory peritoneal dialysis catheter
1705621000000113	Flushing of peritoneal dialysis catheter
7118431000006118	Infection of arteriovenous graft for haemodialysis
7118451000006113	Infection of dialysis graft
7118441000006111	Infection of arteriovenous graft for hemodialysis
2240321000000114	Infection of dialysis arteriovenous graft
7367731000006118	Infection of HD arteriovenous fistula
1870801000006111	Infection of haemodialysis arteriovenous fistula
7367691000006114	Infection of haemodialysis arteriovenous fistula
7367721000006116	Infection of HD AV fistula
11930831000006111	Infection of hemodialysis arteriovenous fistula
7367741000006111	Infection of arteriovenous fistula for haemodialysis
7367701000006114	Infection of arteriovenous fistula for hemodialysis
641471000006117	End stage renal failure
