medcodeid	term_medcode
476611000006116	Alcoholic cirrhosis of liver
6947471000006110	Alcoholic liver cirrhosis
6947461000006115	Alcoholic cirrhosis
126721013	Florid cirrhosis
2576980018	Portal cirrhosis
6941931000006112	Laennec's cirrhosis
2579818016	Laennec's cirrhosis
303442010	Portal cirrhosis unspecified
6941941000006119	PC - Portal cirrhosis
3165691000006115	ALD - Alcoholic liver disease
303399018	Alcoholic liver damage
3165681000006118	Alcoholic liver disease
396390012	Multilobular portal cirrhosis
493707012	Hypertrophic portal cirrhosis
3206871000006111	Macronodular cirrhosis
3206891000006112	PNC - Postnecrotic cirrhosis
731231000006114	Macronodular cirrhosis of liver
3206901000006111	Multilobar cirrhosis
211821000006111	Postnecrotic cirrhosis of liver
303419015	Diffuse nodular cirrhosis
303420014	Fatty portal cirrhosis
303425016	Capsular portal cirrhosis
396391011	Cardiac portal cirrhosis
123999018	Congestive cirrhosis
3713571000006114	Congestive cirrhosis
3713561000006119	Cardiac cirrhosis
396392016	Juvenile portal cirrhosis
303404016	Autoimmune chronic active hepatitis
553311000006111	Chronic aggressive hepatitis
4787151000006116	CAH - Chronic aggressive hepatitis
303401012	Chronic active hepatitis
4787131000006111	CAH - Chronic active hepatitis
550431000006116	Childhood function cirrhosis
2598551000006118	ICC - Indian childhood cirrhosis
11267010	Indian childhood cirrhosis
2598561000006116	Cirrhosis-familial with pulmonary hypertension
303437019	Bacterial portal cirrhosis
4787261000006114	Zooparasitic portal cirrhosis
303440019	Zooparasitic portal cirrhosis
303441015	Infectious cirrhosis
396393014	Non-alcoholic cirrhosis NOS
5493051000006111	Cirrhosis of liver not due to alcohol
221111000000114	Cirrhosis - non-alcoholic
5493041000006114	Cirrhosis, nonalcoholic
603321000006118	Cryptogenic cirrhosis
303781011	[X]Other and unspecified cirrhosis of liver
2816681000006110	CL - Cirrhosis of liver
2816671000006112	Hepatic cirrhosis
353613017	Cirrhosis of liver
353621011	Laennec's cirrhosis, non-alcoholic
5086991000006115	Laennec cirrhosis, non-alcoholic
3515871000006112	Fibrosis of liver
103853010	Hepatic fibrosis
820381000006112	Hepatic fibrosis
21289010	Secondary biliary cirrhosis
303452014	Biliary cirrhosis of children
303453016	Biliary cirrhosis NOS
2526461000006113	Chronic nonsuppurative destructive cholangitis
4044018	Biliary cirrhosis
