medcodeid	term_medcode
8032721000006117	Chronic kidney disease due to hypertension
2668041000006115	Malignant hypertension complicating AND/OR reason for care during childbirth
2670511000006119	Benign hypertension
9324411000006114	Eclampsia with pre-existing hypertension in childbirth
9324421000006118	Eclampsia with pre-existing hypertension in labour and delivery
9324431000006115	Eclampsia with pre-existing hypertension in labor and delivery
9325301000006118	Preexisting hypertensive heart and chronic kidney disease in childbirth
9325291000006119	Pre-existing hypertensive heart and chronic kidney disease in mother complicating childbirth
9325321000006111	Pre-existing hypertensive heart disease in mother complicating childbirth
9325331000006114	Preexisting hypertensive heart disease in childbirth
9325351000006119	Preexisting hypertensive heart and chronic kidney disease in pregnancy
9325341000006116	Pre-existing hypertensive heart and chronic kidney disease in mother complicating pregnancy
9325521000006118	Pre-existing hypertensive heart disease in mother complicating pregnancy
9325531000006115	Preexisting hypertensive heart disease in pregnancy
8034201000006113	Cardiomyopathy due to hypertension
8035251000006111	End stage renal disease due to hypertension
8035261000006113	ESRD (End stage renal disease) due to hypertension
2681651000006116	Pulmonary hypertensive arterial disease
43850011	Pulmonary arterial hypertension
2681661000006119	Hypertensive pulmonary arterial disease
8036941000006111	Chronic kidney disease stage 1 due to hypertension
8037161000006110	Pre-existing hypertensive chronic kidney disease in mother complicating pregnancy
8037171000006115	Preexisting hypertensive chronic kidney disease in pregnancy
3135013	Benign essential hypertension
299683014	Renovascular hypertension
4356081000006115	Hypertension due to renovascular disease
610811000006114	Defective synthesis of 11B hydroxylase
4361271000006110	Adrenogenital disorder due to 11-beta-hydroxylase deficiency
4361261000006115	11-beta-hydroxylase deficiency
4361251000006117	Hypertensive congenital adrenal hyperplasia
4361221000006114	Deficiency of steroid 11-beta-monooxygenase
4361231000006112	Deficiency of steroid 11-beta-hydroxylase
4361291000006111	Congenital adrenal hyperplasia, type 3
4361241000006119	Steroid 11-beta-monooxygenase deficiency
4361281000006113	CAH - 11 beta-hydroxylase deficiency
8040331000006118	Hypertension concurrent and due to end stage renal disease on dialysis due to type 2 diabetes mellitus
8040341000006111	Hypertension concurrent and due to end stage renal disease on dialysis due to type 1 diabetes mellitus
8040661000006119	Chronic kidney disease stage 4 due to hypertension
8040671000006114	Chronic kidney disease stage 5 due to hypertension
8040681000006112	Chronic kidney disease stage 3 due to hypertension
8040691000006110	Chronic kidney disease stage 2 due to hypertension
8041701000006119	Hypertensive emergency
8044011000006117	Hypertension in chronic kidney disease stage 5 due to type 2 diabetes mellitus
8044021000006113	Hypertension in chronic kidney disease stage 5 due to type II diabetes mellitus
8044051000006116	Hypertension in chronic kidney disease stage 4 due to type II diabetes mellitus
8044041000006118	Hypertension in chronic kidney disease stage 4 due to type 2 diabetes mellitus
8044061000006119	Hypertension in chronic kidney disease stage 3 due to type 2 diabetes mellitus
8044071000006114	Hypertension in chronic kidney disease stage 3 due to type II diabetes mellitus
8044081000006112	Hypertension in chronic kidney disease stage 2 due to type 2 diabetes mellitus
8044091000006110	Hypertension in chronic kidney disease stage 2 due to type II diabetes mellitus
2521841000006119	Hypertensive heart AND renal disease complicating AND/OR reason for care during childbirth
2737251000006112	Renal sclerosis with hypertension
8047971000006118	Malignant hypertensive chronic kidney disease stage 5
8048001000006110	End stage renal disease on dialysis due to hypertension
251674014	H/O: hypertension
4540441000006117	History of hypertension
9897511000006110	Labile systemic arterial hypertension
264485019	Treatment for hypertension started
4634851000006119	Treatment for hypertension started
12488211000006112	Hypertension treatm. started
12487991000006113	Hypertensive treatm.changed
264486018	Hypertensive treatment changed
4634871000006112	Hypertensive treatment changed
