medcodeid	term_medcode
810811000006116	H/O: myocardial infarct at less than 60
4540461000006118	History of myocardial infarct at age less than sixty
4540481000006111	History of myocardial infarct at age greater than sixty
810821000006112	H/O: myocardial infarct at greater than 60
3576391000006116	Postmyocardial infarction pericarditis
109915012	Post-myocardial infarction syndrome
109916013	Dressler's syndrome
3576371000006117	Postmyocardial infarction syndrome
4031011	Old myocardial infarction
2526351000006116	Healed coronary
4032016	Healed myocardial infarction
6619201000006117	Previous myocardial infarction
6619191000006115	Past history of myocardial infarction
1738171000006114	History of myocardial infarction
230021000006115	Personal history of myocardial infarction
256452010	ECG: myocardial infarction
256460011	ECG: myocardial infarct NOS
4586031000006113	Electrocardiogram finding of infarction
4586041000006115	Electrocardiographic myocardial infarction
4586051000006118	EKG: myocardial infarction
3641641000006116	Acute myocardial infarction of anterolateral wall
455641000006112	Acute anterolateral myocardial infarction
299707016	Acute anterior myocardial infarction
299709018	Anterior myocardial infarction NOS
3381601000006117	Acute myocardial infarction of anterior wall
3343471000006116	Acute anteroapical myocardial infarction
299708014	Acute anteroapical infarction
455651000006114	Acute anteroseptal myocardial infarction
3565871000006113	Acute myocardial infarction of inferolateral wall
457531000006110	Acute inferolateral myocardial infarction
3745741000006117	Acute myocardial infarction of inferoposterior wall
1234005010	Acute inferoposterior infarction
299710011	Acute posterior myocardial infarction
299711010	Acute lateral myocardial infarction
3452181000006112	Acute myocardial infarction of lateral wall
299712015	True posterior myocardial infarction
4775881000006117	True posterior wall infarction
3645351000006114	Acute nontransmural infarction
116992017	Acute subendocardial infarction
3699911000006119	Acute myocardial infarction of diaphragmatic wall
3699921000006110	Acute inferior myocardial infarction
299714019	Acute myocardial infarction of inferior wall
94884017	Acute myocardial infarction
299720018	Other acute myocardial infarction NOS
299721019	Acute myocardial infarction NOS
460681000006116	Acute transmural myocardial infarction of unspecif site
3427201000006111	AMI - Acute myocardial infarction
362461000006119	[X]Acute transmural myocardial infarction of unspecif site
299718016	Other acute myocardial infarction
884141000006116	Coronary thrombosis
219531000000117	MI - acute myocardial infarction
884151000006119	Myocardial Infarction
299719012	Acute atrial infarction
4775891000006119	Acute myocardial infarction of atrium
3784911000006111	Acute myocardial infarction of septum
1234306015	Acute septal infarction
3784921000006115	Acute myocardial infarction of septum alone
299813018	Subsequent myocardial infarction of other sites
118831000006118	Subsequent myocardial infarction of unspecified site
300882013	[X]Subsequent myocardial infarction of unspecified site
4776171000006116	Reinfarction of myocardium
299808017	Subsequent myocardial infarction
300881018	[X]Subsequent myocardial infarction of other sites
299811016	Subsequent myocardial infarction of anterior wall
299812011	Subsequent myocardial infarction of inferior wall
6348651000006112	Myocardial infarction with complication
543291000006110	Myocardial infarction with complication
12220751000006113	Hemopericardium due to and following acute myocardial infarction
4776221000006110	Hemopericardium as current complication following acute myocardial infarction
813961000006116	Haemopericardium as current complication following acute myocardial infarction
12220761000006110	Haemopericardium due to and following acute myocardial infarction
12220771000006115	Atrial septal defect due to and following acute myocardial infarction
498031000006112	Atrial septal defect as current complication following acute myocardial infarction
4776251000006118	Rupture of cardiac wall without hemopericardium as current complication following acute myocardial infarction
