medcodeid	term_medcode
2524111000006113	Postnatal infantile hemiplegia
72531016	Infantile hemiplegia
297232013	Infantile hemiplegia NOS
542541000006112	Cerebral atonia
740431000006115	Littles disease
1815981000006110	Cerebral palsy NOS
4405181000006112	CP - Cerebral palsy
4405191000006110	Cerebral palsy (CP)
297238012	Other infantile cerebral palsy NOS
297239016	Congenital cerebral palsy NOS
411453017	Congenital cerebral palsy
297233015	Other congenital cerebral palsy
206411014	Cerebral palsy
345771011	Infantile cerebral palsy
1815971000006112	Other cerebral palsy
299394017	[X]Other infantile cerebral palsy
543071000006115	Cerebral palsy with spastic diplegia
5012361000006114	Infantile spastic cerebral palsy
5012351000006112	Little's disease
411454011	Congenital spastic cerebral palsy
345773014	Spastic cerebral palsy
5012321000006115	Pyramidal cerebral palsy
5012331000006117	Congenital spastic paralysis
5012341000006110	Spastic infantile paralysis
5614181000006116	Ataxic cerebral palsy
297234014	Ataxic infantile cerebral palsy
4769391000006119	Hypotonic cerebral palsy
761411000006111	Flaccid infantile cerebral palsy
451123015	Cerebral palsy, not congenital or infantile, acute
297210016	Hemiplegia NOS
3319161000006112	Hemiplegia (paralysis on one side)
84272011	Hemiplegia
820131000006114	Hemiparesis
2818091000006116	Weakness of one side of body
302151000000117	Hemiparesis NOS
33703013	Hemiparesis
2818101000006110	Hemiparesis (weakness on one side)
134251013	Flaccid hemiplegia
132112014	Spastic hemiplegia
415147018	Left hemiplegia
5611491000006112	LT - Left hemiplegia
5611521000006114	Left hemiparesis
415152011	Left sided weakness
415146010	Right hemiplegia
415149015	Right sided weakness
5611501000006116	Right hemiparesis
19943011	Quadriplegia
19944017	Tetraplegia
3381201000006115	Bulbar palsy
3381211000006117	PBP - Progressive bulbar palsy
90263012	Progressive bulbar palsy
3381191000006118	Bulbar paralysis
134744017	Primary lateral sclerosis
3101701000006117	Motor neuron disease
3101721000006110	MND - Motor neurone disease
486695013	Motor neurone disease
297130012	Motor neurone disease NOS
695191000006119	Multiple sclerosis of the brain stem
4769281000006110	Multiple sclerosis of the brainstem
4769291000006113	Brain stem multiple sclerosis
297177019	Multiple sclerosis of the spinal cord
297179016	Generalised multiple sclerosis
4769321000006116	Generalized multiple sclerosis
297180018	Exacerbation of multiple sclerosis
4769341000006111	Multiple sclerosis (MS) exacerbation
41398015	Multiple sclerosis
297181019	Multiple sclerosis NOS
2894411000006110	MS - Multiple sclerosis
