medcodeid	term_medcode
2681651000006116	Pulmonary hypertensive arterial disease
43850011	Pulmonary arterial hypertension
2681661000006119	Hypertensive pulmonary arterial disease
146259010	Secondary pulmonary hypertension
350517010	Thromboembolic pulmonary hypertension
5057801000006113	Chronic thromboembolic pulmonary hypertension
137888010	Eisenmenger's complex
4824421000006117	Eisenmenger complex
3654631000006113	Pulmonary hypertension
3654641000006115	PHT - Pulmonary hypertension
5057711000006119	Solitary pulmonary hypertension
5057721000006110	Small vessel pulmonary hypertension
5057731000006113	Sporadic primary pulmonary hypertension
5057741000006115	Familial primary pulmonary hypertension
5057771000006111	Pulmonary arterial hypertension caused by drug
5057751000006118	Pulmonary arterial hypertension induced by drug
5057761000006116	Drug-induced pulmonary hypertension
5057781000006114	Pulmonary hypertension caused by drug
5057791000006112	Large vessel pulmonary hypertension
5057821000006115	Pulmonary hypertension in vasculitis
5057831000006117	Post-arteritic pulmonary hypertension
3953331000006118	Pulmonary veno-occlusive disease
5057841000006110	Pulmonary capillary haemangiomatosis
5057851000006112	Pulmonary capillary hemangiomatosis
5057861000006114	Pulmonary hypertension associated with chronic underventilation
5590571000006111	Pulmonary hypertension with extreme obesity
7316011000006113	Eisenmenger's syndrome
7316021000006117	Eisenmenger syndrome
5590591000006112	Facultative pulmonary hypertension with shunt at atrial level
6214751000006112	Pulmonary hypertension secondary to raised pulmonary vascular resistance
5590581000006114	Pulmonary hypertension with occult mitral stenosis
5057891000006118	Pulmonary hypertension due to chronic exposure to high altitude
5057901000006119	High altitude pulmonary hypertension
2587351000006111	Hypertensive pulmonary venous disease
2587341000006114	Pulmonary hypertensive venous disease
2674471000006117	Progressive pulmonary hypertension
3852881000006110	Eisenmenger defect
3852871000006112	Eisenmenger's defect
3920791000006111	Episodic pulmonary hypertension
5056151000006119	PFC - Persistent fetal circulation
5056141000006116	Persistent pulmonary hypertension of the newborn
5056161000006117	PPHN - Persistent pulmonary hypertension in newborn
5056171000006112	PFC - Persistent foetal circulation
5060851000006117	Familial pulmonary capillary haemangiomatosis
5060861000006115	Familial pulmonary capillary hemangiomatosis
6214691000006113	Post-capillary pulmonary hypertension
6214701000006113	Postcapillary pulmonary hypertension
2598551000006118	ICC - Indian childhood cirrhosis
11267010	Indian childhood cirrhosis
2598561000006116	Cirrhosis-familial with pulmonary hypertension
