medcodeid	term_medcode
3930661000006110	Transplant of lung
90511000006115	LTx - Lung transplant
268099017	Other specified transplantation of lung
268100013	Transplantation of lung NOS
861571000006118	Lung transplant
31211000006119	Orthotopic transplantation of liver
4661761000006116	Orthotopic transplantation of liver
4661751000006118	Orthotopic liver transplant
376141000000113	Orthotopic transplantation of liver NEC
225661000006111	Piggy back liver transplant
4661791000006112	Piggy-back liver transplant
822591000006117	Heterotopic liver transplant
500401000006116	Auxillary liver transplant
4661781000006114	Auxiliary liver transplant
270232016	Replacement of previous liver transplant
2786011000006112	Hepatic transplantation
2786021000006116	LTx - Liver transplant
2786001000006114	Tx - Liver transplantation
270234015	Transplantation of liver NOS
30458014	Transplantation of liver
270233014	Other specified transplantation of liver
864281000006116	Liver transplant
864291000006118	Total hepatectomy
4663311000006116	Whole organ pancreatic transplant
270614012	Transplantation of whole pancreas
270615013	Transplantation of tail of pancreas
474471011	Transplantation of islets of Langerhans
4410641000006115	Islet cell transplant
4410651000006118	Transplantation of islet cells
103777013	Transplantation of pancreas
864761000006115	Pancreas transplant
1227663018	[V]Pancreas transplanted
270618010	Transplantation of pancreas NOS
3515071000006117	Pancreatic transplant
270617017	Other specified transplantation of pancreas
270768010	Transplantation of heart and lung NOS
4663791000006113	Allotransplant of heart and lung
270767017	Other specified transplantation of heart and lung
478111000006114	Allotransplantation of heart and lung
5043991000006117	Cadaveric heart transplant
5043981000006115	Allotransplant of heart
270770018	Allotransplantation of heart NEC
4663811000006112	Xenotransplant of heart
55971000006117	Xenotransplantation of heart
4663831000006118	Auxiliary heart transplant
4663841000006111	Piggy-back heart transplant
4663821000006116	Heterotopic allotransplant of heart
225671000006116	Piggyback transplantation of heart
270777015	Other specified other transplantation of heart
3022121000006117	Heart transplant
3022131000006119	CTx - Cardiac transplant
3022141000006112	HtTx - Heart transplant
3022111000006113	Heart transplantation
3022151000006114	HTx - Heart transplant
270776012	Revision of transplantation of heart NEC
270778013	Other transplantation of heart NOS
270769019	Transplantation of heart
117168016	Renal transplant
866751000006110	Kidney replacement
272326017	Other specified transplantation of kidney
272327014	Transplantation of kidney NOS
3647071000006110	Tx - Kidney transplantation
3647061000006115	Kidney transplant
3647051000006117	Tx - Renal transplantation
501594013	Transplantation of kidney
3647091000006111	Renal graft
3647031000006112	Kidney transplantation
866731000006115	Kidney replacement NOS
3647021000006114	Transplant of kidney
4669011000006116	Live donor renal allotransplant
4669031000006110	Live donor renal allograft
272320011	Allotransplantation of kidney from live donor
90471000006113	Live donor renal transplant
272325018	Cadaveric renal transplant
478131000006115	Allotransplantation of kidney from cadaver
4669061000006118	Cadaver renal allograft
90461000006118	Transplantation of kidney from cadaver
4669051000006115	Cadaver renal allotransplant
399381000000115	Allotransplantation of kidney from cadaver NEC
282927013	Transplant immunosuppression
424791000006110	[X]Renal tubulo-interstitial disorders/transplant rejection
177341000006111	Renal tubulo-interstitial disorders in transplant rejection
354610013	Renal transplant rejection
615611000006116	Det.ren.func.after ren.transpl
900121000006113	Renal transplant rejected
403103015	Transplanted organ failure
324971018	Transplanted organ rejection
324970017	Transplant rejection
324973015	Kidney transplant failure and rejection
988961000006115	Renal transplant rejected
324974014	Heart transplant failure and rejection
324975010	Heart-lung transplant failure and rejection
324976011	Liver transplant failure and rejection
251920018	H/O: tissue/organ recipient
4542461000006119	History of organ transplant
460643018	[V]Transplanted organ or tissue
1227661016	[V]Transplanted organ
251931014	H/O:tissue/organ recipient NOS
4542451000006116	History of being a tissue or organ recipient
1227660015	[V]Transplanted tissue
4542441000006118	History of - tissue/organ recipient
460653017	[V]Unspecified transplanted organ or tissue
251923016	H/O: kidney recipient
4542501000006119	History of renal transplant
4542521000006112	History of - kidney recipient
460644012	History of renal transplant
4542541000006117	History of heart recipient
460645013	[V]Heart transplanted
251924010	H/O: heart recipient
4542691000006113	History of being lung transplant recipient
4542681000006110	History of - lung recipient
460650019	[V]Lung transplanted
4542701000006113	History of lung transplant
251930010	H/O: lung recipient
3527364013	Transplanted liver present
3532180010	Liver transplant recipient
12458801000006116	[V]Liver transplanted
460651015	Transplanted liver present
361931000000119	Limbal stem cell transplantation
348550016	Double lung transplant
5039331000006115	DLTx - Double lung transplant
348547019	Single lung transplant
5039311000006114	SLTx - Single lung transplant
384021000000118	Other specified transplantation of ileum
379021000000114	Transplantation of ileum NOS
2676199010	Transplantation of ileum
2676200013	Orthotopic transplantation of whole liver
352929018	Exploration of liver transplant
3023061000006115	Heart-lung transplant with recipient cardiectomy-pneumonectomy
3023081000006113	Heart and lung transplant
90421000006112	Transplantation of heart and lung
3023071000006110	HLTx - Heart lung transplant
7688001000006116	Allotransplantation of kidney with DBD (donation after brain stem death)
372621000000114	Allotransplantation of kidney from beating heart cadaver
1549841000006116	Allotransplantation of kidney from non-beating heart cadaver
7688041000006119	Allotransplantation of kidney with DCD (donation after cardiac death)
353974015	Xenograft renal transplant
380061000000118	Interventions associated with transplantation of kidney NOS
7688541000006114	Transplantation of kidney regime
1550021000006110	OS interventions associated with transplantation of kidney
366671000000118	Interventions associated with transplantation of kidney
380101000000116	Examination of recipient after kidney transplant
7091541000006113	Post-transplantation of kidney examination of recipient
2160027017	Transplantation surgery
354628010	Acute-on-chronic rejection of renal transplant
354616019	Acute rejection of renal transplant - grade I
354617011	Acute rejection of renal transplant - grade II
354618018	Acute rejection of renal transplant - grade III
354615015	Acute rejection of renal transplant
354621016	Chronic transplant nephropathy
5096141000006114	Chronic allograft nephropathy
354619014	Chronic rejection of renal transplant
413415016	Unexplained episode of renal transplant dysfunction
1227662011	[V]Intestine transplanted
7254681000006118	Transplantation of intestine
461519016	[X]Transplanted organ and tissue status, unspecified
461518012	Transplant present
460652010	Transplant present
3532183012	Transplant recipient
251929017	H/O: liver recipient
4542661000006117	History of liver recipient
270612011	Transplantation of pancreas and duodenum
270616014	Renewal of transplanted pancreatic tissue
270621012	Excision of transplanted pancreas
4663371000006113	Transplanted pancreas pancreatectomy
270766014	Revision of transplantation of heart and lung
5039351000006110	Double lung transplant en bloc
5039341000006113	Double lung transplant as a block
5039371000006117	BSSLTx - Bilateral sequential single lung transplant
5039361000006112	Bilateral sequential single lung transplant
5056471000006118	Accelerated coronary artery disease in transplanted heart
5057551000006110	Cardiac transplant disorder
5057561000006112	Complication of transplanted heart
5057571000006117	Cardiac transplant rejection
5057581000006119	Cardiac transplant failure
5087201000006117	Liver transplant disorder
5087211000006119	Liver transplant rejection
5087221000006110	Liver transplant failure
7103511000006119	Disorder related to renal transplantation
5096031000006117	Primary non-function of renal transplant
5096051000006112	Hyperacute rejection of renal transplant
354612017	Accelerated rejection of renal transplant
354613010	Very mild acute rejection of renal transplant
354614016	Borderline changes of acute rejection
5096171000006118	Mild chronic transplant nephropathy
354623018	Chronic rejection of renal transplant - grade 1
5096191000006117	Moderate chronic transplant nephropathy
354624012	Chronic rejection of renal transplant - grade II
354627017	Chronic rejection of renal transplant - grade III
5096211000006116	Severe chronic transplant nephropathy
5096231000006110	Failed renal transplant
5096241000006117	Perfusion injury of renal transplant
354631011	De novo transplant disease
5096271000006113	Transplant glomerulopathy
5096281000006111	Transplant glomerulopathy - early form
5096291000006114	Transplant glomerulopathy - late form
5096601000006116	Escape of urine from transplanted ureter
5096641000006119	Perirenal and periureteric post-transplant lymphocele
