medcodeid	term_medcode	category
104563015	Cerebrovascular disease	unclassifiable
106392017	Basilar artery syndrome	ischaemic
106394016	Vertebrobasilar insufficiency	unclassifiable
1160471000000111	Stroke 6 month review	unclassifiable
11843931000006117	Cerebrovascular accident due to stenosis of right carotid artery	ischaemic
11843941000006110	Cerebrovascular accident due to stenosis of left carotid artery	ischaemic
11865051000006118	Cerebrovascular accident due to occlusion of right carotid artery	ischaemic
118689010	Cerebral thrombosis	ischaemic
11878511000006113	Cerebrovascular accident due to occlusion of cerebral artery	ischaemic
11903571000006110	Stroke due to intracerebral haemorrhage	haemorrhagic
11919571000006110	[X]Other intracerebral haemorrhage	haemorrhagic
11923791000006114	Subarachnoid hemorrhage following injury without open intracranial wound	haemorrhagic
12113981000006117	Aphasia due to and following haemorrhagic cerebrovascular accident	unclassifiable
12113991000006119	Aphasia as late effect of hemorrhagic cerebrovascular accident	unclassifiable
12114001000006111	Aphasia due to and following hemorrhagic cerebrovascular accident	unclassifiable
12114011000006114	Aphasia as late effect of haemorrhagic cerebrovascular accident	unclassifiable
1212072018	Occlusive stroke	ischaemic
12222971000006119	Occlusion of precerebral artery	ischaemic
12223101000006118	Intracerebral haemorrhage	haemorrhagic
12223111000006115	Intracerebral hemorrhage	haemorrhagic
12223121000006111	ICH - intracerebral haemorrhage	haemorrhagic
12223131000006114	ICH - intracerebral hemorrhage	haemorrhagic
1222398015	Cerebral arterial occlusion	ischaemic
122361000006113	Stroke due to cerebral arterial occlusion	ischaemic
122371000006118	Cerebral haemorrhage	haemorrhagic
122401000006115	Stroke unspecified	ischaemic
1227591017	[V]Personal history of stroke	ischaemic
1227592012	[V]Personal history of cerebrovascular accident (CVA)	ischaemic
123281000006117	Subarachnoid haemorrhage following injury with open intracranial wound AND prolonged loss of consciousness (more than 24 hours) AND return to pre-existing conscious level	haemorrhagic
123291000006119	Subarachnoid haemorrhage following injury with open intracranial wound AND prolonged loss of consciousness (more than 24 hours) without return to pre-existing conscious level	haemorrhagic
123301000006118	Subarach h'ge inj + open intracran wnd+LOC unspec duration	haemorrhagic
123311000006115	Subarach h'ge inj no open intracran wnd + concussion unspec	haemorrhagic
123321000006111	Subarach h'ge inj no open intracran wnd+>24hrs LOC-restored	haemorrhagic
123331000006114	Subarach h'ge inj no open intracran wnd+LOC unspec duration	haemorrhagic
123341000006116	Subarachnoid haemorrhage following injury with open intracranial wound AND moderate loss of consciousness (1-24 hours)	haemorrhagic
123351000006119	Subarachnoid h'ge inj + open intracran wnd+concussion unspec	haemorrhagic
123361000006117	Subarachnoid h'ge inj + open intracran wound + unspec consc	haemorrhagic
123371000006112	Subarachnoid haemorrhage following injury with open intracranial wound AND brief loss of consciousness (less than one hour)	haemorrhagic
123381000006110	Subarachnoid haemorrhage following injury with open intracranial wound, with no loss of consciousness	haemorrhagic
123391000006113	Subarachnoid h'ge inj no open intracran wnd+<1hr loss consc	haemorrhagic
123401000006110	Subarachnoid h'ge inj no open intracran wnd+>24 LOC+recovery	haemorrhagic
123411000006113	Subarachnoid h'ge inj no open intracran wnd+no loss consc	haemorrhagic
123421000006117	Subarachnoid h'ge inj no open intracran wound + 1-24hr LOC	haemorrhagic
123431000006119	Subarachnoid h'ge inj no open intracran wound + unspec consc	haemorrhagic
123441000006112	Subarachnoid haemorrh from intracranial artery, unspecif	haemorrhagic
123481000006118	Subarachnoid haemorrhage from anterior communicating artery	haemorrhagic
123491000006115	Subarachnoid haemorrhage from basilar artery	haemorrhagic
123511000006114	Subarachnoid haemorrhage from middle cerebral artery	haemorrhagic
123521000006118	Subarachnoid haemorrhage from posterior communicating artery	haemorrhagic
125470015	Cerebral embolism	ischaemic
126301000006113	Stenosis of precerebral artery	unclassifiable
12722481000006116	Right sided intracerebral haemorrhage, unspecified	haemorrhagic
12758611000006110	Right sided intracerebral hemorrhage, unspecified	haemorrhagic
12761901000006117	Subarachnoid hemorrhage	haemorrhagic
12762021000006116	Cerebral hemorrhage	haemorrhagic
13031191000006112	Cerebral hemorrhage	haemorrhagic
130375018	Lateral medullary syndrome	ischaemic
138981000000113	Exception reporting - stroke quality indicators	unclassifiable
139081000000117	Excepted from stroke quality indicators - patient unsuitable	unclassifiable
139091000000115	Excepted from stroke quality indicators - informed dissent	unclassifiable
149551000006111	Sequelae of other nontraumatic intracranial haemorrhage	unclassifiable
149571000006118	Sequelae of stroke,not specfd as h'morrhage or infarction	unclassifiable
149701000006118	Sequelae/other + unspecified cerebrovascular diseases	unclassifiable
158118014	Cerebellar infarction	ischaemic
163261000006119	Right sided intracerebral haemorrhage, unspecified	haemorrhagic
1780304018	CVA annual review	unclassifiable
1784651000006110	Referral for multidisciplinary stroke function improvement declined	unclassifiable
200591000006119	Puerperal cerebrovascular disorder - delivered with postnatal complication	ischaemic
200621000006117	Puerperal cerebrovascular disorder with antenatal complication	ischaemic
200631000006119	Puerperal cerebrovascular disorder with postnatal complication	ischaemic
2115821000000118	Stroke self-management plan review	unclassifiable
2118011000000114	Stroke self-management plan agreed	unclassifiable
2126181000000114	Stroke annual review	unclassifiable
2127781000000110	Stroke initial post discharge review	unclassifiable
218511000000117	Infarction - cerebral	ischaemic
2474651019	Infarction of basal ganglia	ischaemic
2476091017	H/O: stroke	ischaemic
2476647018	Vertebral artery compression syndrome	unclassifiable
2520541000006112	Intracranial hemorrhage	haemorrhagic
2534196010	Stroke/transient ischaemic attack monitoring third letter	unclassifiable
2534198011	Subdural haemorrhage	unclassifiable
2534212018	Stroke/transient ischaemic attack monitoring second letter	unclassifiable
2534253014	Stroke/transient ischaemic attack monitoring first letter	unclassifiable
2539131000006116	Stroke rehabilitation	unclassifiable
2548554013	Haemorrhagic stroke monitoring	unclassifiable
2622631000006114	Intrapontine haemorrhage	haemorrhagic
2622641000006116	Intrapontine hemorrhage	haemorrhagic
2622651000006119	Pontine hemorrhage	haemorrhagic
264499015	Stroke monitoring	unclassifiable
267311000006118	Occlusion and stenosis of multiple and bilateral cerebral arteries	ischaemic
267321000006114	Occlusion and stenosis of cerebral arteries, not resulting in cerebral infarction	ischaemic
2818821000006111	Occlusion of cerebral artery	ischaemic
2832651000006111	Subcortical haemorrhage	haemorrhagic
2832661000006113	Subcortical hemorrhage	haemorrhagic
