ProdCodeId	dmdid	Term.from.EMIS	ProductName	Formulation	RouteOfAdministration	DrugSubstanceName	SubstanceStrength	BNFChapter	Release	name	drug_substance
10044541000033113	28279611000001109	Insulin degludec 100units/ml / Liraglutide 3.6mg/ml solution for injection 3ml pre-filled disposable devices	Insulin degludec 100units/ml / Liraglutide 3.6mg/ml solution for injection 3ml pre-filled disposable devices	Solution for injection	Subcutaneous	Insulin degludec/ Liraglutide	100.000unit/1.000ml + 100.000unit/1.000ml + 3.600mg/1.000ml	6010203		degludec	Basal insulin
10044641000033114	28054311000001106	Xultophy 100units/ml / 3.6mg/ml solution for injection 3ml pre-filled pens (Novo Nordisk Ltd)	Xultophy 100units/ml / 3.6mg/ml solution for injection 3ml pre-filled pens	Solution for injection	Subcutaneous	Insulin degludec/ Liraglutide	100.000unit/1.000ml + 100.000unit/1.000ml + 3.600mg/1.000ml	6010203		degludec	Basal insulin
10252641000033111	28989711000001106	Insulin lispro 200units/ml solution for injection 3ml pre-filled disposable devices	Insulin lispro 200units/ml solution for injection 3ml pre-filled disposable devices	Solution for injection	Subcutaneous	Insulin lispro	200.000unit/1.000ml + 200.000unit/1.000ml			lispro	Bolus insulin
10252741000033119	28926811000001100	Humalog KwikPen 200units/ml solution for injection 3ml pre-filled pens (Eli Lilly and Company Ltd)	Humalog KwikPen 200units/ml solution for injection 3ml pre-filled pens	Solution for injection	Subcutaneous	Insulin lispro	200.000unit/1.000ml + 200.000unit/1.000ml			lispro	Bolus insulin
10494241000033110	29903611000001103	Insulin glargine 300units/ml solution for injection 1.5ml pre-filled disposable devices	Insulin glargine 300units/ml solution for injection 1.5ml pre-filled disposable devices	Solution for injection	Subcutaneous	Insulin glargine	300.000unit/1.000ml + 300.000unit/1.000ml			glargine	Basal insulin
10494441000033111	29866811000001104	Toujeo 300units/ml solution for injection 1.5ml pre-filled SoloStar pens (Sanofi)	Toujeo 300units/ml solution for injection 1.5ml pre-filled SoloStar pens	Solution for injection	Subcutaneous	Insulin glargine	300.000unit/1.000ml + 300.000unit/1.000ml			glargine	Basal insulin
1052941000033117		Human Mixtard 10 Injection	Human Mixtard 10 Injection							mixtard	Intermediate insulin
1053041000033110		Human Mixtard 20 Injection	Human Mixtard 20 Injection							mixtard	Intermediate insulin
1053141000033114		Human Mixtard 40 Injection	Human Mixtard 40 Injection							mixtard	Intermediate insulin
1053241000033119		Human Mixtard 50 Injection	Human Mixtard 50 Injection							mixtard	Intermediate insulin
1053541000033117		Human Mixtard 30 Injection (cartridges) 100 u/ml	Human Mixtard 30 Injection (cartridges) 100 u/ml							mixtard	Intermediate insulin
10600641000033118	30172211000001102	Abasaglar 100units/ml solution for injection 3ml cartridges (Eli Lilly and Company Ltd)	Abasaglar 100units/ml solution for injection 3ml cartridges	Solution for injection	Subcutaneous	Insulin glargine	100.000unit/1.000ml + 100.000unit/1.000ml			glargine	Basal insulin
10600741000033110	30171811000001105	Abasaglar KwikPen 100units/ml solution for injection 3ml pre-filled pens (Eli Lilly and Company Ltd)	Abasaglar KwikPen 100units/ml solution for injection 3ml pre-filled pens	Solution for injection	Subcutaneous	Insulin glargine	100.000unit/1.000ml + 100.000unit/1.000ml			glargine	Basal insulin
1061641000033113		Human Mixtard 30 Preloaded pen	Human Mixtard 30 Preloaded pen							mixtard	Intermediate insulin
1061741000033116		Human Mixtard 10 Preloaded pen	Human Mixtard 10 Preloaded pen							mixtard	Intermediate insulin
1061841000033114		Human Mixtard 20 Preloaded pen	Human Mixtard 20 Preloaded pen							mixtard	Intermediate insulin
1061941000033118		Human Mixtard 40 Preloaded pen	Human Mixtard 40 Preloaded pen							mixtard	Intermediate insulin
1062041000033112		Human Mixtard 50 Preloaded pen	Human Mixtard 50 Preloaded pen							mixtard	Intermediate insulin
