MedCodeId	Term	OriginalReadCode	CleansedReadCode	SnomedCTConceptId	SnomedCTDescriptionId	Release	EmisCodeCategoryId
302011	Diabetic peripheral angiopathy	G73y0	G73y000	127014009	302011		32
9093013	Diabetic retinopathy	F420	F420.00	4855003	9093013		32
19931010	Brittle diabetes	66AJ1	66AJ100	11530004	19931010		1
65526011	Diabetic amyotrophy	F3813-1	F381311	39058009	65526011		32
73294018	Diabetic cataract	F4640	F464000	43959009	73294018		32
82373015	Diabetic polyneuropathy	F372-1	F372.11	49455004	82373015		32
98476015	Proliferative diabetic retinopathy	F4201	F420100	59276001	98476015		32
197761014	Type 2 diabetes mellitus	C10F	C10F.00	44054006	197761014		32
251591016	H/O: diabetes mellitus	1434	1434.00	161445009	251591016		32
264676010	Diabetic monitoring	66A	66A..00	170742000	264676010		1
264677018	Initial diabetic assessment	66A1	66A1.00	170743005	264677018		1
264678011	Follow-up diabetic assessment	66A2	66A2.00	170744004	264678011		1
264679015	Diabetic on diet only	66A3	66A3.00	170745003	264679015		1
264682013	Diabetic on insulin	66A5	66A5.00	170747006	264682013		1
264693010	Has seen dietician - diabetes	66A8	66A8.00	170752001	264693010		1
264695015	Understands diet - diabetes	66A9	66A9.00	170753006	264695015		1
264707013	Diabetic - good control	66AI	66AI.00	170763003	264707013		1
264717015	Diabetic - cooperative patient	66AK	66AK.00	170769004	264717015		1
264719017	Diabetic - follow-up default	66AM	66AM.00	170771004	264719017		1
264723013	Diabetes: practice programme	66AP	66AP.00	170774007	264723013		1
264724019	Diabetes: shared care programme	66AQ	66AQ.00	170775008	264724019		1
264728016	Annual diabetic blood test	66AT	66AT.00	170778005	264728016		1
282570016	Diabetic stabilisation	8A13	8A13.00	182781000	282570016		32
283027015	Diabetic leaflet given	8CE0	8CE0.00	183097007	283027015		32
283584016	Non-urgent diabetic admission	8H3O	8H3O.00	183506001	283584016		40
283620017	Referral to diabetologist	8H4F	8H4F.00	183530004	283620017		40
283889016	Diabetology D.V. requested	8HKE	8HKE.00	183722003	283889016		40
285223014	Seen in diabetic clinic	9N1Q	9N1Q.00	185229005	285223014		37
285752011	Refuses diabetes monitoring	9OL2	9OL2.00	185754009	285752011		37
285759019	Diabetes monitoring deleted	9OL9	9OL9.00	185761008	285759019		37
292482014	Diabetes mellitus, juvenile type, with hyperosmolar coma	C1020	C102000	190330002	292482014		32
292483016	Diabetes mellitus, adult onset, with hyperosmolar coma	C1021	C102100	190331003	292483016		32
292540012	Type 1 diabetes mellitus with ulcer	C10E5	C10E500	190368000	292540012		32
292551012	Type I diabetes mellitus maturity onset	C10E9-1	C10E911	190372001	292551012		32
292553010	Type 1 diabetes mellitus maturity onset	C10E9	C10E900	190372001	292553010		32
292576013	Type II diabetes mellitus with multiple complications	C10F3-1	C10F311	190388001	292576013		32
292577016	Type 2 diabetes mellitus with multiple complications	C10F3	C10F300	190388001	292577016		32
292606016	Malnutrition-related diabetes mellitus with ketoacidosis	C10A1	C10A100	190406000	292606016		32
292612014	Malnutrition-related diabetes mellitus without complications	C10A7	C10A700	190412005	292612014		32
297492014	Diabetic mononeuritis multiplex	F3450	F345000	193141005	297492014		32
297550019	Acute painful diabetic neuropathy	F3720	F372000	193183000	297550019		32
297551015	Chronic painful diabetic neuropathy	F3721	F372100	193184006	297551015		32
297552010	Asymptomatic diabetic neuropathy	F3722	F372200	193185007	297552010		32
297964010	Diabetic iritis	F4407	F440700	193489006	297964010		32
303846016	Nephrotic syndrome in diabetes mellitus	K01x1	K01x100	197605007	303846016		32
306108017	Diabetes mellitus during pregnancy - baby delivered	L1801	L180100	199225007	306108017		32
306110015	Diabetes mellitus during pregnancy - baby not yet delivered	L1803	L180300	199227004	306110015		32
306113018	Pre-existing diabetes mellitus, non-insulin-dependent	L1806	L180600	199230006	306113018		32
308360012	Cellulitis in diabetic foot	M0372	M037200	200687002	308360012		32
309177010	Ischaemic ulcer diabetic foot	M2710	M271000	201250006	309177010		32
309179013	Neuropathic diabetic ulcer - foot	M2711	M271100	201251005	309179013		32
309180011	Mixed diabetic ulcer - foot	M2712	M271200	201252003	309180011		32
309737011	Diabetic cheiroarthropathy	N0300	N030000	201723002	309737011		32
324113011	Insulins and antidiabetic poisoning	SL23	SL23.00	212545006	324113011		32
345486016	Diabetic neuropathy	F372-2	F372.12	230572002	345486016		32
345492010	Diabetic mononeuropathy	F3y0	F3y0.00	230577008	345492010		32
347657010	Diabetic maculopathy	F4204	F420400	232020009	347657010		32
354508018	Clinical diabetic nephropathy	K08yA-1	K08yA11	236500003	354508018		32
354509014	Proteinuric diabetic nephropathy	K08yA	K08yA00	236500003	354509014		32
356085010	Maturity onset diabetes in youth type 2	C10D-1	C10D.11	237604008	356085010		32
399419012	Myasthenic syndrome due to diabetic amyotrophy	F3813	F381300	267604001	399419012		32
405057014	Diabetes monitored	9OLA-1	9OLA.11	270445003	405057014		37
429970018	Unstable type I diabetes mellitus	C10E4-1	C10E411	290002008	429970018		32
429971019	Unstable type 1 diabetes mellitus	C10E4	C10E400	290002008	429971019		32
448261010	Seen by diabetic liaison nurse	9N2i	9N2i.00	305738006	448261010		37
451410016	O/E - Right diabetic foot at risk	2G5A	2G5A.00	308105005	451410016		27
451411017	O/E - Left diabetic foot at risk	2G5B	2G5B.00	308106006	451411017		27
453100011	H/O: Admission in last year for diabetes foot problem	14F4	14F4.00	309635005	453100011		32
456646018	Referral to diabetes nurse	8H7f	8H7f.00	312856000	456646018		40
456686014	Attending diabetes clinic	9NM0	9NM0.00	312888008	456686014		37
457231013	Seen in diabetic eye clinic	9N1v	9N1v.00	313340009	457231013		37
457326014	Type 1 diabetes mellitus without complication	C10EA	C10EA00	313435000	457326014		32
459163017	Type I diabetes mellitus with hypoglycaemic coma	C10EE-1	C10EE11	314771006	459163017		32
