MedCodeId	Term	OriginalReadCode	CleansedReadCode	SnomedCTConceptId	SnomedCTDescriptionId	Release	EmisCodeCategoryId
285807019	Attends well woman monitoring	9OP1	9OP1.00	185802005	285807019	NA	37
285817012	Attends well man monitoring	9OQ1	9OQ1.00	185814002	285817012	NA	37
418928016	Well woman health examination	69D2-6	69D2.16	281031002	418928016	NA	1
1161021000000112	NHS Health Check programme	6B5	6B5..00	519961000000106	1161021000000112	NA	1
1728801000006114	NHS Health check completed by pharmacist	EMISNQNH8	NA	1728801000006105	1728801000006114	NA	32
1728811000006112	NHS Health check completed by outside agency	EMISNQNH9	NA	1728811000006108	1728811000006112	NA	32
1802921000006119	NHS Health Check blood test reports received	EMISNQNH12	NA	1802921000006103	1802921000006119	NA	37
1936041000006113	Over 75 health check review	EMISNQOV7	NA	1936041000006109	1936041000006113	NA	1
1948791000006116	NHS Health Check care plan	EMISNQNH16	NA	1948791000006100	1948791000006116	NA	32
2180781000000117	NHS Health Check completed by third party	8BAg0	8BAg000	840391000000101	2180781000000117	NA	32
2612211000000115	NHS Health Check commenced	8CV9	NA	1034771000000106	2612211000000115	NA	32
16301000000117	Well woman monitor.admin.NOS	9OPZ	9OPZ.00	714081000000103	1565321000000115	NA	37
16341000000119	Well man monitor.admin.NOS	9OQZ	9OQZ.00	714041000000106	1565281000000111	NA	37
21701000000116	Well woman monitoring admin.	9OP	9OP..00	714081000000103	1565321000000115	NA	37
21711000000119	Well man monitoring admin.	9OQ	9OQ..00	714041000000106	1565281000000111	NA	37
25291000000117	Well woman clinic admin.	9OP-1	9OP..11	714101000000109	1565341000000110	NA	37
418927014	Well man health check	69D2-3	69D2.13	281029006	418926017	NA	1
418929012	Well woman health check	69D2-5	69D2.15	281031002	418928016	NA	1
1728781000006110	NHS Health check completed	EMISNQNH6	NA	1728781000006106	1728781000006110	NA	32
1728791000006113	NHS Health check completed by practice	EMISNQNH7	NA	1728791000006109	1728791000006113	NA	32
25301000000118	Well man clinic administration	9OQ-1	9OQ..11	714051000000109	1565291000000113	NA	37
59861000006119	Well woman monitor.check done	9OPA	9OPA.00	185811005	285816015	NA	37
1693951000000116	NHS Health Check annual review	6AH	6AH..00	763661000000101	1693951000000116	NA	1
418926017	Well man health examination	69D2-4	69D2.14	281029006	418926017	NA	1
1168281000000114	NHS Health Check completed	8BAg	8BAg.00	523221000000100	1168281000000114	NA	32
853421000006113	Well woman clinic	EGTON166	NA	853421000006109	853421000006113	NA	1
853531000006110	Well man clinic	EGTON204	NA	853531000006106	853531000006110	NA	1
215928019	Over 75 health check	69DA	69DA.00	134186004	215928019	NA	1
59681000006113	Well man monitor. check done	9OQA	9OQA.00	185824005	285829015	NA	37
