MedCodeId	Term	category
292551012	Type I diabetes mellitus maturity onset	type 1
292553010	Type 1 diabetes mellitus maturity onset	type 1
429970018	Unstable type I diabetes mellitus	type 1
429971019	Unstable type 1 diabetes mellitus	type 1
459163017	Type I diabetes mellitus with hypoglycaemic coma	type 1
459292011	Type 1 diabetes mellitus with arthropathy	type 1
459294012	Type I diabetes mellitus with arthropathy	type 1
459308015	Type 2 diabetes mellitus with peripheral angiopathy	type 2
494564012	Type I diabetes mellitus	type 1
1223148019	Insulin treated non-insulin dependent diabetes mellitus	unspecified
1488898011	Hyperosmolar non-ketotic state in type 2 diabetes mellitus	type 2
1780311019	Type 1 diabetes mellitus with persistent microalbuminuria	type 1
2674067015	Latent autoimmune diabetes mellitus in adult	unspecified
189711000000119	Lipoatrophic diabetes mellitus without complication	other/unspec genetic inc syndromic
622221000000118	Maternally inherited diabetes mellitus	unspecified
2287971000000119	Diabetes mellitus in remission	unspecified
292548017	Type 1 diabetes mellitus - poor control	type 1
292550013	Type I diabetes mellitus - poor control	type 1
292589019	Type II diabetes mellitus - poor control	type 2
459167016	Type 2 diabetes mellitus with hypoglycaemic coma	type 2
2476117016	Maturity onset diabetes in youth type 1	mody
189721000000113	Secondary diabetes mellitus without complication	secondary
841351000006110	Insulin treated Type II diabetes mellitus	type 2
850691000006118	Hyperosmolar non-ketotic state in type 2 diabetes mellitus	type 2
913851000006119	Type I diabetes mellitus with nephropathy	type 1
914041000006111	Type II diabetes mellitus with renal complications	type 2
914251000006116	Type II diabetes mellitus with polyneuropathy	type 2
928491000006110	Type I diabetes mellitus with persistent microalbuminuria	type 1
928511000006116	Type I diabetes mellitus with ketoacidosis	type 1
928531000006110	Type I diabetes mellitus with ketoacidotic coma	type 1
928571000006113	Type II diabetes mellitus with persistent microalbuminuria	type 2
928591000006114	Type II diabetes mellitus with ketoacidosis	type 2
938311000006112	Type I diabetes mellitus with exudative maculopathy	type 1
459162010	Insulin dependent diabetes mellitus with hypoglycaemic coma	unspecified
913531000006111	Insulin dependent diabetes mellitus with multiple complicat	unspecified
913651000006115	Insulin dependent diabetes mellitus with retinopathy	unspecified
913831000006114	Insulin dependent diabetes mellitus with nephropathy	unspecified
913921000006119	Insulin dependent diab mell with peripheral angiopathy	unspecified
913931000006116	Type 1 diabetes mellitus with peripheral angiopathy	type 1
913981000006115	Insulin dependent diab mell with neuropathic arthropathy	unspecified
913541000006118	Type 1 diabetes mellitus with multiple complications	type 1
913671000006113	Type I diabetes mellitus with retinopathy	type 1
914081000006117	Type II diabetes mellitus with neurological complications	type 2
914161000006114	Type II diabetes mellitus with retinopathy	type 2
914231000006111	Type II diabetes mellitus with mononeuropathy	type 2
1667921000000117	Type II diabetes mellitus with gastroparesis	type 2
1667941000000112	Type I diabetes mellitus with gastroparesis	type 1
913481000006113	Type 1 diabetes mellitus with ophthalmic complications	type 1
483882011	Maturity-onset diabetes of the young	mody
913841000006116	Renal disorder associated with type 1 diabetes mellitus	type 1
914031000006118	Renal disorder associated with type II diabetes mellitus	type 2
928541000006117	Persistent proteinuria associated with type 2 diabetes mellitus	type 2
928581000006111	Ketoacidosis in type 2 diabetes mellitus	type 2
459169018	Hypoglycaemic coma co-occurrent and due to diabetes mellitus type II	type 2
299621000000117	Gastroparesis with type 2 diabetes mellitus	type 2
913661000006118	Retinopathy with type 1 diabetes mellitus	type 1
914051000006113	Disorder of eye with type 2 diabetes mellitus	type 2
938301000006114	Exudative maculopathy with type 1 diabetes mellitus	type 1
1848531000006116	Diabetes insipidus, diabetes mellitus, optic atrophy and deafness	other/unspec genetic inc syndromic
1968641000006114	Maturity-onset diabetes of the young, type 5	mody
292541011	Type 1 diabetes mellitus with gangrene	type 1
913811000006115	Type 1 diabetes mellitus with polyneuropathy	type 1
914271000006114	Type II diabetes mellitus with nephropathy	type 2
928471000006114	Type I diabetes mellitus with persistent proteinuria	type 1
2288011000000114	Type I diabetes mellitus in remission	type 1
2288071000000116	Type 2 diabetes mellitus in remission	type 2
356085010	Maturity onset diabetes in youth type 2	mody
457326014	Type 1 diabetes mellitus without complication	type 1
292540012	Type 1 diabetes mellitus with ulcer	type 1
292576013	Type II diabetes mellitus with multiple complications	type 2
197761014	Type 2 diabetes mellitus	type 2
938331000006118	Exudative maculopathy with type 2 diabetes mellitus	type 2
928461000006119	Persistent proteinuria associated with type 1 diabetes mellitus	type 1
913911000006110	Type I diabetes mellitus with diabetic cataract	type 1
914301000006111	Type 2 diabetes mellitus with diabetic cataract	type 2
913471000006110	Insulin-dependent diabetes mellitus with ophthalmic comps	unspecified
