MedCodeId	Term	OriginalReadCode	CleansedReadCode	SnomedCTConceptId	SnomedCTDescriptionId	Release	EmisCodeCategoryId
292540012	Type 1 diabetes mellitus with ulcer	C10E5	C10E500	190368000	292540012		32
292553010	Type 1 diabetes mellitus maturity onset	C10E9	C10E900	190372001	292553010		32
429970018	Unstable type I diabetes mellitus	C10E4-1	C10E411	290002008	429970018		32
429971019	Unstable type 1 diabetes mellitus	C10E4	C10E400	290002008	429971019		32
457326014	Type 1 diabetes mellitus without complication	C10EA	C10EA00	313435000	457326014		32
459292011	Type 1 diabetes mellitus with arthropathy	C10EH	C10EH00	314893005	459292011		32
1780311019	Type 1 diabetes mellitus with persistent microalbuminuria	C10EL	C10EL00	401110002	1780311019		32
292548017	Type 1 diabetes mellitus - poor control	C10E8	C10E800	444073006	2872487013		32
84281000006115	Type 1 diabetes mellitus	C108-2	C108.12	46635009	197984010		32
84291000006117	Type 1 diabetes mellitus - poor control	C1088-2	C108812	444073006	2872487013		32
84301000006116	Type 1 diabetes mellitus maturity onset	C1089-2	C108912	190372001	292553010		32
84311000006118	Type 1 diabetes mellitus with arthropathy	C108H-2	C108H12	314893005	459292011		32
84341000006119	Type 1 diabetes mellitus with hypoglycaemic coma	C108E-2	C108E12	314771006	459161015		32
84371000006110	Type 1 diabetes mellitus with nephropathy	C108D-2	C108D12	421893009	2623054013		32
84391000006111	Type 1 diabetes mellitus with neuropathic arthropathy	C108J-2	C108J12	71771000119100	3010513018		32
84421000006115	Type 1 diabetes mellitus with polyneuropathy	C108C-2	C108C12	713705003	3297342019		32
84451000006112	Type 1 diabetes mellitus with ulcer	C1085-2	C108512	190368000	292540012		32
913811000006115	Type 1 diabetes mellitus with polyneuropathy	C10EC	C10EC00	713705003	3297342019		32
913841000006116	Type 1 diabetes mellitus with nephropathy	C10ED	C10ED00	421893009	2623054013		32
928461000006119	Type 1 diabetes mellitus with persistent proteinuria	C10EK	C10EK00	420514000	2967914011		32
913931000006116	Type 1 diabetes mellitus with peripheral angiopathy	C10EG	C10EG00	31211000119101	3315042015		32
6960431000006119	Diabetic retinopathy associated with type I diabetes mellitus	^ESCTDI696043		420789003	2618238018		32
7287611000006113	Type 1 diabetes mellitus uncontrolled	^ESCTTY728761		444073006	2967763015		32
12332281000006119	Retinopathy co-occurrent and due to type 1 diabetes mellitus	^ESCT1233228		420789003	3699406011		32
6960441000006112	Diabetes type 1 with retinopathy	^ESCTDI696044		420789003	3035448018		32
6970631000006112	Peripheral circulatory disorder associated with type I diabetes mellitus	^ESCTPE697063		421365002	2618205010		32
12363671000006118	Gastroparesis co-occurrent and due to type 1 diabetes mellitus	^ESCT1236367		713702000	3698407013		32
7708091000006118	Polyneuropathy due to type 1 diabetes mellitus	^ESCTPO770809		713705003	3297342019		32
8022441000006118	Neuropathic arthropathy due to type 1 diabetes mellitus	^ESCTNE802244		71771000119100	3012218016		32
12370281000006118	Disorder of eye co-occurrent and due to type 1 diabetes mellitus	^ESCT1237028		739681000	3698437016		32
6961091000006115	Gangrene associated with type I diabetes mellitus	^ESCTGA696109		420825003	2618207019		32
8014491000006111	Peripheral vascular disease due to type I diabetes	^ESCTPE801449		31211000119101	3313373013		32
