ProdCodeId	dmdid	Term from EMIS	ProductName	Formulation	RouteOfAdministration	DrugSubstanceName	SubstanceStrength	BNFChapter	Release
3092241000033113	317971007	Furosemide 20mg tablets	Furosemide 20mg tablets	Tablet	Oral	Furosemide	20.000mg	2020200	NA
3092341000033115	317972000	Furosemide 40mg tablets	Furosemide 40mg tablets	Tablet	Oral	Furosemide	40.000mg	2020200	NA
3092441000033114	317973005	Furosemide 500mg tablets	Furosemide 500mg tablets	Tablet	Oral	Furosemide	500.000mg	2020200	NA
172441000033118	318021009	Bumetanide 1mg tablets	Bumetanide 1mg tablets	Tablet	Oral	Bumetanide	1.000mg	2020200	NA
172541000033117	318022002	Bumetanide 5mg tablets	Bumetanide 5mg tablets	Tablet	Oral	Bumetanide	5.000mg	2020200	NA
169041000033112	318023007	Bumetanide 1mg/5ml oral solution sugar free	Bumetanide 1mg/5ml oral solution sugar free	Oral solution	Oral	Bumetanide	200.000microgram/1.000ml	2020200	NA
1450241000033116	318040003	Torasemide 2.5mg tablets	Torasemide 2.5mg tablets	Tablet	Oral	Torasemide	2.500mg	2020200	NA
1450341000033114	318041004	Torasemide 5mg tablets	Torasemide 5mg tablets	Tablet	Oral	Torasemide	5.000mg	2020200	NA
1450141000033111	318042006	Torasemide 10mg tablets	Torasemide 10mg tablets	Tablet	Oral	Torasemide	10.000mg	2020200	NA
1845641000033119	318097001	Amiloride 5mg / Bumetanide 1mg tablets	Amiloride 5mg / Bumetanide 1mg tablets	Tablet	Oral	Amiloride hydrochloride/ Bumetanide	5.000mg + 1.000mg	2020400	NA
3092741000033119	318101005	Triamterene 50mg / Furosemide 40mg tablets	Triamterene 50mg / Furosemide 40mg tablets	Tablet	Oral	Furosemide/ Triamterene	40.000mg + 50.000mg	2020400	NA
3162541000033115	318102003	Spironolactone 50mg / Furosemide 20mg capsules	Spironolactone 50mg / Furosemide 20mg capsules	Capsule	Oral	Furosemide/ Spironolactone	20.000mg + 50.000mg	2020400	NA
376841000033113	318135008	Co-amilofruse 2.5mg/20mg tablets	Co-amilofruse 2.5mg/20mg tablets	Tablet	Oral	Amiloride hydrochloride/ Furosemide	2.500mg + 20.000mg	2020400	NA
