ProdCodeId	dmdid	TermFromEMIS	ProductName	Formulation	RouteOfAdministration	DrugSubstanceName	SubstanceStrength	BNFChapter	Release
219341000033110	NA	Canesten Vaginal cream 2 %	NA	NA	NA	NA	NA	NA	NA
656441000033115	NA	Gyno-Daktarin Combipack Cream 2 %	NA	NA	NA	NA	NA	NA	NA
656541000033119	NA	Gyno-Pevaryl 1 Combipack Cream 1 %	NA	NA	NA	NA	NA	NA	NA
5332041000033115	NA	Lomexin Cream 2 %	NA	NA	NA	NA	NA	NA	NA
1047741000033115	NA	Pevaryl Tc Cream	NA	NA	NA	NA	NA	NA	NA
418041000033116	NA	Dermonistat Cream 2 %	NA	NA	NA	NA	NA	NA	NA
493841000033119	NA	Ecostatin Twinpack Cream 1 %	NA	NA	NA	NA	NA	NA	NA
994441000033117	NA	Nystadermal Cream	NA	NA	NA	NA	NA	NA	NA
924041000033119	NA	Monistat Cream 2 %	NA	NA	NA	NA	NA	NA	NA
1456441000033117	NA	Travogyn Cream 1 %	NA	NA	NA	NA	NA	NA	NA
1054741000033111	NA	Pevaryl Lotion 1 %	NA	NA	NA	NA	NA	NA	NA
188541000033111	NA	Canesten 10% Vc Vaginal cream 10 %	NA	NA	NA	NA	NA	NA	NA
656641000033118	NA	Gyno-Pevaryl Combipack Cream 1 %	NA	NA	NA	NA	NA	NA	NA
202741000033118	NA	Canesten Combi Pessary and cream	NA	NA	NA	NA	NA	NA	NA
495041000033113	NA	Ecostatin Lotion 1 %	NA	NA	NA	NA	NA	NA	NA
994241000033118	19811000001103	Nystan 100,000units/g cream (Bristol-Myers Squibb Pharmaceuticals Ltd)	Nystan 100,000units/g cream	Cream	Cutaneous	Nystatin	100000.000unit/1.000gram + 100000.000unit/1.000gram	NA	NA
189141000033113	125711000001105	Canesten HC cream (Bayer Plc)	Canesten HC cream	Cream	Cutaneous	Clotrimazole/ Hydrocortisone	10.000mg/1.000gram + 10.000mg/1.000gram	13040000	NA
188941000033117	166311000001108	Canesten 1% cream (Bayer Plc)	Canesten 1% cream	Cream	Cutaneous	Clotrimazole	10.000mg/1.000gram	13100200	NA
493741000033112	271411000001103	Ecostatin 1% cream (Bristol-Myers Squibb Pharmaceuticals Ltd)	Ecostatin 1% cream	Cream	Cutaneous	Econazole nitrate	10.000mg/1.000gram	NA	NA
405841000033116	278911000001102	Daktacort ointment (Janssen-Cilag Ltd)	Daktacort ointment	Ointment	Cutaneous	Hydrocortisone/ Miconazole nitrate	10.000mg/1.000gram + 20.000mg/1.000gram	13040000	NA
2185041000033112	360111000001101	Canesten 2% thrush cream (Bayer Plc)	Canesten 2% thrush cream	Cream	Cutaneous	Clotrimazole	20.000mg/1.000gram	7020200	NA
2613041000033114	507311000001100	Canesten Hydrocortisone cream (Bayer Plc)	Canesten Hydrocortisone cream	Cream	Cutaneous	Clotrimazole/ Hydrocortisone	10.000mg/1.000gram + 10.000mg/1.000gram	13040000	NA
