ICD10	Term_description
A48.1	Legionnaires disease
B01.2	Varicella pneumonia
B05.2	Measles complicated by pneumonia
J10.0	Influenza with pneumonia, other influenza virus identified
J11.0	Influenza with pneumonia, virus not identified
J12	Viral pneumonia, not elsewhere classified
J13	Pneumonia due to Streptococcus pneumoniae
J14	Pneumonia due to Haemophilus influenzae
J15	Bacterial pneumonia, not elsewhere classified
J16	Pneumonia due to other infectious organisms, not elsewhere classified
J17	Pneumonia in diseases classified elsewhere
J18	Pneumonia, organism unspecified
J85.1	Abscess of lung with pneumonia
J86	Pyothorax
