ICD10	Term_description
E10.3	Insulin-dependent diabetes mellitus - With ophthalmic complications
E11.3	Non-insulin-dependent diabetes mellitus - With ophthalmic complications
E12.3	Malnutrition-related diabetes mellitus - With ophthalmic complications
E13.3	Other specified diabetes mellitus - With ophthalmic complications
E14.3	Unspecified diabetes mellitus - With ophthalmic complications
H35.0	Background retinopathy and retinal vascular changes
H35.1	Retinopathy of prematurity
H35.2	Other proliferative retinopathy
H35.3	Degeneration of macula and posterior pole
H35.4	Peripheral retinal degeneration
H35.5	Hereditary retinal dystrophy
H35.6	Retinal hemorrhage
H35.7	Separation of retinal layers
H35.8	Other specified retinal disorders
H35.9	Unspecified retinal disorder
H36.0	Diabetic retinopathy
