ICD10
G46.3	Brain stem stroke syndrome
G46.4	Cerebellar stroke syndrome
G46.5	Pure motor lacunar syndrome
G46.6	Pure sensory lacunar syndrome
G46.7	Other lacunar syndromes
G46.8	Other vascular syndromes of brain in cerebrovascular diseases
I61	Intracerebral haemorrhage
I63	Cerebral infarction
I64	Stroke, not specified as haemorrhage or infarction
I69.1	Sequelae of intracerebral haemorrhage
I69.3	Sequelae of cerebral infarction
I69.4	Sequelae of stroke, not specified as haemorrhage or infarction
