ICD10	Term_description
G45.0	Vertebro-basilar artery syndrome
G45.1	Carotid artery syndrome (hemispheric)
G45.2	Multiple and bilateral precerebral artery syndromes
G45.3	Amaurosis fugax
G45.8	Other transient cerebral ischaemic attacks and related syndromes
G45.9	Transient cerebral ischaemic attack, unspecified
G46.0	Middle cerebral artery syndrome
G46.1	Anterior cerebral artery syndrome
G46.2	Posterior cerebral artery syndrome
I65	Occlusion and stenosis of precerebral arteries, not resulting in cerebral infarction
I66	Occlusion and stenosis of cerebral arteries, not resulting in cerebral infarction
