"V2_READ_CODE","V2_TERM","V3_READ_CODE","V3_TERM","SNOMED_CONCEPTID","SNOMED_TERM"
"442A.#","TSH - thyroid stim. hormone","XE2wy#","Thyroid stimulating horm lev","1027151000000105#","TSH (thyroid stimulating hormone) level"
"442K.#","30 minute plasma TSH level","XaET7#","30 minute plasma TSH level","1016861000000105#","30 minute plasma thyroid stimulating hormone level"
"442K.#","30 minute plasma TSH level","XaET7#","30 minute plasma TSH level","313917003#","Measurement of plasma thyroid stimulating hormone concentration 30 minutes after challenge"
"442L.#","60 minute plasma TSH level","XaESa#","60 minute plasma TSH level","1016871000000103#","60 minute plasma thyroid stimulating hormone level"
"442L.#","60 minute plasma TSH level","XaESa#","60 minute plasma TSH level","313883006#","60 minute plasma TSH measurement"
"442M.#","90 minute plasma TSH level","XaET2#","90 minute plasma TSH level","1016881000000101#","90 minute plasma thyroid stimulating hormone level"
"442M.#","90 minute plasma TSH level","XaET2#","90 minute plasma TSH level","313911002#","90 minute plasma TSH measurement"
"442N.#","120 minute plasma TSH level","XaESb#","120 minute plasma TSH level","1016891000000104#","120 minute plasma thyroid stimulating hormone level"
"442N.#","120 minute plasma TSH level","XaESb#","120 minute plasma TSH level","313884000#","120 minute plasma TSH measurement"
"442O.#","150 minute plasma TSH level","XaESc#","150 minute plasma TSH level","1016901000000103#","150 minute plasma thyroid stimulating hormone level"
"442O.#","150 minute plasma TSH level","XaESc#","150 minute plasma TSH level","313885004#","150 minute plasma TSH measurement"
"442P.#","30 minute serum TSH level","XaETX#","30 minute serum TSH level","1016911000000101#","30 minute serum thyroid stimulating hormone level"
"442P.#","30 minute serum TSH level","XaETX#","30 minute serum TSH level","313943002#","Measurement of serum thyroid stimulating hormone concentration 30 minutes after challenge"
"442Q.#","60 minute serum TSH level","XaESX#","60 minute serum TSH level","1016921000000107#","60 minute serum thyroid stimulating hormone level"
"442Q.#","60 minute serum TSH level","XaESX#","60 minute serum TSH level","313880009#","Measurement of serum thyroid stimulating hormone concentration 60 minutes after challenge"
"442R.#","90 minute serum TSH level","XaESY#","90 minute serum TSH level","1016931000000109#","90 minute serum thyroid stimulating hormone level"
"442R.#","90 minute serum TSH level","XaESY#","90 minute serum TSH level","313881008#","Measurement of serum thyroid stimulating hormone concentration 90 minutes after challenge"
"442S.#","120 minute serum TSH level","XaET1#","120 minute serum TSH level","1016941000000100#","120 minute serum thyroid stimulating hormone level"
"442S.#","120 minute serum TSH level","XaET1#","120 minute serum TSH level","313910001#","Measurement of serum thyroid stimulating hormone concentration 120 minutes after challenge"
"442T.#","150 minute serum TSH level","XaESZ#","150 minute serum TSH level","1016951000000102#","150 minute serum thyroid stimulating hormone level"
"442T.#","150 minute serum TSH level","XaESZ#","150 minute serum TSH level","313882001#","Measurement of serum thyroid stimulating hormone concentration 150 minutes after challenge"
"442W.#","Serum TSH level","XaELV#","Serum TSH level","1022791000000101#","Serum TSH (thyroid stimulating hormone) level"
"442W.#","Serum TSH level","XaELV#","Serum TSH level","313440008#","Serum TSH measurement"
"442X.#","Plasma TSH level","XaELW#","Plasma TSH level","1022801000000102#","Plasma TSH (thyroid stimulating hormone) level"
"442X.#","Plasma TSH level","XaELW#","Plasma TSH level","313441007#","Plasma TSH measurement"
"442e.#","Blood spot TSH level","XaIzE#","Blood spot TSH level","999201000000109#","Blood spot TSH (thyroid stimulating hormone) level"
"442e.#","Blood spot TSH level","XaIzE#","Blood spot TSH level","401102003#","Blood spot TSH level"
