snomedcode,term_snomed,id,search_terms,read_mapping,cam,matchtotal,MedCodeId,term_medcode,OriginalReadCode,CleansedReadCode,SnomedCTDescriptionId,Release,EmisCodeCategoryId
314460009#,Average night interval diastolic blood pressure,458823013#,1,1,1,3,458823013#,Average night interval diastolic blood pressure,246a,246a.00,458823013,NA,2
314460009#,Average night interval diastolic blood pressure (observable entity),711267017#,1,1,1,3,458823013#,Average night interval diastolic blood pressure,246a,246a.00,458823013,NA,2
163031004#,O/E - Diastolic BP reading,254076013#,1,1,1,3,4556621000006110#,On examination - Diastolic blood pressure reading,^ESCTON455662,NA,2667439010,NA,31
163031004#,O/E - Diastolic BP reading,254076013#,1,1,1,3,11924381000006114#,O/E - Diastolic BP reading,^ESCT1192438,NA,254076013,NA,27
163031004#,O/E - Diastolic BP reading,254076013#,1,1,1,3,4556631000006113#,On examination - Diastolic BP reading,^ESCTON455663,NA,2667440012,NA,31
163031004#,On examination - Diastolic BP reading (context-dependent category),544204015#,1,1,1,3,4556621000006110#,On examination - Diastolic blood pressure reading,^ESCTON455662,NA,2667439010,NA,31
163031004#,On examination - Diastolic BP reading (context-dependent category),544204015#,1,1,1,3,11924381000006114#,O/E - Diastolic BP reading,^ESCT1192438,NA,254076013,NA,27
163031004#,On examination - Diastolic BP reading (context-dependent category),544204015#,1,1,1,3,4556631000006113#,On examination - Diastolic BP reading,^ESCTON455663,NA,2667440012,NA,31
163031004#,On examination - Diastolic BP reading (finding),2561374018#,1,1,1,3,4556621000006110#,On examination - Diastolic blood pressure reading,^ESCTON455662,NA,2667439010,NA,31
163031004#,On examination - Diastolic BP reading (finding),2561374018#,1,1,1,3,11924381000006114#,O/E - Diastolic BP reading,^ESCT1192438,NA,254076013,NA,27
163031004#,On examination - Diastolic BP reading (finding),2561374018#,1,1,1,3,4556631000006113#,On examination - Diastolic BP reading,^ESCTON455663,NA,2667440012,NA,31
163031004#,On examination - Diastolic blood pressure reading (finding),2659133014#,1,1,1,3,4556621000006110#,On examination - Diastolic blood pressure reading,^ESCTON455662,NA,2667439010,NA,31
163031004#,On examination - Diastolic blood pressure reading (finding),2659133014#,1,1,1,3,11924381000006114#,O/E - Diastolic BP reading,^ESCT1192438,NA,254076013,NA,27
163031004#,On examination - Diastolic blood pressure reading (finding),2659133014#,1,1,1,3,4556631000006113#,On examination - Diastolic BP reading,^ESCTON455663,NA,2667440012,NA,31
163031004#,On examination - Diastolic blood pressure reading,2667439010#,1,1,1,3,4556621000006110#,On examination - Diastolic blood pressure reading,^ESCTON455662,NA,2667439010,NA,31
163031004#,On examination - Diastolic blood pressure reading,2667439010#,1,1,1,3,11924381000006114#,O/E - Diastolic BP reading,^ESCT1192438,NA,254076013,NA,27
163031004#,On examination - Diastolic blood pressure reading,2667439010#,1,1,1,3,4556631000006113#,On examination - Diastolic BP reading,^ESCTON455663,NA,2667440012,NA,31
