snomedcode,term_snomed,id,search_terms,read_mapping,matchtotal,MedCodeId,term_medcode,OriginalReadCode,CleansedReadCode,SnomedCTDescriptionId,Release,EmisCodeCategoryId
162755006#,O/E - height,253669010#,1,1,2,4551671000006115#,On examination - height,^ESCTON455167,NA,2666494014,NA,31
162755006#,O/E - height,253669010#,1,1,2,11905141000006112#,O/E - height,^ESCT1190514,NA,253669010,NA,27
162755006#,On examination - height (context-dependent category),543897018#,1,1,2,4551671000006115#,On examination - height,^ESCTON455167,NA,2666494014,NA,31
162755006#,On examination - height (context-dependent category),543897018#,1,1,2,11905141000006112#,O/E - height,^ESCT1190514,NA,253669010,NA,27
162755006#,On examination - height (finding),2560502014#,1,1,2,4551671000006115#,On examination - height,^ESCTON455167,NA,2666494014,NA,31
162755006#,On examination - height (finding),2560502014#,1,1,2,11905141000006112#,O/E - height,^ESCT1190514,NA,253669010,NA,27
162755006#,On examination - height,2666494014#,1,1,2,4551671000006115#,On examination - height,^ESCTON455167,NA,2666494014,NA,31
162755006#,On examination - height,2666494014#,1,1,2,11905141000006112#,O/E - height,^ESCT1190514,NA,253669010,NA,27
162756007#,O/E - height greater than 20% below average,253670011#,1,1,2,4551681000006117#,O/E - height greater than 20% below average,^ESCTOE455168,NA,253670011,NA,2
162756007#,O/E - height greater than 20% below average,253670011#,1,1,2,271181000006113#,O/E-height > 20% below average,2291,2291.00,253670011,NA,2
162756007#,O/E - height greater than 20% below average,253670011#,1,1,2,4551691000006119#,On examination - height greater than 20% below average,^ESCTON455169,NA,2666495010,NA,2
162756007#,On examination - height greater than 20% below average (context-dependent category),543899015#,1,1,2,4551681000006117#,O/E - height greater than 20% below average,^ESCTOE455168,NA,253670011,NA,2
162756007#,On examination - height greater than 20% below average (context-dependent category),543899015#,1,1,2,271181000006113#,O/E-height > 20% below average,2291,2291.00,253670011,NA,2
162756007#,On examination - height greater than 20% below average (context-dependent category),543899015#,1,1,2,4551691000006119#,On examination - height greater than 20% below average,^ESCTON455169,NA,2666495010,NA,2
162756007#,On examination - height greater than 20% below average (finding),2560503016#,1,1,2,4551681000006117#,O/E - height greater than 20% below average,^ESCTOE455168,NA,253670011,NA,2
162756007#,On examination - height greater than 20% below average (finding),2560503016#,1,1,2,271181000006113#,O/E-height > 20% below average,2291,2291.00,253670011,NA,2
162756007#,On examination - height greater than 20% below average (finding),2560503016#,1,1,2,4551691000006119#,On examination - height greater than 20% below average,^ESCTON455169,NA,2666495010,NA,2
162756007#,On examination - height greater than 20% below average,2666495010#,1,1,2,4551681000006117#,O/E - height greater than 20% below average,^ESCTOE455168,NA,253670011,NA,2
162756007#,On examination - height greater than 20% below average,2666495010#,1,1,2,271181000006113#,O/E-height > 20% below average,2291,2291.00,253670011,NA,2
162756007#,On examination - height greater than 20% below average,2666495010#,1,1,2,4551691000006119#,On examination - height greater than 20% below average,^ESCTON455169,NA,2666495010,NA,2
162757003#,O/E - height 10-20% below average,253671010#,1,1,2,4551711000006116#,On examination - height 10-20% below average,^ESCTON455171,NA,2666500013,NA,2
162757003#,O/E - height 10-20% below average,253671010#,1,1,2,4551701000006119#,O/E - height 10-20% below average,^ESCTOE455170,NA,253671010,NA,2
162757003#,O/E - height 10-20% below average,253671010#,1,1,2,284561000006119#,O/E - height 10-20% < average,2292,2292.00,253671010,NA,2
162757003#,On examination - height 10-20% below average (context-dependent category),543900013#,1,1,2,4551711000006116#,On examination - height 10-20% below average,^ESCTON455171,NA,2666500013,NA,2
162757003#,On examination - height 10-20% below average (context-dependent category),543900013#,1,1,2,4551701000006119#,O/E - height 10-20% below average,^ESCTOE455170,NA,253671010,NA,2
162757003#,On examination - height 10-20% below average (context-dependent category),543900013#,1,1,2,284561000006119#,O/E - height 10-20% < average,2292,2292.00,253671010,NA,2
162757003#,On examination - height 10-20% below average (finding),2560336019#,1,1,2,4551711000006116#,On examination - height 10-20% below average,^ESCTON455171,NA,2666500013,NA,2
162757003#,On examination - height 10-20% below average (finding),2560336019#,1,1,2,4551701000006119#,O/E - height 10-20% below average,^ESCTOE455170,NA,253671010,NA,2
162757003#,On examination - height 10-20% below average (finding),2560336019#,1,1,2,284561000006119#,O/E - height 10-20% < average,2292,2292.00,253671010,NA,2
162757003#,On examination - height 10-20% below average,2666500013#,1,1,2,4551711000006116#,On examination - height 10-20% below average,^ESCTON455171,NA,2666500013,NA,2
162757003#,On examination - height 10-20% below average,2666500013#,1,1,2,4551701000006119#,O/E - height 10-20% below average,^ESCTOE455170,NA,253671010,NA,2
162757003#,On examination - height 10-20% below average,2666500013#,1,1,2,284561000006119#,O/E - height 10-20% < average,2292,2292.00,253671010,NA,2
162758008#,O/E -height within 10% average,253672015#,1,1,2,253672015#,O/E -height within 10% average,2293,2293.00,253672015,NA,2
162758008#,O/E -height within 10% average,253672015#,1,1,2,4551731000006110#,On examination - height within 10% average,^ESCTON455173,NA,2666501012,NA,2
