readcode,term_readcode,cal,os,matchtotal,MedCodeId,Term,OriginalReadCode,CleansedReadCode,SnomedCTConceptId,SnomedCTDescriptionId,Release,EmisCodeCategoryId,final_readcode
14A5.#,H/O: angina pectoris,1,1,2,251679016#,H/O: angina pectoris,14A5,14A5.00,161504004,251679016,NA,32,14A5.00#
662K.#,Angina control,1,1,2,264492012#,Angina control,662K,662K.00,170593007,264492012,NA,1,662K.00#
662K0#,Angina control - good,1,1,2,264493019#,Angina control - good,662K0,662K000,170594001,264493019,NA,1,662K000#
662K1#,Angina control - poor,1,1,2,264494013#,Angina control - poor,662K1,662K100,170595000,264494013,NA,1,662K100#
662K2#,Angina control - improving,1,1,2,264495014#,Angina control - improving,662K2,662K200,170596004,264495014,NA,1,662K200#
662Kz#,Angina control NOS,1,1,2,264497018#,Angina control NOS,662Kz,662Kz00,170593007,264492012,NA,1,662Kz00#
G33..#,Angina pectoris,1,1,2,299757012#,Angina pectoris,G33,G33..00,194828000,299757012,NA,32,G33..00#
G330.#,Angina decubitus,1,1,2,98087016#,Angina decubitus,G330,G330.00,59021001,98087016,NA,32,G330.00#
G3300#,Nocturnal angina,1,1,2,59952018#,Nocturnal angina,G3300,G330000,35928006,59952018,NA,32,G330000#
G330z#,Angina decubitus NOS,1,1,2,299763015#,Angina decubitus NOS,G330z,G330z00,59021001,98087016,NA,32,G330z00#
G33z.#,Angina pectoris NOS,1,1,2,482941000006119#,Angina pectoris NOS,G33z,G33z.00,194828000,299757012,NA,32,G33z.00#
G33z3#,Angina on effort,1,1,2,442204010#,Angina on effort,G33z3,G33z300,300995000,442204010,NA,32,G33z300#
G33zz#,Angina pectoris NOS,1,1,2,299765010#,Angina pectoris NOS,G33zz,G33zz00,194828000,299757012,NA,32,G33zz00#
Gyu30#,[X]Other forms of angina pectoris,1,1,2,300874013#,[X]Other forms of angina pectoris,Gyu30,Gyu3000,194828000,299757012,NA,32,Gyu3000#
662K3#,Angina control - worsening,1,1,2,264496010#,Angina control - worsening,662K3,662K300,170597008,264496010,NA,1,662K300#
G311.#,Preinfarction syndrome,1,1,2,72571000006115#,Unstable angina,G311-3,G311.13,4557003,7845011,NA,32,G311.13#
G311.#,Preinfarction syndrome,1,1,2,7847015#,Crescendo angina,G311-1,G311.11,4557003,7847015,NA,32,G311.11#
G311.#,Preinfarction syndrome,1,1,2,7844010#,Preinfarction syndrome,G311,G311.00,4557003,494262012,NA,32,G311.00#
G311.#,Preinfarction syndrome,1,1,2,494260016#,Impending infarction,G311-2,G311.12,25106000,42087013,NA,32,G311.12#
G311.#,Preinfarction syndrome,1,1,2,482811000006113#,Angina at rest,G311-4,G311.14,59021001,498328016,NA,32,G311.14#
G33z4#,Ischaemic chest pain,1,0,1,338974012#,Ischaemic chest pain,G33z4,G33z400,225566008,338974012,NA,32,G33z400#
14AJ.#,H/O: Angina in last year,1,0,1,451370011#,H/O: Angina in last year,14AJ,14AJ.00,308066006,451370011,NA,32,14AJ.00#
8B27.#,Antianginal therapy,1,0,1,451425016#,Antianginal therapy,8B27,8B27.00,308117007,451425016,NA,32,8B27.00#
G33z1#,Stenocardia,1,0,1,299758019#,Stenocardia,G33z1,G33z100,194828000,299758019,NA,32,G33z100#
G33z2#,Syncope anginosa,1,0,1,36036010#,Syncope anginosa,G33z2,G33z200,21470009,36036010,NA,32,G33z200#
G33z5#,Post infarct angina,1,0,1,458410010#,Post infarct angina,G33z5,G33z500,314116003,458410010,NA,32,G33z500#
