readcode,term_readcode,cal,os,matchtotal,MedCodeId,Term,OriginalReadCode,CleansedReadCode,SnomedCTConceptId,SnomedCTDescriptionId,Release,EmisCodeCategoryId,final_readcode
14S2.#,H/O: kidney recipient,1,1,2,251923016#,H/O: kidney recipient,14S2,14S2.00,161665007,251923016,NA,32,14S2.00#
7B001#,Transplantation of kidney from live donor,1,1,2,272320011#,Allotransplantation of kidney from live donor,7B001-1,7B00111,175901007,272320011,NA,32,7B00111#
7B001#,Transplantation of kidney from live donor,1,1,2,90471000006113#,Live donor renal transplant,7B001,7B00100,175901007,272318013,NA,32,7B00100#
7B002#,Transplantation of kidney from cadaver,1,1,2,272325018#,Cadaveric renal transplant,7B002-2,7B00212,175902000,272325018,NA,32,7B00212#
7B002#,Transplantation of kidney from cadaver,1,1,2,478131000006115#,Allotransplantation of kidney from cadaver,7B002-1,7B00211,175902000,272325018,NA,32,7B00211#
7B002#,Transplantation of kidney from cadaver,1,1,2,90461000006118#,Transplantation of kidney from cadaver,7B002,7B00200,175902000,272325018,NA,32,7B00200#
7B00.#,Transplantation of kidney,1,1,2,117168016#,Renal transplant,7B00-98,7B00.98,70536003,117168016,NA,32,7B00.98#
7B00.#,Transplantation of kidney,1,1,2,866751000006110#,Kidney replacement,7B00-99,7B00.99,70536003,866751000006110,NA,32,7B00.99#
7B00.#,Transplantation of kidney,1,1,2,501594013#,Transplantation of kidney,7B00,7B00.00,70536003,501594013,NA,32,7B00.00#
7B00.#,Transplantation of kidney,1,1,2,866731000006115#,Kidney replacement NOS,7B00-97,7B00.97,70536003,866731000006115,NA,32,7B00.97#
7B00y#,Other specified transplantation of kidney,1,1,2,272326017#,Other specified transplantation of kidney,7B00y,7B00y00,70536003,117163013,NA,32,7B00y00#
7B00z#,Transplantation of kidney NOS,1,1,2,272327014#,Transplantation of kidney NOS,7B00z,7B00z00,70536003,501594013,NA,32,7B00z00#
7L1A0#,Renal dialysis,1,1,2,106291000006118#,Thomas intravascular shunt for dialysis,7L1A0-1,7L1A011,302497006,444203017,NA,32,7L1A011#
7L1A0#,Renal dialysis,1,1,2,877641000006113#,Extracorporeal kidney,7L1A0-99,7L1A099,265764009,877641000006113,NA,32,7L1A099#
7L1A0#,Renal dialysis,1,1,2,394640016#,Renal dialysis,7L1A0,7L1A000,265764009,394640016,NA,32,7L1A000#
7L1A1#,Peritoneal dialysis,1,1,2,118218017#,Peritoneal dialysis,7L1A1,7L1A100,71192002,118218017,NA,32,7L1A100#
7L1A2#,Haemodialysis NEC,1,1,2,278832011#,Haemodialysis,7L1A2,7L1A200,302497006,444203017,NA,32,7L1A200#
7L1A.#,Dialysis for renal failure,1,1,2,394639018#,Compensation for renal failure,7L1A,7L1A.00,265763003,394639018,NA,32,7L1A.00#
7L1A.#,Dialysis for renal failure,1,1,2,619541000006116#,Dialysis for renal failure,7L1A-1,7L1A.11,265764009,394640016,NA,32,7L1A.11#
7L1B0#,Insertion of ambulatory peritoneal dialysis catheter,1,1,2,773041000006111#,Insertion of chronic ambulatory peritoneal dialysis catheter,7L1B0,7L1B000,180272001,278839019,NA,32,7L1B000#
7L1B1#,Removal of ambulatory peritoneal dialysis catheter,1,1,2,181021000006119#,Removal of ambulatory peritoneal dialysis catheter,7L1B1,7L1B100,180273006,278840017,NA,32,7L1B100#
7L1B.#,Placement ambulatory dialysis apparatus - compens renal fail,1,1,2,228131000006117#,Placement ambulatory dialysis apparatus - compens renal fail,7L1B-1,7L1B.11,180272001,278839019,NA,32,7L1B.11#
7L1B.#,Placement ambulatory dialysis apparatus - compens renal fail,1,1,2,228101000006113#,Placement ambulatory apparatus compensation renal failure,7L1B,7L1B.00,180272001,278839019,NA,32,7L1B.00#
7L1C0#,Insertion of temporary peritoneal dialysis catheter,1,1,2,278844014#,Insertion of temporary peritoneal dialysis catheter,7L1C0,7L1C000,180277007,278844014,NA,32,7L1C000#
8882.#,Intestinal dialysis,1,1,2,282526013#,Intestinal dialysis,8882,8882.00,182753006,282526013,NA,32,8882.00#
TA020#,"Accid cut,puncture,perf,h'ge - kidney dialysis",1,1,2,446291000006111#,Accidental cut/puncture/perf/haem'ge during renal dialysis,TA020-1,TA02011,216878005,329026014,NA,32,TA02011#
TA020#,"Accid cut,puncture,perf,h'ge - kidney dialysis",1,1,2,441151000006115#,"Accidental cut, puncture, perforation or haemorrhage during kidney dialysis",TA020,TA02000,216878005,329026014,NA,32,TA02000#
TA220#,Failure of sterile precautions during kidney dialysis,1,1,2,329116017#,Failure of sterile precautions during kidney dialysis,TA220,TA22000,216933008,329116017,NA,32,TA22000#
TA220#,Failure of sterile precautions during kidney dialysis,1,1,2,663551000006118#,Failure of sterile precautions during renal dialysis,TA220-1,TA22011,216933008,329116017,NA,32,TA22011#
TB11.#,"Kidney dialysis with complication, without blame",1,1,2,754781000006116#,"Kidney dialysis with complication, without blame",TB11,TB11.00,116223007,178923014,NA,32,TB11.00#
TB11.#,"Kidney dialysis with complication, without blame",1,1,2,176711000006111#,"Renal dialysis with complication, without blame",TB11-1,TB11.11,116223007,178923014,NA,32,TB11.11#
ZV420#,[V]Kidney transplanted,1,1,2,460644012#,History of renal transplant,ZV420,ZV42000,161665007,2793932016,NA,32,ZV42000#
ZV451#,[V]Renal dialysis status,1,1,2,460680012#,Dialysis finding,ZV451,ZV45100,251859005,375186018,NA,32,ZV45100#
ZV560#,[V]Aftercare involving extracorporeal dialysis,1,1,2,460911015#,[V]Aftercare involving extracorporeal dialysis,ZV560,ZV56000,410511000000103,1008481000000119,NA,32,ZV56000#
ZV560#,[V]Aftercare involving extracorporeal dialysis,1,1,2,1227722017#,[V]Aftercare involving renal dialysis NOS,ZV560-1,ZV56011,410511000000103,1008481000000119,NA,32,ZV56011#
ZV56y#,[V]Other specified aftercare involving intermittent dialysis,1,1,2,1227723010#,[V]Aftercare involving peritoneal dialysis,ZV56y-1,ZV56y11,426351000000102,1008501000000111,NA,32,ZV56y11#
ZV56y#,[V]Other specified aftercare involving intermittent dialysis,1,1,2,460913017#,[V]Other specified aftercare involving intermittent dialysis,ZV56y,ZV56y00,426351000000102,1008501000000111,NA,32,ZV56y00#
ZV56.#,[V]Aftercare involving intermittent dialysis,1,1,2,460910019#,[V]Aftercare involving intermittent dialysis,ZV56,ZV56.00,398471000000102,1008471000000116,NA,32,ZV56.00#
ZV56z#,[V]Unspecified aftercare involving intermittent dialysis,1,1,2,460914011#,[V]Unspecified aftercare involving intermittent dialysis,ZV56z,ZV56z00,426361000000104,1008511000000113,NA,32,ZV56z00#
ZVu3G#,[X]Other dialysis,1,1,2,461420012#,Dialysis procedure,ZVu3G,ZVu3G00,108241001,172680015,NA,32,ZVu3G00#
14V2.#,H/O: renal dialysis,1,0,1,251957012#,H/O: renal dialysis,14V2,14V2.00,161693006,251957012,NA,32,14V2.00#
14V2.#,H/O: renal dialysis,1,0,1,251956015#,H/O: kidney dialysis,14V2-1,14V2.11,161693006,251956015,NA,32,14V2.11#
1Z14.#,Chronic kidney disease stage 5,1,0,1,304111000000114#,Chronic kidney disease stage 5,1Z14,1Z14.00,433146000,2767154014,NA,32,1Z14.00#
1Z1K.#,Chronic kidney disease stage 5 with proteinuria,1,0,1,618511000000119#,CKD stage 5 with proteinuria,1Z1K-1,1Z1K.11,324501000000107,618511000000119,NA,27,1Z1K.11#
1Z1K.#,Chronic kidney disease stage 5 with proteinuria,1,0,1,596321000000110#,Chronic kidney disease stage 5 with proteinuria,1Z1K,1Z1K.00,324501000000107,596321000000110,NA,27,1Z1K.00#
1Z1L.#,Chronic kidney disease stage 5 without proteinuria,1,0,1,596401000000111#,Chronic kidney disease stage 5 without proteinuria,1Z1L,1Z1L.00,324541000000105,596401000000111,NA,27,1Z1L.00#
1Z1L.#,Chronic kidney disease stage 5 without proteinuria,1,0,1,618521000000113#,CKD stage 5 without proteinuria,1Z1L-1,1Z1L.11,324541000000105,618521000000113,NA,27,1Z1L.11#
7B003#,"Allotransplantation of kidney from cadaver, heart-beating",1,0,1,372621000000114#,Allotransplantation of kidney from beating heart cadaver,7B003,7B00300,711411006,3078356013,NA,32,7B00300#
7B004#,"Allotransplantation kidney from cadaver, heart non-beating",1,0,1,1549841000006116#,Allotransplantation of kidney from non-beating heart cadaver,7B004,7B00400,711413009,3078484016,NA,32,7B00400#
7B005#,Allotransplantation of kidney from cadaver NEC,1,0,1,399381000000115#,Allotransplantation of kidney from cadaver NEC,7B005,7B00500,175902000,272323013,NA,32,7B00500#
