readcode,term_readcode,cal,os,matchtotal,MedCodeId,Term,OriginalReadCode,CleansedReadCode,SnomedCTConceptId,SnomedCTDescriptionId,Release,EmisCodeCategoryId,final_readcode
J612.#,Alcoholic cirrhosis of liver,1,1,2,126721013#,Florid cirrhosis,J612-1,J612.11,76301009,126721013,NA,32,J612.11#
J612.#,Alcoholic cirrhosis of liver,1,1,2,476611000006116#,Alcoholic cirrhosis of liver,J612,J612.00,420054005,2920441014,NA,32,J612.00#
J612.#,Alcoholic cirrhosis of liver,1,1,2,2579818016#,Laennec's cirrhosis,J612-2,J612.12,419728003,2576980018,NA,32,J612.12#
J613.#,Alcoholic liver damage unspecified,1,1,2,886501000006115#,Alcoholic liver damage NOS,J613-99,J613.99,589511000000102,886501000006115,NA,32,J613.99#
J613.#,Alcoholic liver damage unspecified,1,1,2,303399018#,Alcoholic liver damage,J613,J613.00,41309000,68906017,NA,32,J613.00#
J6151#,Multilobular portal cirrhosis,1,1,2,396390012#,Multilobular portal cirrhosis,J6151,J615100,266469006,396390012,NA,32,J615100#
J6151#,Multilobular portal cirrhosis,1,1,2,211821000006111#,Postnecrotic cirrhosis of liver,J6151-1,J615111,43904005,73201018,NA,32,J615111#
J6153#,Diffuse nodular cirrhosis,1,1,2,303419015#,Diffuse nodular cirrhosis,J6153,J615300,197293003,303419015,NA,32,J615300#
J6154#,Fatty portal cirrhosis,1,1,2,303420014#,Fatty portal cirrhosis,J6154,J615400,197294009,303420014,NA,32,J615400#
J6155#,Hypertrophic portal cirrhosis,1,1,2,493707012#,Hypertrophic portal cirrhosis,J6155,J615500,43904005,493707012,NA,32,J615500#
J6156#,Capsular portal cirrhosis,1,1,2,303425016#,Capsular portal cirrhosis,J6156,J615600,197296006,303425016,NA,32,J615600#
J6157#,Cardiac portal cirrhosis,1,1,2,123999018#,Congestive cirrhosis,J6157-1,J615711,74669004,123997016,NA,32,J615711#
J6157#,Cardiac portal cirrhosis,1,1,2,396391011#,Cardiac portal cirrhosis,J6157,J615700,266470007,396391011,NA,32,J615700#
J6158#,Juvenile portal cirrhosis,1,1,2,396392016#,Juvenile portal cirrhosis,J6158,J615800,266471006,396392016,NA,32,J615800#
J6158#,Juvenile portal cirrhosis,1,1,2,11267010#,Indian childhood cirrhosis,J6158-2,J615812,6183001,11267010,NA,32,J615812#
J6158#,Juvenile portal cirrhosis,1,1,2,550431000006116#,Childhood function cirrhosis,J6158-1,J615811,197284004,303401012,NA,32,J615811#
J615D#,Bacterial portal cirrhosis,1,1,2,303437019#,Bacterial portal cirrhosis,J615D,J615D00,197303009,303437019,NA,32,J615D00#
J615G#,Zooparasitic portal cirrhosis,1,1,2,303440019#,Zooparasitic portal cirrhosis,J615G,J615G00,197306001,303440019,NA,32,J615G00#
J615H#,Infectious cirrhosis NOS,1,1,2,303441015#,Infectious cirrhosis,J615H,J615H00,235896001,353622016,NA,32,J615H00#
J615.#,Cirrhosis - non alcoholic,1,1,2,2576980018#,Portal cirrhosis,J615-1,J615.11,419728003,2576980018,NA,32,J615.11#
J615.#,Cirrhosis - non alcoholic,1,1,2,221111000000114#,Cirrhosis - non-alcoholic,J615,J615.00,266468003,396389015,NA,32,J615.00#
J615y#,Portal cirrhosis unspecified,1,1,2,303442010#,Portal cirrhosis unspecified,J615y,J615y00,419728003,2576980018,NA,32,J615y00#
J615z#,Non-alcoholic cirrhosis NOS,1,1,2,396393014#,Non-alcoholic cirrhosis NOS,J615z,J615z00,266468003,396389015,NA,32,J615z00#
J615z#,Non-alcoholic cirrhosis NOS,1,1,2,353621011#,"Laennec's cirrhosis, non-alcoholic",J615z-4,J615z14,235895002,353621011,NA,32,J615z14#
J615z#,Non-alcoholic cirrhosis NOS,1,1,2,603321000006118#,Cryptogenic cirrhosis,J615z-2,J615z12,89580002,148522018,NA,32,J615z12#
J615z#,Non-alcoholic cirrhosis NOS,1,1,2,731231000006114#,Macronodular cirrhosis of liver,J615z-1,J615z11,43904005,73201018,NA,32,J615z11#
J615z#,Non-alcoholic cirrhosis NOS,1,1,2,353613017#,Cirrhosis of liver,J615z-3,J615z13,19943007,33568015,NA,32,J615z13#
J615z#,Non-alcoholic cirrhosis NOS,1,1,2,820381000006112#,Hepatic fibrosis,J615z-5,J615z15,62484002,103853010,NA,32,J615z15#
J6161#,Secondary biliary cirrhosis,1,1,2,21289010#,Secondary biliary cirrhosis,J6161,J616100,12368000,21289010,NA,32,J616100#
J6162#,Biliary cirrhosis of children,1,1,2,303452014#,Biliary cirrhosis of children,J6162,J616200,197310003,303452014,NA,32,J616200#
J616.#,Biliary cirrhosis,1,1,2,4044018#,Biliary cirrhosis,J616,J616.00,1761006,4044018,NA,32,J616.00#
J616z#,Biliary cirrhosis NOS,1,1,2,303453016#,Biliary cirrhosis NOS,J616z,J616z00,1761006,4044018,NA,32,J616z00#
J617.#,Alcoholic hepatitis,1,1,2,353587018#,Alcoholic hepatitis,J617,J617.00,235875008,353587018,NA,32,J617.00#
J61..#,Cirrhosis and chronic liver disease,1,1,2,303393017#,Cirrhosis and chronic liver disease,J61,J61..00,197279005,303393017,NA,32,J61..00#
J61y3#,Portal fibrosis without cirrhosis,1,1,2,303458013#,Portal fibrosis without cirrhosis,J61y3,J61y300,197316009,303458013,NA,32,J61y300#
J6356#,Toxic liver disease with fibrosis and cirrhosis of liver,1,1,2,303518014#,Toxic liver disease with fibrosis and cirrhosis of liver,J6356,J635600,197362001,303518014,NA,32,J635600#
Jyu71#,[X]Other and unspecified cirrhosis of liver,1,1,2,303781011#,[X]Other and unspecified cirrhosis of liver,Jyu71,Jyu7100,19943007,33568015,NA,32,Jyu7100#
J610.#,Alcoholic fatty liver,1,1,2,83834016#,Alcoholic fatty liver,J610,J610.00,50325005,83834016,NA,32,J610.00#
A7071#,Chronic viral hepatitis B without delta-agent,1,1,2,286879013#,Chronic viral hepatitis B without delta-agent,A7071,A707100,186639003,286879013,NA,32,A707100#
A7072#,Chronic viral hepatitis C,1,1,2,557071000006112#,Chronic hepatitis C,A7072,A707200,128302006,206586011,NA,32,A707200#
AyuB1#,[X]Other chronic viral hepatitis,1,1,2,288169017#,[X]Other chronic viral hepatitis,AyuB1,AyuB100,10295004,17930015,NA,32,AyuB100#
AyuB2#,"[X]Chronic viral hepatitis, unspecified",1,1,2,288170016#,"[X]Chronic viral hepatitis, unspecified",AyuB2,AyuB200,10295004,17930015,NA,32,AyuB200#
J6141#,Autoimmune chronic active hepatitis,1,1,2,303404016#,Autoimmune chronic active hepatitis,J6141-1,J614111,197284004,303404016,NA,32,J614111#
J6141#,Autoimmune chronic active hepatitis,1,1,2,303401012#,Chronic active hepatitis,J6141,J614100,197284004,303401012,NA,32,J614100#
J6160#,Primary biliary cirrhosis,1,1,2,52980015#,Primary biliary cirrhosis,J6160,J616000,31712002,52980015,NA,32,J616000#
J6617#,Primary sclerosing cholangitis,1,1,2,303614019#,Primary sclerosing cholangitis,J6617,J661700,197441003,303614019,NA,32,J661700#
J611.#,Acute alcoholic hepatitis,1,1,2,17390014#,Acute alcoholic hepatitis,J611,J611.00,9953008,17390014,NA,32,J611.00#
A7040#,Viral hepatitis C with coma,1,1,2,286868015#,Viral hepatitis C with coma,A7040,A704000,186628001,286868015,NA,32,A704000#
A704.#,Other specified viral hepatitis with coma,1,1,2,286867013#,Other specified viral hepatitis with coma,A704,A704.00,3738000,7302012,NA,32,A704.00#
