readcode,term,MedCodeId,Term,OriginalReadCode,CleansedReadCode,SnomedCTConceptId,SnomedCTDescriptionId,Release,EmisCodeCategoryId,final_readcode,cancer_site,bladder,other,oral,skin_non_mel,myeloma,brain,breast,cervix,colorectal,headandneck,kidney,leukemia,lung,lymphoma,melanoma,oesophagus,ovary,pancreas,prostate,stomach,testis,urinary,uterus
B691.#,Chronic myelomonocytic leukaemia,474077018#,Chronic myelomonocytic leukaemia,B691,B691.00,127225006,474077018,NA,32,B691.00#,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
B624z#,Leukaemic reticuloendotheliosis NOS,289773015#,Leukaemic reticuloendotheliosis NOS,B624z,B624z00,118613001,1215903015,NA,32,B624z00#,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
BBr40#,[M]Erythroleukaemia,1216029010#,Erythroleukaemia,BBr40,BBr4000,93451002,154686014,NA,32,BBr4000#,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
BBr40#,[M]Erythroleukaemia,308311000006111#,Erythraemic myelosis,BBr40-1,BBr4011,93451002,510332012,NA,32,BBr4011#,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
BBrAz#,[M]Miscellaneous leukaemia NOS,292077011#,[M]Miscellaneous leukaemia NOS,BBrAz,BBrAz00,128931003,207615015,NA,32,BBrAz00#,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
B67z.#,Other specified leukaemia NOS,880921000006117#,Leukaemia - specif. cell NOS,B67z-99,B67z.99,6.62401E+14,8.80921E+14,NA,32,B67z.99#,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
B67z.#,Other specified leukaemia NOS,289960010#,Other specified leukaemia NOS,B67z,B67z.00,93143009,154099013,NA,32,B67z.00#,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
ByuD7#,[X]Other monocytic leukaemia,292181013#,[X]Other monocytic leukaemia,ByuD7,ByuD700,188744006,289917018,NA,32,ByuD700#,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
BBr01#,[M]Stem cell leukaemia,306011000006113#,[M]Blastic leukaemia,BBr01-2,BBr0112,24072005,1216160012,NA,32,BBr0112#,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
BBr01#,[M]Stem cell leukaemia,1216160012#,[M]Acute leukaemia NOS,BBr01,BBr0100,24072005,1216160012,NA,32,BBr0100#,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
BBr01#,[M]Stem cell leukaemia,306001000006110#,[M]Blast cell leukaemia,BBr01-1,BBr0111,24072005,1216160012,NA,32,BBr0111#,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
BBr01#,[M]Stem cell leukaemia,317011000006112#,[M]Stem cell leukaemia,BBr01-3,BBr0113,24072005,1216160012,NA,32,BBr0113#,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
B64y.#,Other lymphoid leukaemia,289881011#,Other lymphoid leukaemia,B64y,B64y.00,188725004,289876019,NA,32,B64y.00#,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
B64y2#,Adult T-cell leukaemia,289885019#,Adult T-cell leukaemia,B64y2,B64y200,188729005,289885019,NA,32,B64y200#,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
B67y0#,Lymphosarcoma cell leukaemia,731621000006113#,Lymphosarcoma cell leukaemia,B67y0,B67y000,188725004,289876019,NA,32,B67y000#,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
B651.#,Chronic myeloid leukaemia,201656010#,Chronic myeloid leukaemia,B651,B651.00,92818009,201656010,NA,32,B651.00#,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
