readcode,term_readcode,cal,os,matchtotal,MedCodeId,Term,OriginalReadCode,CleansedReadCode,SnomedCTConceptId,SnomedCTDescriptionId,Release,EmisCodeCategoryId,final_readcode
14A6.#,H/O: heart failure,1,1,2,251680018#,H/O: heart failure,14A6,14A6.00,161505003,251680018,NA,32,14A6.00#
G1yz1#,Rheumatic left ventricular failure,1,1,2,72934016#,Rheumatic left ventricular failure,G1yz1,G1yz100,43736008,72934016,NA,32,G1yz100#
G2101#,Malignant hypertensive heart disease with CCF,1,1,2,728671000006119#,Malignant hypertensive heart disease with congestive cardiac failure,G2101,G210100,83105008,1236017010,NA,32,G210100#
G2111#,Benign hypertensive heart disease with CCF,1,1,2,504901000006118#,Benign hypertensive heart disease with congestive cardiac failure,G2111,G211100,194767001,299653017,NA,32,G211100#
G21z1#,Hypertensive heart disease NOS with CCF,1,1,2,741681000006111#,Hypertensive heart disease NOS with CCF,G21z1,G21z100,64715009,107545013,NA,32,G21z100#
G232.#,Hypertensive heart&renal dis wth (congestive) heart failure,1,1,2,741701000006114#,Hypertensive heart and renal disease with (congestive) heart failure,G232,G232.00,194779001,299672017,NA,32,G232.00#
G234.#,Hyperten heart&renal dis+both(congestv)heart and renal fail,1,1,2,789941000006117#,Hypertensive heart and renal disease with both (congestive) heart failure and renal failure,G234,G234.00,194781004,299674016,NA,32,G234.00#
G400.#,Acute cor pulmonale,1,1,2,82584011#,Acute cor pulmonale,G400,G400.00,49584005,82584011,NA,32,G400.00#
G41z.#,Chronic cor pulmonale,1,1,2,395756011#,Chronic pulmonary heart disease NOS,G41z,G41z.00,87837008,145620019,NA,32,G41z.00#
G41z.#,Chronic cor pulmonale,1,1,2,132655012#,Chronic cor pulmonale,G41z-1,G41z.11,79955004,132655012,NA,32,G41z.11#
G41z.#,Chronic cor pulmonale,1,1,2,884211000006114#,Other pulmonary heart disease,G41z-99,G41z.99,79955004,884211000006114,NA,32,G41z.99#
G5800#,Acute congestive heart failure,1,1,2,18472010#,Acute congestive heart failure,G5800,G580000,10633002,18472010,NA,32,G580000#
G5801#,Chronic congestive heart failure,1,1,2,147247018#,Chronic congestive heart failure,G5801,G580100,88805009,147247018,NA,32,G580100#
G5802#,Decompensated cardiac failure,1,1,2,300179017#,Decompensated cardiac failure,G5802,G580200,195111005,300179017,NA,32,G580200#
G5803#,Compensated cardiac failure,1,1,2,300180019#,Compensated cardiac failure,G5803,G580300,195112003,300180019,NA,32,G580300#
G580.#,Congestive heart failure,1,1,2,490972013#,Right ventricular failure,G580-3,G580.13,367363000,490972013,NA,32,G580.13#
