readcode,term_readcode,cal,os,matchtotal,MedCodeId,Term,OriginalReadCode,CleansedReadCode,SnomedCTConceptId,SnomedCTDescriptionId,Release,EmisCodeCategoryId,final_readcode
14A2.#,H/O: hypertension,1,1,2,251674014#,H/O: hypertension,14A2,14A2.00,161501007,251674014,NA,32,14A2.00#
662F.#,Hypertension treatm. started,1,1,2,264485019#,Treatment for hypertension started,662F,662F.00,170586008,2694699015,NA,1,662F.00#
662G.#,Hypertensive treatm.changed,1,1,2,264486018#,Hypertensive treatment changed,662G,662G.00,170587004,2871342011,NA,1,662G.00#
662O.#,On treatment for hypertension,1,1,2,443764015#,On treatment for hypertension,662O,662O.00,302192008,443764015,NA,1,662O.00#
G2...#,Hypertensive disease,1,1,2,64168014#,Hypertensive disease,G2,G2...00,38341003,64168014,NA,32,G2...00#
G2...#,Hypertensive disease,1,1,2,523801000006119#,BP - hypertensive disease,G2-1,G2...11,38341003,64168014,NA,32,G2...11#
G20..#,Essential hypertension,1,1,2,99042012#,Essential hypertension,G20,G20..00,59621000,99042012,NA,32,G20..00#
G20..#,Essential hypertension,1,1,2,64172013#,Elevated blood pressure,G20-1,G20..11,24184005,196353013,NA,32,G20..11#
G20..#,Essential hypertension,1,1,2,99047018#,Primary hypertension,G20-2,G20..12,59621000,99047018,NA,32,G20..12#
G200.#,Malignant essential hypertension,1,1,2,131046010#,Malignant essential hypertension,G200,G200.00,78975002,131046010,NA,32,G200.00#
G200.#,Malignant essential hypertension,1,1,2,884121000006111#,Malignant hypertension,G200-99,G200.99,78975002,884121000006111,NA,32,G200.99#
G201.#,Benign essential hypertension,1,1,2,3135013#,Benign essential hypertension,G201,G201.00,1201005,3135013,NA,32,G201.00#
G202.#,Systolic hypertension,1,1,2,93494011#,Systolic hypertension,G202,G202.00,56218007,93494011,NA,32,G202.00#
G20z.#,Essential hypertension NOS,1,1,2,395751018#,Essential hypertension NOS,G20z,G20z.00,59621000,99042012,NA,32,G20z.00#
