readcode,term_readcode,MedCodeId,Term,OriginalReadCode,CleansedReadCode,SnomedCTConceptId,SnomedCTDescriptionId,Release,EmisCodeCategoryId,final_readcode
S3AA.#,Fracture of tibia,NA#,NA,NA,NA,NA,NA,NA,NA,S3AA.#
S3...#,Fracture of lower limb,78112010#,Fracture of bone of lower limb,S3,S3...00,46866001,1230400018,NA,32,S3...00#
S3...#,Fracture of lower limb,1230401019#,Leg fracture,S3-1,S3...11,46866001,1230401019,NA,32,S3...11#
S30..#,Fracture of neck of femur,895691000006117#,#Neck of femur,S30-99,S30..99,5913000,895691000006117,NA,32,S30..99#
S30..#,Fracture of neck of femur,391384012#,Hip fracture,S30-1,S30..11,263225007,391384012,NA,32,S30..11#
S30..#,Fracture of neck of femur,10843018#,Fracture of neck of femur,S30,S30..00,5913000,10843018,NA,32,S30..00#
S300.#,"Closed fracture proximal femur, transcervical",319084014#,"Closed fracture proximal femur, transcervical",S300,S300.00,208521006,319084014,NA,32,S300.00#
S3000#,"Cls # prox femur, intracapsular section, unspecified",570541000006112#,Closed fracture of intracapsular section of femur,S3000,S300000,20100009,33823015,NA,32,S300000#
S3001#,"Closed fracture proximal femur, transepiphyseal",319086011#,"Closed fracture proximal femur, transepiphyseal",S3001,S300100,208523009,319086011,NA,32,S300100#
S3002#,"Closed fracture proximal femur, midcervical section",319087019#,"Closed fracture proximal femur, midcervical section",S3002,S300200,208524003,319087019,NA,32,S300200#
S3003#,"Closed fracture proximal femur, basicervical",565211000006111#,"Closed fracture, base of neck of femur",S3003-1,S300311,1705000,3954014,NA,32,S300311#
S3003#,"Closed fracture proximal femur, basicervical",564391000006113#,Closed fracture of base of neck of femur,S3003,S300300,1705000,3954014,NA,32,S300300#
S3004#,Closed fracture head of femur,319090013#,Closed fracture head of femur,S3004,S300400,208526001,319090013,NA,32,S300400#
S3005#,"Cls # prox femur, subcapital, Garden grade unspec.",570551000006114#,"Cls # prox femur, subcapital, Garden grade unspec.",S3005,S300500,275338001,411305015,NA,32,S300500#
S3006#,"Closed fracture proximal femur, subcapital, Garden grade I",319092017#,"Closed fracture proximal femur, subcapital, Garden grade I",S3006,S300600,208528000,319092017,NA,32,S300600#
S3007#,"Closed fracture proximal femur, subcapital, Garden grade II",319093010#,"Closed fracture proximal femur, subcapital, Garden grade II",S3007,S300700,208529008,319093010,NA,32,S300700#
S3008#,"Closed fracture proximal femur, subcapital, Garden grade III",319094016#,"Closed fracture proximal femur, subcapital, Garden grade III",S3008,S300800,208530003,319094016,NA,32,S300800#
S3009#,"Closed fracture proximal femur, subcapital, Garden grade IV",319095015#,"Closed fracture proximal femur, subcapital, Garden grade IV",S3009,S300900,208531004,319095015,NA,32,S300900#
S300A#,"Closed fracture of femur, upper epiphysis",299771000000110#,"Closed fracture of femur, upper epiphysis",S300A,S300A00,198741000000106,299771000000110,NA,32,S300A00#
