readcode,term_readcode,cal,os,matchtotal,MedCodeId,Term,OriginalReadCode,CleansedReadCode,SnomedCTConceptId,SnomedCTDescriptionId,Release,EmisCodeCategoryId,final_readcode
F231.#,Congenital hemiplegia,1,1,2,72531016#,Infantile hemiplegia,F231,F231.00,1593000,3769017,NA,32,F231.00#
F234.#,Infantile hemiplegia NOS,1,1,2,297232013#,Infantile hemiplegia NOS,F234,F234.00,1593000,3769017,NA,32,F234.00#
F23..#,Congenital cerebral palsy,1,1,2,542541000006112#,Cerebral atonia,F23-4,F23..14,128188000,206411014,NA,32,F23..14#
F23..#,Congenital cerebral palsy,1,1,2,740431000006115#,Littles disease,F23-3,F23..13,128188000,206411014,NA,32,F23..13#
F23..#,Congenital cerebral palsy,1,1,2,411454011#,Congenital spastic cerebral palsy,F23-1,F23..11,230773005,2995835018,NA,32,F23..11#
F23..#,Congenital cerebral palsy,1,1,2,411453017#,Congenital cerebral palsy,F23,F23..00,128188000,2995060017,NA,32,F23..00#
F23..#,Congenital cerebral palsy,1,1,2,345771011#,Infantile cerebral palsy,F23-2,F23..12,128188000,2995381013,NA,32,F23..12#
F23y0#,Ataxic infantile cerebral palsy,1,1,2,297234014#,Ataxic infantile cerebral palsy,F23y0,F23y000,278512001,2995485017,NA,32,F23y000#
F23y1#,Flaccid infantile cerebral palsy,1,1,2,761411000006111#,Flaccid infantile cerebral palsy,F23y1,F23y100,192958009,297235010,NA,32,F23y100#
F23y.#,Other congenital cerebral palsy,1,1,2,297233015#,Other congenital cerebral palsy,F23y,F23y.00,128188000,206411014,NA,32,F23y.00#
F23yz#,Other infantile cerebral palsy NOS,1,1,2,297238012#,Other infantile cerebral palsy NOS,F23yz,F23yz00,128188000,206411014,NA,32,F23yz00#
F23z.#,Congenital cerebral palsy NOS,1,1,2,297239016#,Congenital cerebral palsy NOS,F23z,F23z.00,128188000,2995060017,NA,32,F23z.00#
Fyu90#,[X]Other infantile cerebral palsy,1,1,2,299394017#,[X]Other infantile cerebral palsy,Fyu90,Fyu9000,128188000,206411014,NA,32,Fyu9000#
G669.#,"Cerebral palsy, not congenital or infantile, acute",1,1,2,451123015#,"Cerebral palsy, not congenital or infantile, acute",G669,G669.00,307756005,451123015,NA,32,G669.00#
F22..#,Hemiplegia,1,1,2,820131000006114#,Hemiparesis,F22-1,F22..11,20022000,33703013,NA,32,F22..11#
F22..#,Hemiplegia,1,1,2,84272011#,Hemiplegia,F22,F22..00,50582007,84272011,NA,32,F22..00#
F220.#,Flaccid hemiplegia,1,1,2,134251013#,Flaccid hemiplegia,F220,F220.00,80935004,134251013,NA,32,F220.00#
F221.#,Spastic hemiplegia,1,1,2,450556015#,Spastic foot,F221-1,F221.11,307324001,450556015,NA,32,F221.11#
F221.#,Spastic hemiplegia,1,1,2,132112014#,Spastic hemiplegia,F221,F221.00,79633009,132112014,NA,32,F221.00#
F222.#,Left hemiplegia,1,1,2,415147018#,Left hemiplegia,F222,F222.00,278285008,415147018,NA,32,F222.00#
F222.#,Left hemiplegia,1,1,2,415152011#,Left sided weakness,F222-1,F222.11,278287000,415152011,NA,32,F222.11#
F223.#,Right hemiplegia,1,1,2,415149015#,Right sided weakness,F223-1,F223.11,278286009,415149015,NA,32,F223.11#
