readcode,term_readcode,cal,os,matchtotal,MedCodeId,Term,OriginalReadCode,CleansedReadCode,SnomedCTConceptId,SnomedCTDescriptionId,Release,EmisCodeCategoryId,final_readcode
14G1.#,H/O: rheumatoid arthritis,1,1,2,251794010#,H/O: rheumatoid arthritis,14G1,14G1.00,161567008,251794010,NA,32,14G1.00#
F3712#,Polyneuropathy in rheumatoid arthritis,1,1,2,297544012#,Polyneuropathy in rheumatoid arthritis,F3712,F371200,193180002,297544012,NA,32,F371200#
F3964#,Myopathy due to rheumatoid arthritis,1,1,2,297641010#,Myopathy due to rheumatoid arthritis,F3964,F396400,193250002,297641010,NA,32,F396400#
N0400#,Rheumatoid arthritis of cervical spine,1,1,2,309787016#,Rheumatoid arthritis of cervical spine,N0400,N040000,201764007,309787016,NA,32,N040000#
N0401#,Other rheumatoid arthritis of spine,1,1,2,309788014#,Rheumatoid arthritis of spine,N0401,N040100,9631008,16840014,NA,32,N040100#
N0402#,Rheumatoid arthritis of shoulder,1,1,2,309789018#,Rheumatoid arthritis of shoulder,N0402,N040200,201766009,309789018,NA,32,N040200#
N0403#,Rheumatoid arthritis of sternoclavicular joint,1,1,2,309790010#,Rheumatoid arthritis of sternoclavicular joint,N0403,N040300,201767000,309790010,NA,32,N040300#
N0404#,Rheumatoid arthritis of acromioclavicular joint,1,1,2,309791014#,Rheumatoid arthritis of acromioclavicular joint,N0404,N040400,201768005,309791014,NA,32,N040400#
N0405#,Rheumatoid arthritis of elbow,1,1,2,309792019#,Rheumatoid arthritis of elbow,N0405,N040500,201769002,309792019,NA,32,N040500#
N0406#,Rheumatoid arthritis of distal radio-ulnar joint,1,1,2,162051000006115#,Rheumatoid arthritis of distal radio-ulnar joint,N0406,N040600,201770001,309793012,NA,32,N040600#
N0407#,Rheumatoid arthritis of wrist,1,1,2,309794018#,Rheumatoid arthritis of wrist,N0407,N040700,201771002,309794018,NA,32,N040700#
N0407#,Rheumatoid arthritis of wrist,1,1,2,989291000006112#,Rheum. arth. - wrist joint,N0407-99,N040799,201771002,989000000000000,NA,32,N040799#
N0408#,Rheumatoid arthritis of MCP joint,1,1,2,162111000006117#,Rheumatoid arthritis of metacarpophalangeal joint,N0408,N040800,201772009,309795017,NA,32,N040800#
N0408#,Rheumatoid arthritis of MCP joint,1,1,2,989301000006113#,Rheum. arth. - hand joint,N0408-99,N040899,201772009,989000000000000,NA,32,N040899#
N0409#,Rheumatoid arthritis of PIP joint of finger,1,1,2,162131000006111#,Rheumatoid arthritis of proximal interphalangeal joint of finger,N0409,N040900,201773004,309796016,NA,32,N040900#
N040A#,Rheumatoid arthritis of DIP joint of finger,1,1,2,162041000006117#,Rheumatoid arthritis of distal interphalangeal joint of finger,N040A,N040A00,201774005,309797013,NA,32,N040A00#
N040B#,Rheumatoid arthritis of hip,1,1,2,989311000006111#,Rheum. arth. - hip joint,N040B-99,N040B99,201775006,989000000000000,NA,32,N040B99#
