readcode,term,MedCodeId,Term,OriginalReadCode,CleansedReadCode,SnomedCTConceptId,SnomedCTDescriptionId,Release,EmisCodeCategoryId,final_readcode,cancer_site,bladder,other,oral,skin_non_mel,myeloma,brain,breast,cervix,colorectal,headandneck,kidney,leukemia,lung,lymphoma,melanoma,oesophagus,ovary,pancreas,prostate,stomach,testis,urinary,uterus
B494.#,Malignant neoplasm of posterior wall of urinary bladder,289272012#,Malignant neoplasm of posterior wall of urinary bladder,B494,B494.00,188243001,289272012,NA,32,B494.00#,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
B5811#,Secondary malignant neoplasm of bladder,155773015#,Secondary malignant neoplasm of bladder,B5811,B581100,94186002,155773015,NA,32,B581100#,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
B49y.#,Malignant neoplasm of other site of urinary bladder,289279015#,Malignant neoplasm of other site of urinary bladder,B49y,B49y.00,399326009,1773307015,NA,32,B49y.00#,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
BB43.#,[M]Transitional cell carcinoma NOS,318001000006113#,Urothelial carcinoma,BB43-1,BB43.11,27090000,45320010,NA,32,BB43.11#,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
BB43.#,[M]Transitional cell carcinoma NOS,291363015#,Transitional cell carcinoma,BB43,BB43.00,27090000,45317019,NA,32,BB43.00#,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
B49..#,Malignant neoplasm of urinary bladder,880461000006118#,Carcinoma bladder,B49-99,B49..99,399326009,8.80461E+14,NA,32,B49..99#,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
B49..#,Malignant neoplasm of urinary bladder,880451000006115#,Benign Bladder Papilloma,B49-98,B49..98,281700003,8.80451E+14,NA,32,B49..98#,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
B49..#,Malignant neoplasm of urinary bladder,931991000006113#,Transitional cell ca bladder,B49-97,B49..97,399326009,9.31991E+14,NA,32,B49..97#,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
B49..#,Malignant neoplasm of urinary bladder,1786811017#,Malignant neoplasm of urinary bladder,B49,B49..00,399326009,1786811017,NA,32,B49..00#,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
B492.#,Malignant neoplasm of lateral wall of urinary bladder,289270016#,Malignant neoplasm of lateral wall of urinary bladder,B492,B492.00,188241004,289270016,NA,32,B492.00#,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
