readcode,term_readcode,cal,os,matchtotal,MedCodeId,Term,OriginalReadCode,CleansedReadCode,SnomedCTConceptId,SnomedCTDescriptionId,Release,EmisCodeCategoryId,final_readcode
14A7.#,H/O: CVA/stroke,1,1,2,809421000006116#,History of cerebrovascular accident,14A7,14A7.00,275526006,2986886017,NA,32,14A7.00#
14A7.#,H/O: CVA/stroke,1,1,2,411518010#,H/O: CVA,14A7-1,14A7.11,275526006,411518010,NA,32,14A7.11#
14A7.#,H/O: CVA/stroke,1,1,2,2476091017#,H/O: stroke,14A7-2,14A7.12,275526006,2476091017,NA,32,14A7.12#
662M.#,Stroke monitoring,1,1,2,264499015#,Stroke monitoring,662M,662M.00,170600009,264499015,NA,1,662M.00#
Fyu56#,[X]Other lacunar syndromes,1,1,2,299342019#,Lacunar infarction,Fyu56,Fyu5600,230698000,345651012,NA,32,Fyu5600#
G663.#,Brain stem stroke syndrome,1,1,2,524511000006116#,Brainstem stroke syndrome,G663,G663.00,195212005,300365015,NA,32,G663.00#
G664.#,Cerebellar stroke syndrome,1,1,2,300366019#,Cerebellar stroke syndrome,G664,G664.00,195213000,300366019,NA,32,G664.00#
G667.#,Left sided CVA,1,1,2,300370010#,Left sided CVA,G667,G667.00,195216008,300370010,NA,32,G667.00#
G668.#,Right sided CVA,1,1,2,300371014#,Right sided CVA,G668,G668.00,195217004,300371014,NA,32,G668.00#
G66..#,Stroke and cerebrovascular accident unspecified,1,1,2,405339016#,Cerebrovascular accident,G66,G66..00,230690007,345637012,NA,32,G66..00#
G66..#,Stroke and cerebrovascular accident unspecified,1,1,2,605491000006113#,CVA - Cerebrovascular accident,G66-3,G66..13,230690007,345635016,NA,32,G66..13#
G66..#,Stroke and cerebrovascular accident unspecified,1,1,2,884531000006117#,Stroke,G66-99,G66..99,685631000000102,884531000006117,NA,32,G66..99#
G66..#,Stroke and cerebrovascular accident unspecified,1,1,2,605501000006117#,CVA unspecified,G66-1,G66..11,230690007,345637012,NA,32,G66..11#
G66..#,Stroke and cerebrovascular accident unspecified,1,1,2,884521000006115#,Stroke/CVA - undefined,G66-98,G66..98,685631000000102,884521000006115,NA,32,G66..98#
G66..#,Stroke and cerebrovascular accident unspecified,1,1,2,122401000006115#,Stroke unspecified,G66-2,G66..12,230690007,345637012,NA,32,G66..12#
Gyu6C#,"[X]Sequelae of stroke,not specfd as h'morrhage or infarction",1,1,2,426321000006116#,"[X]Sequelae of stroke,not specfd as h'morrhage or infarction",Gyu6C,Gyu6C00,195239002,300403014,NA,32,Gyu6C00#
L440.#,CVA - cerebrovascular accident in the puerperium,1,1,2,411416011#,Stroke in the puerperium,L440-2,L440.12,275434003,411416011,NA,32,L440.12#
L440.#,CVA - cerebrovascular accident in the puerperium,1,1,2,605481000006110#,CVA - cerebrovascular accident in the puerperium,L440-1,L440.11,275434003,411416011,NA,32,L440.11#
L440.#,CVA - cerebrovascular accident in the puerperium,1,1,2,543251000006116#,Cerebrovascular disorder in the puerperium,L440,L440.00,6594005,11941010,NA,32,L440.00#
G63..#,Infarction - precerebral,1,1,2,345639010#,Infarction - precerebral,G63-1,G63..11,230692004,345639010,NA,32,G63..11#
G63..#,Infarction - precerebral,1,1,2,395777014#,Precerebral arterial occlusion,G63,G63..00,266253001,395777014,NA,32,G63..00#
G63..#,Infarction - precerebral,1,1,2,126301000006113#,Stenosis of precerebral artery,G63-2,G63..12,1055001,2858018,NA,32,G63..12#
G63y0#,Cerebral infarct due to thrombosis of precerebral arteries,1,1,2,300312010#,Cerebral infarct due to thrombosis of precerebral arteries,G63y0,G63y000,195185009,300312010,NA,32,G63y000#
G63y1#,Cerebral infarction due to embolism of precerebral arteries,1,1,2,300313017#,Cerebral infarction due to embolism of precerebral arteries,G63y1,G63y100,195186005,300313017,NA,32,G63y100#
G6400#,Cerebral infarction due to thrombosis of cerebral arteries,1,1,2,300321011#,Cerebral infarction due to thrombosis of cerebral arteries,G6400,G640000,195189003,300321011,NA,32,G640000#
G640.#,Cerebral thrombosis,1,1,2,118689010#,Cerebral thrombosis,G640,G640.00,71444005,118689010,NA,32,G640.00#
G6410#,Cerebral infarction due to embolism of cerebral arteries,1,1,2,300322016#,Cerebral infarction due to embolism of cerebral arteries,G6410,G641000,195190007,300322016,NA,32,G641000#
G641.#,Cerebral embolism,1,1,2,125470015#,Cerebral embolism,G641,G641.00,75543006,125470015,NA,32,G641.00#
G641.#,Cerebral embolism,1,1,2,542831000006116#,Cerebral embolus,G641-1,G641.11,75543006,125470015,NA,32,G641.11#
G64..#,Cerebral arterial occlusion,1,1,2,218511000000117#,Infarction - cerebral,G64-2,G64..12,432504007,2770034014,NA,32,G64..12#
G64..#,Cerebral arterial occlusion,1,1,2,1222398015#,Cerebral arterial occlusion,G64,G64..00,20059004,1222398015,NA,32,G64..00#
G64..#,Cerebral arterial occlusion,1,1,2,122361000006113#,Stroke due to cerebral arterial occlusion,G64-3,G64..13,230691006,345638019,NA,32,G64..13#
G64..#,Cerebral arterial occlusion,1,1,2,605461000006117#,CVA - cerebrovascular accident due to cerebral artery occlusion,G64-1,G64..11,230691006,345638019,NA,32,G64..11#
G64z1#,Wallenberg syndrome,1,1,2,57341000006119#,Wallenberg's syndrome,G64z1,G64z100,78569004,130374019,NA,32,G64z100#
G64z1#,Wallenberg syndrome,1,1,2,130375018#,Lateral medullary syndrome,G64z1-1,G64z111,78569004,130375018,NA,32,G64z111#
G64z.#,Cerebral infarction NOS,1,1,2,345650013#,Brainstem infarction NOS,G64z-1,G64z.11,95457000,158113017,NA,32,G64z.11#
