Code,Description
105597003#,Blindness AND/OR vision impairment level (disorder)
111518009#,"Impairment level: better eye: severe impairment: lesser eye: blind, not further specified (disorder)"
163946009#,On examination - right eye completely blind (disorder)
163960006#,On examination - left eye completely blind (disorder)
16931000000106#,Certification of blindness - Scotland (procedure)
170727003#,Registered blind (finding)
183361009#,Blind rehabilitation (regime/therapy)
193699007#,Blindness - both eyes (disorder)
193709009#,Acquired blindness of bilateral eyes (disorder)
193712007#,"One eye blind, one eye low vision (disorder)"
225569001#,Painful blind eye (disorder)
22950006#,Blindness of one eye (disorder)
23653003#,Traumatic blindness (disorder)
243113006#,Blind and partially sighted rehabilitation - employment placement (regime/therapy)
2457001#,Blind rehabilitation therapy (regime/therapy)
2481000000102#,England and Wales blind certification (procedure)
2501000000106#,Scottish partially sighted certification - blindness likely over 16 (procedure)
264008#,Blind hypertensive eye (disorder)
267727004#,Blind or low vision - both eyes (disorder)
267728009#,Blind or low vision - one eye only (disorder)
274571007#,Blind left eye (disorder)
274572000#,Blind right eye (disorder)
310418000#,Blindness certification (procedure)
343021000119100#,"Blind right eye, normal vision left eye (disorder)"
343031000119102#,"Blind right eye, low vision left eye (disorder)"
343041000119106#,"Blind left eye, normal vision right eye (disorder)"
343051000119108#,"Blind left eye, low vision right eye (disorder)"
374691000000100#,Excluded from diabetic retinopathy screening as blind (finding)
408318008#,On examination - pinhole left eye completely blind (finding)
408322003#,On examination - pinhole right eye completely blind (finding)
65956007#,Legal blindness (disorder)
829979008#,Complete blindness of right eye (disorder)
829980006#,Complete blindness of left eye (disorder)
862731000000105#,Uses guide dog for the blind (finding)
727391000000102#,Certificate of vision impairment (record artifact)
765178008#,Total visual and total hearing impairment (disorder)
830270002#,Complete pinhole blindness of left eye (disorder)
830271003#,Complete pinhole blindness of right eye (disorder)
60991000119100#,Blindness due to type 1 diabetes mellitus (disorder)
60951000119105#,Blindness due to type 2 diabetes mellitus (disorder)
361122008#,Impairment level of vision (disorder)
204148008#,Congenital corneal opacity with visual deficit (disorder)
68777001#,Impairment level of both eyes (disorder)
75133003#,Impairment level: moderate impairment of both eyes (disorder)
