Code,Description
309255002#,Charcot's joint of foot (disorder)
359554008#,Charcot's arthropathy (disorder)
700077008#,Charcot arthropathy of joint of ankle (disorder)
700437007#,Charcot arthropathy of midfoot (disorder)
700438002#,Charcot arthropathy of hindfoot (disorder)
879521000000100#,Charcot arthropathy of ankle (disorder)
705058008#,Charcot arthropathy of forefoot (disorder)
201724008#,Diabetic Charcot's arthropathy
71771000119100#,Diabetes mellitus type 1 with diabetic Charcot's arthropathy
781000119106#,Diabetic Charcot's arthropathy associated with type 2 diabetes mellitus
314904008#,Type II diabetes mellitus with neuropathic arthropathy (disorder)
