snomedcode,term_snomed,id,search_terms,read_mapping,matchtotal,MedCodeId,term_medcode,OriginalReadCode,CleansedReadCode,SnomedCTDescriptionId,Release,EmisCodeCategoryId
49436004#,Atrial fibrillation,82343012#,1,1,2,3299911000006116#,AF - Atrial fibrillation,^ESCTAF329991,NA,1230726010,NA,32
49436004#,Atrial fibrillation,82343012#,1,1,2,82343012#,Atrial fibrillation,G5730,G573000,82343012,NA,32
49436004#,Atrial fibrillation (disorder),787114012#,1,1,2,3299911000006116#,AF - Atrial fibrillation,^ESCTAF329991,NA,1230726010,NA,32
49436004#,Atrial fibrillation (disorder),787114012#,1,1,2,82343012#,Atrial fibrillation,G5730,G573000,82343012,NA,32
49436004#,AF - Atrial fibrillation,1230726010#,1,1,2,3299911000006116#,AF - Atrial fibrillation,^ESCTAF329991,NA,1230726010,NA,32
49436004#,AF - Atrial fibrillation,1230726010#,1,1,2,82343012#,Atrial fibrillation,G5730,G573000,82343012,NA,32
195080001#,Atrial fibrillation and flutter,300130013#,1,1,2,300130013#,Atrial fibrillation and flutter,G573,G573.00,300130013,NA,32
195080001#,Atrial fibrillation and flutter,300130013#,1,1,2,300132017#,Atrial fibrillation and flutter NOS,G573z,G573z00,300130013,NA,32
195080001#,Atrial fibrillation and flutter (disorder),579134012#,1,1,2,300130013#,Atrial fibrillation and flutter,G573,G573.00,300130013,NA,32
195080001#,Atrial fibrillation and flutter (disorder),579134012#,1,1,2,300132017#,Atrial fibrillation and flutter NOS,G573z,G573z00,300130013,NA,32
5370000#,Atrial flutter,9988012#,1,1,2,9988012#,Atrial flutter,G5731,G573100,9988012,NA,32
5370000#,Atrial flutter (disorder),791848019#,1,1,2,9988012#,Atrial flutter,G5731,G573100,9988012,NA,32
312442005#,H/O: atrial fibrillation,456154015#,1,1,2,6016401000006115#,History of atrial fibrillation,^ESCTHI601640,NA,2986292016,NA,32
312442005#,H/O: atrial fibrillation,456154015#,1,1,2,456154015#,H/O: atrial fibrillation,14AN,14AN.00,456154015,NA,32
312442005#,History of - atrial fibrillation (context-dependent category),709120015#,1,1,2,6016401000006115#,History of atrial fibrillation,^ESCTHI601640,NA,2986292016,NA,32
312442005#,History of - atrial fibrillation (context-dependent category),709120015#,1,1,2,456154015#,H/O: atrial fibrillation,14AN,14AN.00,456154015,NA,32
312442005#,History of - atrial fibrillation (situation),2610827014#,1,1,2,6016401000006115#,History of atrial fibrillation,^ESCTHI601640,NA,2986292016,NA,32
312442005#,History of - atrial fibrillation (situation),2610827014#,1,1,2,456154015#,H/O: atrial fibrillation,14AN,14AN.00,456154015,NA,32
312442005#,History of - atrial fibrillation,2670362011#,1,1,2,6016401000006115#,History of atrial fibrillation,^ESCTHI601640,NA,2986292016,NA,32
312442005#,History of - atrial fibrillation,2670362011#,1,1,2,456154015#,H/O: atrial fibrillation,14AN,14AN.00,456154015,NA,32
312442005#,History of atrial fibrillation,2986292016#,1,1,2,6016401000006115#,History of atrial fibrillation,^ESCTHI601640,NA,2986292016,NA,32
312442005#,History of atrial fibrillation,2986292016#,1,1,2,456154015#,H/O: atrial fibrillation,14AN,14AN.00,456154015,NA,32
312442005#,History of atrial fibrillation (situation),2986627014#,1,1,2,6016401000006115#,History of atrial fibrillation,^ESCTHI601640,NA,2986292016,NA,32
312442005#,History of atrial fibrillation (situation),2986627014#,1,1,2,456154015#,H/O: atrial fibrillation,14AN,14AN.00,456154015,NA,32
428076002#,History of atrial flutter (situation),2691596017#,1,1,2,2692063011#,History of atrial flutter,14AR,14AR.00,2692063011,NA,32
428076002#,History of atrial flutter,2692063011#,1,1,2,2692063011#,History of atrial flutter,14AR,14AR.00,2692063011,NA,32
134377004#,Atrial fibrillation monitoring,216183015#,1,1,2,216183015#,Atrial fibrillation monitoring,662S,662S.00,216183015,NA,1
134377004#,Atrial fibrillation monitoring (procedure),513955015#,1,1,2,216183015#,Atrial fibrillation monitoring,662S,662S.00,216183015,NA,1
134377004#,Atrial fibrillation monitoring (regime/therapy),1475456011#,1,1,2,216183015#,Atrial fibrillation monitoring,662S,662S.00,216183015,NA,1
282825002#,AF - Paroxysmal atrial fibrillation,421232012#,1,1,2,5669591000006113#,AF - Paroxysmal atrial fibrillation,^ESCTAF566959,NA,421232012,NA,32
282825002#,AF - Paroxysmal atrial fibrillation,421232012#,1,1,2,5669611000006119#,Intermittent atrial fibrillation,^ESCTIN566961,NA,421234013,NA,32
