snomedcode,term_snomed,id,search_terms,read_mapping,matchtotal,MedCodeId,term_medcode,OriginalReadCode,CleansedReadCode,SnomedCTDescriptionId,Release,EmisCodeCategoryId
161527007#,H/O: asthma,251716013#,1,1,2,4540771000006118#,History of asthma,^ESCTHI454077,NA,2986737014,NA,32
161527007#,H/O: asthma,251716013#,1,1,2,251716013#,H/O: asthma,14B4,14B4.00,251716013,NA,32
161527007#,History of - asthma (context-dependent category),542565018#,1,1,2,4540771000006118#,History of asthma,^ESCTHI454077,NA,2986737014,NA,32
161527007#,History of - asthma (context-dependent category),542565018#,1,1,2,251716013#,H/O: asthma,14B4,14B4.00,251716013,NA,32
161527007#,History of - asthma (situation),2606674017#,1,1,2,4540771000006118#,History of asthma,^ESCTHI454077,NA,2986737014,NA,32
161527007#,History of - asthma (situation),2606674017#,1,1,2,251716013#,H/O: asthma,14B4,14B4.00,251716013,NA,32
161527007#,History of - asthma,2666038018#,1,1,2,4540771000006118#,History of asthma,^ESCTHI454077,NA,2986737014,NA,32
161527007#,History of - asthma,2666038018#,1,1,2,251716013#,H/O: asthma,14B4,14B4.00,251716013,NA,32
161527007#,History of asthma,2986737014#,1,1,2,4540771000006118#,History of asthma,^ESCTHI454077,NA,2986737014,NA,32
161527007#,History of asthma,2986737014#,1,1,2,251716013#,H/O: asthma,14B4,14B4.00,251716013,NA,32
161527007#,History of asthma (situation),2986939015#,1,1,2,4540771000006118#,History of asthma,^ESCTHI454077,NA,2986737014,NA,32
161527007#,History of asthma (situation),2986939015#,1,1,2,251716013#,H/O: asthma,14B4,14B4.00,251716013,NA,32
31387002#,Exercise-induced asthma,52467014#,1,1,2,3005801000006117#,EIA - Exercise-induced asthma,^ESCTEI300580,NA,1227504017,NA,32
31387002#,Exercise-induced asthma,52467014#,1,1,2,3005811000006119#,Exercise induced asthma,^ESCTEX300581,NA,3035282010,NA,32
31387002#,Exercise-induced asthma,52467014#,1,1,2,655601000006113#,Exercise-induced asthma,173A,173A.00,52467014,NA,32
31387002#,Exercise-induced asthma,52467014#,1,1,2,655611000006111#,Exercise induced asthma,H33zz-1,H33zz11,52467014,NA,32
31387002#,Exercise-induced asthma (disorder),762502013#,1,1,2,3005801000006117#,EIA - Exercise-induced asthma,^ESCTEI300580,NA,1227504017,NA,32
31387002#,Exercise-induced asthma (disorder),762502013#,1,1,2,3005811000006119#,Exercise induced asthma,^ESCTEX300581,NA,3035282010,NA,32
31387002#,Exercise-induced asthma (disorder),762502013#,1,1,2,655601000006113#,Exercise-induced asthma,173A,173A.00,52467014,NA,32
31387002#,Exercise-induced asthma (disorder),762502013#,1,1,2,655611000006111#,Exercise induced asthma,H33zz-1,H33zz11,52467014,NA,32
31387002#,EIA - Exercise-induced asthma,1227504017#,1,1,2,3005801000006117#,EIA - Exercise-induced asthma,^ESCTEI300580,NA,1227504017,NA,32
31387002#,EIA - Exercise-induced asthma,1227504017#,1,1,2,3005811000006119#,Exercise induced asthma,^ESCTEX300581,NA,3035282010,NA,32
31387002#,EIA - Exercise-induced asthma,1227504017#,1,1,2,655601000006113#,Exercise-induced asthma,173A,173A.00,52467014,NA,32
31387002#,EIA - Exercise-induced asthma,1227504017#,1,1,2,655611000006111#,Exercise induced asthma,H33zz-1,H33zz11,52467014,NA,32
31387002#,Exercise induced asthma,3035282010#,1,1,2,3005801000006117#,EIA - Exercise-induced asthma,^ESCTEI300580,NA,1227504017,NA,32
31387002#,Exercise induced asthma,3035282010#,1,1,2,3005811000006119#,Exercise induced asthma,^ESCTEX300581,NA,3035282010,NA,32
31387002#,Exercise induced asthma,3035282010#,1,1,2,655601000006113#,Exercise-induced asthma,173A,173A.00,52467014,NA,32
31387002#,Exercise induced asthma,3035282010#,1,1,2,655611000006111#,Exercise induced asthma,H33zz-1,H33zz11,52467014,NA,32
195949008#,Chronic asthmatic bronchitis,301450011#,1,1,2,183191000006115#,Recurrent wheezy bronchitis,H30-2,H30..12,301450011,NA,32
195949008#,Chronic asthmatic bronchitis,301450011#,1,1,2,301450011#,Chronic asthmatic bronchitis,H3120,H312000,301450011,NA,32
195949008#,Chronic asthmatic bronchitis,301450011#,1,1,2,301451010#,Chronic wheezy bronchitis,H3120-1,H312011,301451010,NA,32
195949008#,Chronic wheezy bronchitis,301451010#,1,1,2,183191000006115#,Recurrent wheezy bronchitis,H30-2,H30..12,301450011,NA,32
195949008#,Chronic wheezy bronchitis,301451010#,1,1,2,301450011#,Chronic asthmatic bronchitis,H3120,H312000,301450011,NA,32
195949008#,Chronic wheezy bronchitis,301451010#,1,1,2,301451010#,Chronic wheezy bronchitis,H3120-1,H312011,301451010,NA,32
195949008#,Chronic asthmatic bronchitis (disorder),580115013#,1,1,2,183191000006115#,Recurrent wheezy bronchitis,H30-2,H30..12,301450011,NA,32
195949008#,Chronic asthmatic bronchitis (disorder),580115013#,1,1,2,301450011#,Chronic asthmatic bronchitis,H3120,H312000,301450011,NA,32
195949008#,Chronic asthmatic bronchitis (disorder),580115013#,1,1,2,301451010#,Chronic wheezy bronchitis,H3120-1,H312011,301451010,NA,32
63088003#,Extrinsic asthma without status asthmaticus,104872017#,1,1,2,104872017#,Extrinsic asthma without status asthmaticus,H3300,H330000,104872017,NA,32
63088003#,Extrinsic asthma without status asthmaticus (disorder),802332010#,1,1,2,104872017#,Extrinsic asthma without status asthmaticus,H3300,H330000,104872017,NA,32
63088003#,Allergic asthma without status asthmaticus,3754351017#,1,1,2,104872017#,Extrinsic asthma without status asthmaticus,H3300,H330000,104872017,NA,32
63088003#,Allergic asthma without status asthmaticus (disorder),3754352012#,1,1,2,104872017#,Extrinsic asthma without status asthmaticus,H3300,H330000,104872017,NA,32
233683003#,Hay fever with asthma,350153016#,1,1,2,817361000006114#,Hay fever with asthma,H330-3,H330.13,350153016,NA,32
233683003#,Hay fever with asthma,350153016#,1,1,2,350154010#,Pollen asthma,H330-4,H330.14,350154010,NA,32
233683003#,Hay fever with asthma,350153016#,1,1,2,350153016#,Hay fever with asthma,H3300-1,H330011,350153016,NA,32
233683003#,Pollen asthma,350154010#,1,1,2,817361000006114#,Hay fever with asthma,H330-3,H330.13,350153016,NA,32
233683003#,Pollen asthma,350154010#,1,1,2,350154010#,Pollen asthma,H330-4,H330.14,350154010,NA,32
233683003#,Pollen asthma,350154010#,1,1,2,350153016#,Hay fever with asthma,H3300-1,H330011,350153016,NA,32
233683003#,Hay fever with asthma (disorder),621900013#,1,1,2,817361000006114#,Hay fever with asthma,H330-3,H330.13,350153016,NA,32
233683003#,Hay fever with asthma (disorder),621900013#,1,1,2,350154010#,Pollen asthma,H330-4,H330.14,350154010,NA,32
233683003#,Hay fever with asthma (disorder),621900013#,1,1,2,350153016#,Hay fever with asthma,H3300-1,H330011,350153016,NA,32
708093000#,Acute exacerbation of extrinsic asthma,3032949014#,1,1,2,7628271000006114#,Acute exacerbation of extrinsic asthma,^ESCTAC762827,NA,3032949014,NA,32
708093000#,Acute exacerbation of extrinsic asthma,3032949014#,1,1,2,7628281000006112#,Acute exacerbation of immunoglobulin E-mediated allergic asthma,^ESCTAC762828,NA,3083682018,NA,32
708093000#,Acute exacerbation of extrinsic asthma,3032949014#,1,1,2,350151019#,Acute exacerbation of allergic asthma,H3301-1,H330111,3083642013,NA,32
708093000#,Acute exacerbation of extrinsic asthma (disorder),3032970015#,1,1,2,7628271000006114#,Acute exacerbation of extrinsic asthma,^ESCTAC762827,NA,3032949014,NA,32
