snomedcode,term_snomed,id,search_terms,read_mapping,matchtotal,MedCodeId,term_medcode,OriginalReadCode,CleansedReadCode,SnomedCTDescriptionId,Release,EmisCodeCategoryId
23022004#,Tuberculous bronchiectasis,38677017#,1,1,2,38677017#,Tuberculous bronchiectasis,A115,A115.00,38677017,NA,32
23022004#,Tuberculous bronchiectasis,38677017#,1,1,2,2867041000006113#,Post-tuberculous bronchiectasis,^ESCTPO286704,NA,1223017012,NA,32
23022004#,Tuberculous bronchiectasis (disorder),752496017#,1,1,2,38677017#,Tuberculous bronchiectasis,A115,A115.00,38677017,NA,32
23022004#,Tuberculous bronchiectasis (disorder),752496017#,1,1,2,2867041000006113#,Post-tuberculous bronchiectasis,^ESCTPO286704,NA,1223017012,NA,32
23022004#,Post-tuberculous bronchiectasis,1223017012#,1,1,2,38677017#,Tuberculous bronchiectasis,A115,A115.00,38677017,NA,32
23022004#,Post-tuberculous bronchiectasis,1223017012#,1,1,2,2867041000006113#,Post-tuberculous bronchiectasis,^ESCTPO286704,NA,1223017012,NA,32
12295008#,Bronchiectasis,21163015#,1,1,2,301526011#,Bronchiectasis NOS,H34z,H34z.00,21163015,NA,32
12295008#,Bronchiectasis,21163015#,1,1,2,21163015#,Bronchiectasis,H34,H34..00,21163015,NA,32
12295008#,"Bronchiectasis, NOS",21164014#,1,1,2,301526011#,Bronchiectasis NOS,H34z,H34z.00,21163015,NA,32
12295008#,"Bronchiectasis, NOS",21164014#,1,1,2,21163015#,Bronchiectasis,H34,H34..00,21163015,NA,32
12295008#,Bronchiectasis (disorder),724377016#,1,1,2,301526011#,Bronchiectasis NOS,H34z,H34z.00,21163015,NA,32
12295008#,Bronchiectasis (disorder),724377016#,1,1,2,21163015#,Bronchiectasis,H34,H34..00,21163015,NA,32
195984007#,Recurrent bronchiectasis,301524014#,1,1,2,301524014#,Recurrent bronchiectasis,H340,H340.00,301524014,NA,32
195984007#,Recurrent bronchiectasis (disorder),580154014#,1,1,2,301524014#,Recurrent bronchiectasis,H340,H340.00,301524014,NA,32
195985008#,Post-infective bronchiectasis,301525010#,1,1,2,301525010#,Post-infective bronchiectasis,H341,H341.00,301525010,NA,32
195985008#,Post-infective bronchiectasis,301525010#,1,1,2,4781641000006119#,Postinfectious bronchiectasis,^ESCTPO478164,NA,3035694012,NA,32
195985008#,Post-infective bronchiectasis (disorder),580155010#,1,1,2,301525010#,Post-infective bronchiectasis,H341,H341.00,301525010,NA,32
195985008#,Post-infective bronchiectasis (disorder),580155010#,1,1,2,4781641000006119#,Postinfectious bronchiectasis,^ESCTPO478164,NA,3035694012,NA,32
195985008#,Postinfectious bronchiectasis,3035694012#,1,1,2,301525010#,Post-infective bronchiectasis,H341,H341.00,301525010,NA,32
195985008#,Postinfectious bronchiectasis,3035694012#,1,1,2,4781641000006119#,Postinfectious bronchiectasis,^ESCTPO478164,NA,3035694012,NA,32
77593006#,Congenital bronchiectasis,128792019#,1,1,2,3762481000006115#,Developmental bronchiectasis,^ESCTDE376248,NA,1234135018,NA,32
77593006#,Congenital bronchiectasis,128792019#,1,1,2,128792019#,Congenital bronchiectasis,P861,P861.00,128792019,NA,32
77593006#,Congenital bronchiectasis (disorder),818440016#,1,1,2,3762481000006115#,Developmental bronchiectasis,^ESCTDE376248,NA,1234135018,NA,32
77593006#,Congenital bronchiectasis (disorder),818440016#,1,1,2,128792019#,Congenital bronchiectasis,P861,P861.00,128792019,NA,32
77593006#,Developmental bronchiectasis,1234135018#,1,1,2,3762481000006115#,Developmental bronchiectasis,^ESCTDE376248,NA,1234135018,NA,32
77593006#,Developmental bronchiectasis,1234135018#,1,1,2,128792019#,Congenital bronchiectasis,P861,P861.00,128792019,NA,32
233627004#,Congenital cystic bronchiectasis,350079011#,1,1,2,5053661000006115#,Congenital cystic bronchiectasis,^ESCTCO505366,NA,350079011,NA,31
233627004#,Congenital cystic bronchiectasis (disorder),621835011#,1,1,2,5053661000006115#,Congenital cystic bronchiectasis,^ESCTCO505366,NA,350079011,NA,31
233628009#,Acquired bronchiectasis,350080014#,1,1,2,5053671000006110#,Acquired bronchiectasis,^ESCTAC505367,NA,350080014,NA,31
233628009#,Acquired bronchiectasis (disorder),621836012#,1,1,2,5053671000006110#,Acquired bronchiectasis,^ESCTAC505367,NA,350080014,NA,31
233629001#,Idiopathic bronchiectasis,350081013#,1,1,2,5053681000006113#,Idiopathic bronchiectasis,^ESCTID505368,NA,350081013,NA,31
233629001#,Idiopathic bronchiectasis (disorder),621837015#,1,1,2,5053681000006113#,Idiopathic bronchiectasis,^ESCTID505368,NA,350081013,NA,31
233630006#,Obstructive bronchiectasis,350082018#,1,1,2,5053691000006111#,Obstructive bronchiectasis,^ESCTOB505369,NA,350082018,NA,31
