snomedcode,term_snomed,id,search_terms,read_mapping,matchtotal,MedCodeId,term_medcode,OriginalReadCode,CleansedReadCode,SnomedCTDescriptionId,Release,EmisCodeCategoryId
420054005#,Alcoholic cirrhosis (disorder),2573677012#,1,1,2,476611000006116#,Alcoholic cirrhosis of liver,J612,J612.00,2920441014,NA,32
420054005#,Alcoholic cirrhosis (disorder),2573677012#,1,1,2,6947471000006110#,Alcoholic liver cirrhosis,^ESCTAL694747,NA,2912539019,NA,32
420054005#,Alcoholic cirrhosis (disorder),2573677012#,1,1,2,6947461000006115#,Alcoholic cirrhosis,^ESCTAL694746,NA,2576981019,NA,32
420054005#,Alcoholic cirrhosis,2576981019#,1,1,2,476611000006116#,Alcoholic cirrhosis of liver,J612,J612.00,2920441014,NA,32
420054005#,Alcoholic cirrhosis,2576981019#,1,1,2,6947471000006110#,Alcoholic liver cirrhosis,^ESCTAL694747,NA,2912539019,NA,32
420054005#,Alcoholic cirrhosis,2576981019#,1,1,2,6947461000006115#,Alcoholic cirrhosis,^ESCTAL694746,NA,2576981019,NA,32
420054005#,Alcoholic liver cirrhosis,2912539019#,1,1,2,476611000006116#,Alcoholic cirrhosis of liver,J612,J612.00,2920441014,NA,32
420054005#,Alcoholic liver cirrhosis,2912539019#,1,1,2,6947471000006110#,Alcoholic liver cirrhosis,^ESCTAL694747,NA,2912539019,NA,32
420054005#,Alcoholic liver cirrhosis,2912539019#,1,1,2,6947461000006115#,Alcoholic cirrhosis,^ESCTAL694746,NA,2576981019,NA,32
420054005#,Alcoholic cirrhosis of liver,2920441014#,1,1,2,476611000006116#,Alcoholic cirrhosis of liver,J612,J612.00,2920441014,NA,32
420054005#,Alcoholic cirrhosis of liver,2920441014#,1,1,2,6947471000006110#,Alcoholic liver cirrhosis,^ESCTAL694747,NA,2912539019,NA,32
420054005#,Alcoholic cirrhosis of liver,2920441014#,1,1,2,6947461000006115#,Alcoholic cirrhosis,^ESCTAL694746,NA,2576981019,NA,32
76301009#,Florid cirrhosis,126721013#,1,1,2,126721013#,Florid cirrhosis,J612-1,J612.11,126721013,NA,32
76301009#,Florid cirrhosis (disorder),817007017#,1,1,2,126721013#,Florid cirrhosis,J612-1,J612.11,126721013,NA,32
419728003#,Portal cirrhosis (disorder),2573676015#,1,1,2,2576980018#,Portal cirrhosis,J615-1,J615.11,2576980018,NA,32
419728003#,Portal cirrhosis (disorder),2573676015#,1,1,2,6941931000006112#,Laennec's cirrhosis,^ESCTLA694193,NA,2579818016,NA,32
419728003#,Portal cirrhosis (disorder),2573676015#,1,1,2,2579818016#,Laennec's cirrhosis,J612-2,J612.12,2576980018,NA,32
419728003#,Portal cirrhosis (disorder),2573676015#,1,1,2,303442010#,Portal cirrhosis unspecified,J615y,J615y00,2576980018,NA,32
419728003#,Portal cirrhosis (disorder),2573676015#,1,1,2,6941941000006119#,PC - Portal cirrhosis,^ESCTPC694194,NA,2579819012,NA,32
419728003#,Portal cirrhosis,2576980018#,1,1,2,2576980018#,Portal cirrhosis,J615-1,J615.11,2576980018,NA,32
419728003#,Portal cirrhosis,2576980018#,1,1,2,6941931000006112#,Laennec's cirrhosis,^ESCTLA694193,NA,2579818016,NA,32
419728003#,Portal cirrhosis,2576980018#,1,1,2,2579818016#,Laennec's cirrhosis,J612-2,J612.12,2576980018,NA,32
419728003#,Portal cirrhosis,2576980018#,1,1,2,303442010#,Portal cirrhosis unspecified,J615y,J615y00,2576980018,NA,32
419728003#,Portal cirrhosis,2576980018#,1,1,2,6941941000006119#,PC - Portal cirrhosis,^ESCTPC694194,NA,2579819012,NA,32
419728003#,Laennec's cirrhosis,2579818016#,1,1,2,2576980018#,Portal cirrhosis,J615-1,J615.11,2576980018,NA,32
419728003#,Laennec's cirrhosis,2579818016#,1,1,2,6941931000006112#,Laennec's cirrhosis,^ESCTLA694193,NA,2579818016,NA,32
419728003#,Laennec's cirrhosis,2579818016#,1,1,2,2579818016#,Laennec's cirrhosis,J612-2,J612.12,2576980018,NA,32
419728003#,Laennec's cirrhosis,2579818016#,1,1,2,303442010#,Portal cirrhosis unspecified,J615y,J615y00,2576980018,NA,32
419728003#,Laennec's cirrhosis,2579818016#,1,1,2,6941941000006119#,PC - Portal cirrhosis,^ESCTPC694194,NA,2579819012,NA,32
419728003#,PC - Portal cirrhosis,2579819012#,1,1,2,2576980018#,Portal cirrhosis,J615-1,J615.11,2576980018,NA,32
419728003#,PC - Portal cirrhosis,2579819012#,1,1,2,6941931000006112#,Laennec's cirrhosis,^ESCTLA694193,NA,2579818016,NA,32
419728003#,PC - Portal cirrhosis,2579819012#,1,1,2,2579818016#,Laennec's cirrhosis,J612-2,J612.12,2576980018,NA,32
419728003#,PC - Portal cirrhosis,2579819012#,1,1,2,303442010#,Portal cirrhosis unspecified,J615y,J615y00,2576980018,NA,32
419728003#,PC - Portal cirrhosis,2579819012#,1,1,2,6941941000006119#,PC - Portal cirrhosis,^ESCTPC694194,NA,2579819012,NA,32
41309000#,Alcoholic liver damage,68906017#,1,1,2,3165691000006115#,ALD - Alcoholic liver disease,^ESCTAL316569,NA,492959019,NA,32
41309000#,Alcoholic liver damage,68906017#,1,1,2,303399018#,Alcoholic liver damage,J613,J613.00,68906017,NA,32
41309000#,Alcoholic liver damage,68906017#,1,1,2,3165681000006118#,Alcoholic liver disease,^ESCTAL316568,NA,68909012,NA,32
41309000#,"Alcoholic liver damage, NOS",68907014#,1,1,2,3165691000006115#,ALD - Alcoholic liver disease,^ESCTAL316569,NA,492959019,NA,32
41309000#,"Alcoholic liver damage, NOS",68907014#,1,1,2,303399018#,Alcoholic liver damage,J613,J613.00,68906017,NA,32
41309000#,"Alcoholic liver damage, NOS",68907014#,1,1,2,3165681000006118#,Alcoholic liver disease,^ESCTAL316568,NA,68909012,NA,32
41309000#,"Alcoholic liver disease, NOS",68908016#,1,1,2,3165691000006115#,ALD - Alcoholic liver disease,^ESCTAL316569,NA,492959019,NA,32
