snomedcode,term_snomed,id,search_terms,read_mapping,matchtotal,MedCodeId,term_medcode,OriginalReadCode,CleansedReadCode,SnomedCTDescriptionId,Release,EmisCodeCategoryId
89549007#,Catarrhal bronchitis,148474017#,1,1,2,3955621000006112#,Catarrhal bronchitis,^ESCTCA395562,NA,148474017,NA,32
89549007#,Catarrhal bronchitis,148474017#,1,1,2,508562012#,Chronic catarrhal bronchitis,H3100,H310000,508562012,NA,32
89549007#,Chronic mucus hypersecretion,508560016#,1,1,2,3955621000006112#,Catarrhal bronchitis,^ESCTCA395562,NA,148474017,NA,32
89549007#,Chronic mucus hypersecretion,508560016#,1,1,2,508562012#,Chronic catarrhal bronchitis,H3100,H310000,508562012,NA,32
89549007#,Simple chronic bronchitis,508561017#,1,1,2,3955621000006112#,Catarrhal bronchitis,^ESCTCA395562,NA,148474017,NA,32
89549007#,Simple chronic bronchitis,508561017#,1,1,2,508562012#,Chronic catarrhal bronchitis,H3100,H310000,508562012,NA,32
89549007#,Chronic catarrhal bronchitis,508562012#,1,1,2,3955621000006112#,Catarrhal bronchitis,^ESCTCA395562,NA,148474017,NA,32
89549007#,Chronic catarrhal bronchitis,508562012#,1,1,2,508562012#,Chronic catarrhal bronchitis,H3100,H310000,508562012,NA,32
89549007#,Catarrhal bronchitis (disorder),832465016#,1,1,2,3955621000006112#,Catarrhal bronchitis,^ESCTCA395562,NA,148474017,NA,32
89549007#,Catarrhal bronchitis (disorder),832465016#,1,1,2,508562012#,Chronic catarrhal bronchitis,H3100,H310000,508562012,NA,32
61937009#,Simple chronic bronchitis,102938011#,1,1,2,301444018#,Simple chronic bronchitis NOS,H310z,H310z00,102938011,NA,32
61937009#,Simple chronic bronchitis,102938011#,1,1,2,508561017#,Simple chronic bronchitis,H310,H310.00,102938011,NA,32
61937009#,Chronic catarrhal bronchitis,102939015#,1,1,2,301444018#,Simple chronic bronchitis NOS,H310z,H310z00,102938011,NA,32
61937009#,Chronic catarrhal bronchitis,102939015#,1,1,2,508561017#,Simple chronic bronchitis,H310,H310.00,102938011,NA,32
61937009#,Simple chronic bronchitis (disorder),801054019#,1,1,2,301444018#,Simple chronic bronchitis NOS,H310z,H310z00,102938011,NA,32
61937009#,Simple chronic bronchitis (disorder),801054019#,1,1,2,508561017#,Simple chronic bronchitis,H310,H310.00,102938011,NA,32
84409004#,Fetid chronic bronchitis,139979010#,1,1,2,506053014#,Purulent chronic bronchitis,H3110,H311000,506053014,NA,32
84409004#,Fetid chronic bronchitis,139979010#,1,1,2,139979010#,Fetid chronic bronchitis,H3111,H311100,506053014,NA,32
84409004#,Fetid chronic bronchitis,139979010#,1,1,2,3873191000006110#,Fetid chronic bronchitis,^ESCTFE387319,NA,139979010,NA,32
84409004#,Purulent chronic bronchitis,506053014#,1,1,2,506053014#,Purulent chronic bronchitis,H3110,H311000,506053014,NA,32
84409004#,Purulent chronic bronchitis,506053014#,1,1,2,139979010#,Fetid chronic bronchitis,H3111,H311100,506053014,NA,32
84409004#,Purulent chronic bronchitis,506053014#,1,1,2,3873191000006110#,Fetid chronic bronchitis,^ESCTFE387319,NA,139979010,NA,32
84409004#,Fetid chronic bronchitis (disorder),826246018#,1,1,2,506053014#,Purulent chronic bronchitis,H3110,H311000,506053014,NA,32
84409004#,Fetid chronic bronchitis (disorder),826246018#,1,1,2,139979010#,Fetid chronic bronchitis,H3111,H311100,506053014,NA,32
84409004#,Fetid chronic bronchitis (disorder),826246018#,1,1,2,3873191000006110#,Fetid chronic bronchitis,^ESCTFE387319,NA,139979010,NA,32
74417001#,Mucopurulent chronic bronchitis,123588010#,1,1,2,123588010#,Mucopurulent chronic bronchitis,H311,H311.00,123588010,NA,32
74417001#,Mucopurulent chronic bronchitis,123588010#,1,1,2,885281000006118#,Mucopurulent chr. bronchitis,H311-99,H311.99,885000000000000,NA,32
74417001#,Mucopurulent chronic bronchitis,123588010#,1,1,2,301448015#,Mucopurulent chronic bronchitis NOS,H311z,H311z00,123588010,NA,32
74417001#,Chronic catarrhal bronchitis,123589019#,1,1,2,123588010#,Mucopurulent chronic bronchitis,H311,H311.00,123588010,NA,32
