snomedcode,term_snomed,id,search_terms,read_mapping,matchtotal,MedCodeId,term_medcode,OriginalReadCode,CleansedReadCode,SnomedCTDescriptionId,Release,EmisCodeCategoryId
190905008#,Cystic fibrosis,293528019#,1,1,2,293539016#,Cystic fibrosis NOS,C370z,C370z00,293528019,NA,32
190905008#,Cystic fibrosis,293528019#,1,1,2,1227346010#,Cystic fibrosis with combined manifestations,C370y-1,C370y11,293528019,NA,32
190905008#,Cystic fibrosis,293528019#,1,1,2,293528019#,Cystic fibrosis,C370,C370.00,293528019,NA,32
190905008#,Cystic fibrosis,293528019#,1,1,2,293530017#,Fibrocystic disease,C370-1,C370.11,293530017,NA,32
190905008#,Cystic fibrosis,293528019#,1,1,2,4760431000006115#,CF - Cystic fibrosis,^ESCTCF476043,NA,293529010,NA,32
190905008#,Cystic fibrosis,293528019#,1,1,2,293532013#,Mucoviscidosis,C370-2,C370.12,293532013,NA,32
190905008#,Cystic fibrosis,293528019#,1,1,2,4760451000006110#,CF,^ESCTCF476045,NA,293531018,NA,32
190905008#,Cystic fibrosis,293528019#,1,1,2,451084014#,Cystic fibrosis with other manifestations,C370y,C370y00,293528019,NA,32
190905008#,CF - Cystic fibrosis,293529010#,1,1,2,293539016#,Cystic fibrosis NOS,C370z,C370z00,293528019,NA,32
190905008#,CF - Cystic fibrosis,293529010#,1,1,2,1227346010#,Cystic fibrosis with combined manifestations,C370y-1,C370y11,293528019,NA,32
190905008#,CF - Cystic fibrosis,293529010#,1,1,2,293528019#,Cystic fibrosis,C370,C370.00,293528019,NA,32
190905008#,CF - Cystic fibrosis,293529010#,1,1,2,293530017#,Fibrocystic disease,C370-1,C370.11,293530017,NA,32
190905008#,CF - Cystic fibrosis,293529010#,1,1,2,4760431000006115#,CF - Cystic fibrosis,^ESCTCF476043,NA,293529010,NA,32
190905008#,CF - Cystic fibrosis,293529010#,1,1,2,293532013#,Mucoviscidosis,C370-2,C370.12,293532013,NA,32
190905008#,CF - Cystic fibrosis,293529010#,1,1,2,4760451000006110#,CF,^ESCTCF476045,NA,293531018,NA,32
190905008#,CF - Cystic fibrosis,293529010#,1,1,2,451084014#,Cystic fibrosis with other manifestations,C370y,C370y00,293528019,NA,32
190905008#,Fibrocystic disease,293530017#,1,1,2,293539016#,Cystic fibrosis NOS,C370z,C370z00,293528019,NA,32
190905008#,Fibrocystic disease,293530017#,1,1,2,1227346010#,Cystic fibrosis with combined manifestations,C370y-1,C370y11,293528019,NA,32
190905008#,Fibrocystic disease,293530017#,1,1,2,293528019#,Cystic fibrosis,C370,C370.00,293528019,NA,32
190905008#,Fibrocystic disease,293530017#,1,1,2,293530017#,Fibrocystic disease,C370-1,C370.11,293530017,NA,32
190905008#,Fibrocystic disease,293530017#,1,1,2,4760431000006115#,CF - Cystic fibrosis,^ESCTCF476043,NA,293529010,NA,32
190905008#,Fibrocystic disease,293530017#,1,1,2,293532013#,Mucoviscidosis,C370-2,C370.12,293532013,NA,32
190905008#,Fibrocystic disease,293530017#,1,1,2,4760451000006110#,CF,^ESCTCF476045,NA,293531018,NA,32
190905008#,Fibrocystic disease,293530017#,1,1,2,451084014#,Cystic fibrosis with other manifestations,C370y,C370y00,293528019,NA,32
190905008#,CF,293531018#,1,1,2,293539016#,Cystic fibrosis NOS,C370z,C370z00,293528019,NA,32
190905008#,CF,293531018#,1,1,2,1227346010#,Cystic fibrosis with combined manifestations,C370y-1,C370y11,293528019,NA,32
190905008#,CF,293531018#,1,1,2,293528019#,Cystic fibrosis,C370,C370.00,293528019,NA,32
190905008#,CF,293531018#,1,1,2,293530017#,Fibrocystic disease,C370-1,C370.11,293530017,NA,32
190905008#,CF,293531018#,1,1,2,4760431000006115#,CF - Cystic fibrosis,^ESCTCF476043,NA,293529010,NA,32
190905008#,CF,293531018#,1,1,2,293532013#,Mucoviscidosis,C370-2,C370.12,293532013,NA,32
190905008#,CF,293531018#,1,1,2,4760451000006110#,CF,^ESCTCF476045,NA,293531018,NA,32
190905008#,CF,293531018#,1,1,2,451084014#,Cystic fibrosis with other manifestations,C370y,C370y00,293528019,NA,32
190905008#,Mucoviscidosis,293532013#,1,1,2,293539016#,Cystic fibrosis NOS,C370z,C370z00,293528019,NA,32
190905008#,Mucoviscidosis,293532013#,1,1,2,1227346010#,Cystic fibrosis with combined manifestations,C370y-1,C370y11,293528019,NA,32
190905008#,Mucoviscidosis,293532013#,1,1,2,293528019#,Cystic fibrosis,C370,C370.00,293528019,NA,32
190905008#,Mucoviscidosis,293532013#,1,1,2,293530017#,Fibrocystic disease,C370-1,C370.11,293530017,NA,32
190905008#,Mucoviscidosis,293532013#,1,1,2,4760431000006115#,CF - Cystic fibrosis,^ESCTCF476043,NA,293529010,NA,32
190905008#,Mucoviscidosis,293532013#,1,1,2,293532013#,Mucoviscidosis,C370-2,C370.12,293532013,NA,32
190905008#,Mucoviscidosis,293532013#,1,1,2,4760451000006110#,CF,^ESCTCF476045,NA,293531018,NA,32
190905008#,Mucoviscidosis,293532013#,1,1,2,451084014#,Cystic fibrosis with other manifestations,C370y,C370y00,293528019,NA,32
190905008#,Cystic fibrosis (disorder),574544017#,1,1,2,293539016#,Cystic fibrosis NOS,C370z,C370z00,293528019,NA,32
190905008#,Cystic fibrosis (disorder),574544017#,1,1,2,1227346010#,Cystic fibrosis with combined manifestations,C370y-1,C370y11,293528019,NA,32
190905008#,Cystic fibrosis (disorder),574544017#,1,1,2,293528019#,Cystic fibrosis,C370,C370.00,293528019,NA,32
190905008#,Cystic fibrosis (disorder),574544017#,1,1,2,293530017#,Fibrocystic disease,C370-1,C370.11,293530017,NA,32
190905008#,Cystic fibrosis (disorder),574544017#,1,1,2,4760431000006115#,CF - Cystic fibrosis,^ESCTCF476043,NA,293529010,NA,32
190905008#,Cystic fibrosis (disorder),574544017#,1,1,2,293532013#,Mucoviscidosis,C370-2,C370.12,293532013,NA,32
190905008#,Cystic fibrosis (disorder),574544017#,1,1,2,4760451000006110#,CF,^ESCTCF476045,NA,293531018,NA,32
190905008#,Cystic fibrosis (disorder),574544017#,1,1,2,451084014#,Cystic fibrosis with other manifestations,C370y,C370y00,293528019,NA,32
81423003#,Cystic fibrosis without meconium ileus,135084012#,1,1,2,3824111000006115#,Cystic fibrosis without meconium ileus,^ESCTCY382411,NA,135084012,NA,32
81423003#,Cystic fibrosis without meconium ileus,135084012#,1,1,2,1495466012#,Cystic fibrosis with no meconium ileus,C3700,C370000,1495466012,NA,32
81423003#,Cystic fibrosis without meconium ileus (disorder),822693016#,1,1,2,3824111000006115#,Cystic fibrosis without meconium ileus,^ESCTCY382411,NA,135084012,NA,32
81423003#,Cystic fibrosis without meconium ileus (disorder),822693016#,1,1,2,1495466012#,Cystic fibrosis with no meconium ileus,C3700,C370000,1495466012,NA,32
81423003#,Cystic fibrosis with no meconium ileus,1495466012#,1,1,2,3824111000006115#,Cystic fibrosis without meconium ileus,^ESCTCY382411,NA,135084012,NA,32
81423003#,Cystic fibrosis with no meconium ileus,1495466012#,1,1,2,1495466012#,Cystic fibrosis with no meconium ileus,C3700,C370000,1495466012,NA,32
86092005#,Cystic fibrosis with meconium ileus,142759013#,1,1,2,1495490013#,Meconium ileus in cystic fibrosis,C3701-1,C370111,1495490013,NA,32
86092005#,Cystic fibrosis with meconium ileus,142759013#,1,1,2,142759013#,Cystic fibrosis with meconium ileus,C3701,C370100,142759013,NA,32
86092005#,Cystic fibrosis with meconium ileus,142759013#,1,1,2,3899691000006112#,Meconium ileus of the newborn,^ESCTME389969,NA,142761016,NA,32
86092005#,Cystic fibrosis with meconium ileus,142759013#,1,1,2,3899681000006114#,Meconium obstruction of intestine in mucoviscidosis,^ESCTME389968,NA,142760015,NA,32
86092005#,Meconium obstruction of intestine in mucoviscidosis,142760015#,1,1,2,1495490013#,Meconium ileus in cystic fibrosis,C3701-1,C370111,1495490013,NA,32
86092005#,Meconium obstruction of intestine in mucoviscidosis,142760015#,1,1,2,142759013#,Cystic fibrosis with meconium ileus,C3701,C370100,142759013,NA,32
86092005#,Meconium obstruction of intestine in mucoviscidosis,142760015#,1,1,2,3899691000006112#,Meconium ileus of the newborn,^ESCTME389969,NA,142761016,NA,32
86092005#,Meconium obstruction of intestine in mucoviscidosis,142760015#,1,1,2,3899681000006114#,Meconium obstruction of intestine in mucoviscidosis,^ESCTME389968,NA,142760015,NA,32
86092005#,Cystic fibrosis with meconium ileus (disorder),828283011#,1,1,2,1495490013#,Meconium ileus in cystic fibrosis,C3701-1,C370111,1495490013,NA,32
86092005#,Cystic fibrosis with meconium ileus (disorder),828283011#,1,1,2,142759013#,Cystic fibrosis with meconium ileus,C3701,C370100,142759013,NA,32
86092005#,Cystic fibrosis with meconium ileus (disorder),828283011#,1,1,2,3899691000006112#,Meconium ileus of the newborn,^ESCTME389969,NA,142761016,NA,32
86092005#,Cystic fibrosis with meconium ileus (disorder),828283011#,1,1,2,3899681000006114#,Meconium obstruction of intestine in mucoviscidosis,^ESCTME389968,NA,142760015,NA,32
86092005#,Meconium ileus in cystic fibrosis,1495490013#,1,1,2,1495490013#,Meconium ileus in cystic fibrosis,C3701-1,C370111,1495490013,NA,32
86092005#,Meconium ileus in cystic fibrosis,1495490013#,1,1,2,142759013#,Cystic fibrosis with meconium ileus,C3701,C370100,142759013,NA,32
86092005#,Meconium ileus in cystic fibrosis,1495490013#,1,1,2,3899691000006112#,Meconium ileus of the newborn,^ESCTME389969,NA,142761016,NA,32
86092005#,Meconium ileus in cystic fibrosis,1495490013#,1,1,2,3899681000006114#,Meconium obstruction of intestine in mucoviscidosis,^ESCTME389968,NA,142760015,NA,32
86555001#,Cystic fibrosis of the lung,143537016#,1,1,2,3907561000006119#,Pulmonary cystic fibrosis,^ESCTPU390756,NA,143539018,NA,32
86555001#,Cystic fibrosis of the lung,143537016#,1,1,2,606441000006110#,Cystic fibrosis of the lung,C3702,C370200,143537016,NA,32
86555001#,Cystic fibrosis of the lung,143537016#,1,1,2,3907551000006116#,Mucoviscidosis involving the lung,^ESCTMU390755,NA,143538014,NA,32
86555001#,Mucoviscidosis involving the lung,143538014#,1,1,2,3907561000006119#,Pulmonary cystic fibrosis,^ESCTPU390756,NA,143539018,NA,32
86555001#,Mucoviscidosis involving the lung,143538014#,1,1,2,606441000006110#,Cystic fibrosis of the lung,C3702,C370200,143537016,NA,32
86555001#,Mucoviscidosis involving the lung,143538014#,1,1,2,3907551000006116#,Mucoviscidosis involving the lung,^ESCTMU390755,NA,143538014,NA,32
86555001#,Pulmonary cystic fibrosis,143539018#,1,1,2,3907561000006119#,Pulmonary cystic fibrosis,^ESCTPU390756,NA,143539018,NA,32
86555001#,Pulmonary cystic fibrosis,143539018#,1,1,2,606441000006110#,Cystic fibrosis of the lung,C3702,C370200,143537016,NA,32
86555001#,Pulmonary cystic fibrosis,143539018#,1,1,2,3907551000006116#,Mucoviscidosis involving the lung,^ESCTMU390755,NA,143538014,NA,32
86555001#,Cystic fibrosis of the lung (disorder),828843013#,1,1,2,3907561000006119#,Pulmonary cystic fibrosis,^ESCTPU390756,NA,143539018,NA,32
86555001#,Cystic fibrosis of the lung (disorder),828843013#,1,1,2,606441000006110#,Cystic fibrosis of the lung,C3702,C370200,143537016,NA,32
86555001#,Cystic fibrosis of the lung (disorder),828843013#,1,1,2,3907551000006116#,Mucoviscidosis involving the lung,^ESCTMU390755,NA,143538014,NA,32
190909002#,Cystic fibrosis with intestinal manifestations,293537019#,1,1,2,293537019#,Cystic fibrosis with intestinal manifestations,C3703,C370300,293537019,NA,32
190909002#,Cystic fibrosis with intestinal manifestations (disorder),574548019#,1,1,2,293537019#,Cystic fibrosis with intestinal manifestations,C3703,C370300,293537019,NA,32
426705001#,Diabetes mellitus associated with cystic fibrosis (disorder),2662758014#,1,1,2,7063141000006118#,Diabetes mellitus co-occurrent and due to cystic fibrosis,^ESCTDI706314,NA,3440582013,NA,32
426705001#,Diabetes mellitus associated with cystic fibrosis (disorder),2662758014#,1,1,2,494831000000119#,Diabetes mellitus associated with cystic fibrosis,C10N1,C10N100,2674608014,NA,32
426705001#,Diabetes mellitus associated with cystic fibrosis,2674608014#,1,1,2,7063141000006118#,Diabetes mellitus co-occurrent and due to cystic fibrosis,^ESCTDI706314,NA,3440582013,NA,32
426705001#,Diabetes mellitus associated with cystic fibrosis,2674608014#,1,1,2,494831000000119#,Diabetes mellitus associated with cystic fibrosis,C10N1,C10N100,2674608014,NA,32
426705001#,Diabetes mellitus co-occurrent and due to cystic fibrosis (disorder),3440581018#,1,1,2,7063141000006118#,Diabetes mellitus co-occurrent and due to cystic fibrosis,^ESCTDI706314,NA,3440582013,NA,32
