snomedcode,term_snomed,id,search_terms,read_mapping,matchtotal,MedCodeId,term_medcode,OriginalReadCode,CleansedReadCode,SnomedCTDescriptionId,Release,EmisCodeCategoryId
101421000119107#,Dementia due to Parkinson's disease,2968235019#,1,0,1,8031761000006117#,Dementia due to Parkinsons disease,^ESCTDE803176,NA,2987130014,NA,31
101421000119107#,Dementia due to Parkinson's disease,2968235019#,1,0,1,8031751000006119#,Dementia due to Parkinson's disease,^ESCTDE803175,NA,2968235019,NA,31
101421000119107#,Dementia due to Parkinson's disease,2968235019#,1,0,1,8031771000006112#,Dementia due to Parkinson disease,^ESCTDE803177,NA,2987358012,NA,31
101421000119107#,Dementia due to Parkinsons disease,2987130014#,1,0,1,8031761000006117#,Dementia due to Parkinsons disease,^ESCTDE803176,NA,2987130014,NA,31
101421000119107#,Dementia due to Parkinsons disease,2987130014#,1,0,1,8031751000006119#,Dementia due to Parkinson's disease,^ESCTDE803175,NA,2968235019,NA,31
101421000119107#,Dementia due to Parkinsons disease,2987130014#,1,0,1,8031771000006112#,Dementia due to Parkinson disease,^ESCTDE803177,NA,2987358012,NA,31
101421000119107#,Dementia due to Parkinson disease,2987358012#,1,0,1,8031761000006117#,Dementia due to Parkinsons disease,^ESCTDE803176,NA,2987130014,NA,31
101421000119107#,Dementia due to Parkinson disease,2987358012#,1,0,1,8031751000006119#,Dementia due to Parkinson's disease,^ESCTDE803175,NA,2968235019,NA,31
101421000119107#,Dementia due to Parkinson disease,2987358012#,1,0,1,8031771000006112#,Dementia due to Parkinson disease,^ESCTDE803177,NA,2987358012,NA,31
101421000119107#,Dementia due to Parkinson's disease (disorder),811291000119119#,1,0,1,8031761000006117#,Dementia due to Parkinsons disease,^ESCTDE803176,NA,2987130014,NA,31
101421000119107#,Dementia due to Parkinson's disease (disorder),811291000119119#,1,0,1,8031751000006119#,Dementia due to Parkinson's disease,^ESCTDE803175,NA,2968235019,NA,31
101421000119107#,Dementia due to Parkinson's disease (disorder),811291000119119#,1,0,1,8031771000006112#,Dementia due to Parkinson disease,^ESCTDE803177,NA,2987358012,NA,31
10171000132106#,Behavioral and psychological symptoms of dementia (finding),3672959013#,1,0,1,12106371000006111#,BPSD - behavioral and psychological symptoms of dementia,^ESCT1210637,NA,3672960015,NA,31
10171000132106#,Behavioral and psychological symptoms of dementia (finding),3672959013#,1,0,1,12106381000006114#,BPSD - behavioural and psychological symptoms of dementia,^ESCT1210638,NA,3672962011,NA,31
10171000132106#,Behavioral and psychological symptoms of dementia (finding),3672959013#,1,0,1,12106361000006116#,Neuropsychiatric symptoms,^ESCT1210636,NA,3672958017,NA,31
10171000132106#,Behavioral and psychological symptoms of dementia (finding),3672959013#,1,0,1,12106391000006112#,Behavioral and psychological symptoms of dementia,^ESCT1210639,NA,3672963018,NA,31
10171000132106#,Behavioral and psychological symptoms of dementia (finding),3672959013#,1,0,1,12106351000006118#,Behavioural and psychological symptoms of dementia,^ESCT1210635,NA,3672961016,NA,31
