snomedcode,term_snomed,id,search_terms,read_mapping,matchtotal,MedCodeId,term_medcode,OriginalReadCode,CleansedReadCode,SnomedCTDescriptionId,Release,EmisCodeCategoryId
420279001#,Renal disorder associated with type II diabetes mellitus (disorder),2615535015#,1,1,2,84981000006114#,Type II diabetes mellitus with renal complications,C1090-1,C109011,3013392012,NA,32
420279001#,Renal disorder associated with type II diabetes mellitus (disorder),2615535015#,1,1,2,280531000006119#,Non-insulin dependent diabetes mellitus with nephropathy,C109C,C109C00,3035432019,NA,32
420279001#,Renal disorder associated with type II diabetes mellitus (disorder),2615535015#,1,1,2,914041000006111#,Type II diabetes mellitus with renal complications,C10F0-1,C10F011,3013392012,NA,32
420279001#,Renal disorder associated with type II diabetes mellitus (disorder),2615535015#,1,1,2,616551000006111#,"Diabetes mellitus, adult onset, with renal manifestation",C1041,C104100,2615535015,NA,32
420279001#,Renal disorder associated with type II diabetes mellitus (disorder),2615535015#,1,1,2,84921000006110#,Renal disorder due to type 2 diabetes mellitus,C109C-1,C109C11,3013392012,NA,32
420279001#,Renal disorder associated with type II diabetes mellitus (disorder),2615535015#,1,1,2,914031000006118#,Renal disorder associated with type II diabetes mellitus,C10F0,C10F000,2618208012,NA,32
420279001#,Renal disorder associated with type II diabetes mellitus (disorder),2615535015#,1,1,2,914271000006114#,Type II diabetes mellitus with nephropathy,C10FC-1,C10FC11,3013392012,NA,32
420279001#,Renal disorder associated with type II diabetes mellitus (disorder),2615535015#,1,1,2,84551000006113#,Type 2 diabetes mellitus with nephropathy,C109C-2,C109C12,3035432019,NA,32
420279001#,Renal disorder associated with type II diabetes mellitus (disorder),2615535015#,1,1,2,6951281000006117#,Kidney disorder associated with type 2 diabetes mellitus,^ESCTKI695128,NA,2623051017,NA,32
420279001#,Renal disorder associated with type II diabetes mellitus (disorder),2615535015#,1,1,2,587521000006111#,Non-insulin-dependent diabetes mellitus with renal comps,C1090,C109000,2615535015,NA,32
420279001#,Renal disorder associated with type II diabetes mellitus (disorder),2615535015#,1,1,2,914261000006119#,Diabetes type 2 with nephropathy,C10FC,C10FC00,3035432019,NA,32
420279001#,Renal disorder associated with type II diabetes mellitus (disorder),2615535015#,1,1,2,84611000006113#,Type 2 diabetes mellitus with renal complications,C1090-2,C109012,2618208012,NA,32
420279001#,Renal disorder associated with type II diabetes mellitus,2618208012#,1,1,2,84981000006114#,Type II diabetes mellitus with renal complications,C1090-1,C109011,3013392012,NA,32
420279001#,Renal disorder associated with type II diabetes mellitus,2618208012#,1,1,2,280531000006119#,Non-insulin dependent diabetes mellitus with nephropathy,C109C,C109C00,3035432019,NA,32
420279001#,Renal disorder associated with type II diabetes mellitus,2618208012#,1,1,2,914041000006111#,Type II diabetes mellitus with renal complications,C10F0-1,C10F011,3013392012,NA,32
420279001#,Renal disorder associated with type II diabetes mellitus,2618208012#,1,1,2,616551000006111#,"Diabetes mellitus, adult onset, with renal manifestation",C1041,C104100,2615535015,NA,32
420279001#,Renal disorder associated with type II diabetes mellitus,2618208012#,1,1,2,84921000006110#,Renal disorder due to type 2 diabetes mellitus,C109C-1,C109C11,3013392012,NA,32
420279001#,Renal disorder associated with type II diabetes mellitus,2618208012#,1,1,2,914031000006118#,Renal disorder associated with type II diabetes mellitus,C10F0,C10F000,2618208012,NA,32
420279001#,Renal disorder associated with type II diabetes mellitus,2618208012#,1,1,2,914271000006114#,Type II diabetes mellitus with nephropathy,C10FC-1,C10FC11,3013392012,NA,32
420279001#,Renal disorder associated with type II diabetes mellitus,2618208012#,1,1,2,84551000006113#,Type 2 diabetes mellitus with nephropathy,C109C-2,C109C12,3035432019,NA,32
420279001#,Renal disorder associated with type II diabetes mellitus,2618208012#,1,1,2,6951281000006117#,Kidney disorder associated with type 2 diabetes mellitus,^ESCTKI695128,NA,2623051017,NA,32
420279001#,Renal disorder associated with type II diabetes mellitus,2618208012#,1,1,2,587521000006111#,Non-insulin-dependent diabetes mellitus with renal comps,C1090,C109000,2615535015,NA,32
420279001#,Renal disorder associated with type II diabetes mellitus,2618208012#,1,1,2,914261000006119#,Diabetes type 2 with nephropathy,C10FC,C10FC00,3035432019,NA,32
420279001#,Renal disorder associated with type II diabetes mellitus,2618208012#,1,1,2,84611000006113#,Type 2 diabetes mellitus with renal complications,C1090-2,C109012,2618208012,NA,32
420279001#,Renal disorder associated with type 2 diabetes mellitus,2623048012#,1,1,2,84981000006114#,Type II diabetes mellitus with renal complications,C1090-1,C109011,3013392012,NA,32
420279001#,Renal disorder associated with type 2 diabetes mellitus,2623048012#,1,1,2,280531000006119#,Non-insulin dependent diabetes mellitus with nephropathy,C109C,C109C00,3035432019,NA,32
