snomedcode,term_snomed,id,search_terms,read_mapping,matchtotal,MedCodeId,term_medcode,OriginalReadCode,CleansedReadCode,SnomedCTDescriptionId,Release,EmisCodeCategoryId
161898004#,Falls,252318014#,1,1,2,252318014#,Falls,16D,16D..00,252318014,NA,27
161898004#,Falls,252318014#,1,1,2,1817091000006116#,[D]Tendency to fall,R01z6,R01z600,252318014,NA,27
161898004#,Falls (finding),542979015#,1,1,2,252318014#,Falls,16D,16D..00,252318014,NA,27
161898004#,Falls (finding),542979015#,1,1,2,1817091000006116#,[D]Tendency to fall,R01z6,R01z600,252318014,NA,27
17886000#,Fall from wheelchair,30221011#,1,1,2,332896011#,"[X]Fall involving wheelchair, occurrence on farm",U1057,U105700,30221011,NA,32
17886000#,Fall from wheelchair,30221011#,1,1,2,385121000006113#,[X]Fall invlv w'chair occ school oth instit/pub admin area,U1052,U105200,30221011,NA,32
17886000#,Fall from wheelchair,30221011#,1,1,2,385311000006119#,"[X]Fall involv wheelchair, occurrnce at indust/constr area",U1056,U105600,30221011,NA,32
17886000#,Fall from wheelchair,30221011#,1,1,2,385611000006114#,"[X]Fall involving wheelchair, occurrence on street/highway",U1054,U105400,30221011,NA,32
17886000#,Fall from wheelchair,30221011#,1,1,2,385631000006115#,[X]Fall involvng wheelchair occurrence residential instit'n,U1051,U105100,30221011,NA,32
17886000#,Fall from wheelchair,30221011#,1,1,2,2783821000006118#,Fall involving wheelchair,^ESCTFA278382,NA,2989877011,NA,32
17886000#,Fall from wheelchair,30221011#,1,1,2,2783801000006111#,Fall with wheelchair,^ESCTFA278380,NA,30222016,NA,32
17886000#,Fall from wheelchair,30221011#,1,1,2,332887011#,Fall from wheelchair,U1050,U105000,30221011,NA,32
17886000#,Fall from wheelchair,30221011#,1,1,2,385581000006118#,[X]Fall involving wheelchair occurrnce at unspecified place,U105z,U105z00,30221011,NA,32
17886000#,Fall from wheelchair,30221011#,1,1,2,385621000006118#,"[X]Fall involving wheelchair, occurrn at sport/athlet area",U1053,U105300,30221011,NA,32
17886000#,Fall from wheelchair,30221011#,1,1,2,1221608017#,[X]Fall involving wheelchair,U105,U105.00,1221608017,NA,32
17886000#,Fall from wheelchair,30221011#,1,1,2,385321000006110#,"[X]Fall involv wheelchair, occurrnce at other specif place",U105y,U105y00,30221011,NA,32
17886000#,Fall from wheelchair,30221011#,1,1,2,385641000006113#,[X]Fall involvng wheelchair occurrnce at trade/service area,U1055,U105500,30221011,NA,32
17886000#,Fall with wheelchair,30222016#,1,1,2,332896011#,"[X]Fall involving wheelchair, occurrence on farm",U1057,U105700,30221011,NA,32
17886000#,Fall with wheelchair,30222016#,1,1,2,385121000006113#,[X]Fall invlv w'chair occ school oth instit/pub admin area,U1052,U105200,30221011,NA,32
17886000#,Fall with wheelchair,30222016#,1,1,2,385311000006119#,"[X]Fall involv wheelchair, occurrnce at indust/constr area",U1056,U105600,30221011,NA,32
17886000#,Fall with wheelchair,30222016#,1,1,2,385611000006114#,"[X]Fall involving wheelchair, occurrence on street/highway",U1054,U105400,30221011,NA,32
17886000#,Fall with wheelchair,30222016#,1,1,2,385631000006115#,[X]Fall involvng wheelchair occurrence residential instit'n,U1051,U105100,30221011,NA,32
17886000#,Fall with wheelchair,30222016#,1,1,2,2783821000006118#,Fall involving wheelchair,^ESCTFA278382,NA,2989877011,NA,32
17886000#,Fall with wheelchair,30222016#,1,1,2,2783801000006111#,Fall with wheelchair,^ESCTFA278380,NA,30222016,NA,32
17886000#,Fall with wheelchair,30222016#,1,1,2,332887011#,Fall from wheelchair,U1050,U105000,30221011,NA,32
17886000#,Fall with wheelchair,30222016#,1,1,2,385581000006118#,[X]Fall involving wheelchair occurrnce at unspecified place,U105z,U105z00,30221011,NA,32
17886000#,Fall with wheelchair,30222016#,1,1,2,385621000006118#,"[X]Fall involving wheelchair, occurrn at sport/athlet area",U1053,U105300,30221011,NA,32
17886000#,Fall with wheelchair,30222016#,1,1,2,1221608017#,[X]Fall involving wheelchair,U105,U105.00,1221608017,NA,32
17886000#,Fall with wheelchair,30222016#,1,1,2,385321000006110#,"[X]Fall involv wheelchair, occurrnce at other specif place",U105y,U105y00,30221011,NA,32
17886000#,Fall with wheelchair,30222016#,1,1,2,385641000006113#,[X]Fall involvng wheelchair occurrnce at trade/service area,U1055,U105500,30221011,NA,32
17886000#,Fall from wheelchair (finding),745240014#,1,1,2,332896011#,"[X]Fall involving wheelchair, occurrence on farm",U1057,U105700,30221011,NA,32
17886000#,Fall from wheelchair (finding),745240014#,1,1,2,385121000006113#,[X]Fall invlv w'chair occ school oth instit/pub admin area,U1052,U105200,30221011,NA,32
17886000#,Fall from wheelchair (finding),745240014#,1,1,2,385311000006119#,"[X]Fall involv wheelchair, occurrnce at indust/constr area",U1056,U105600,30221011,NA,32
17886000#,Fall from wheelchair (finding),745240014#,1,1,2,385611000006114#,"[X]Fall involving wheelchair, occurrence on street/highway",U1054,U105400,30221011,NA,32
17886000#,Fall from wheelchair (finding),745240014#,1,1,2,385631000006115#,[X]Fall involvng wheelchair occurrence residential instit'n,U1051,U105100,30221011,NA,32
17886000#,Fall from wheelchair (finding),745240014#,1,1,2,2783821000006118#,Fall involving wheelchair,^ESCTFA278382,NA,2989877011,NA,32
17886000#,Fall from wheelchair (finding),745240014#,1,1,2,2783801000006111#,Fall with wheelchair,^ESCTFA278380,NA,30222016,NA,32
17886000#,Fall from wheelchair (finding),745240014#,1,1,2,332887011#,Fall from wheelchair,U1050,U105000,30221011,NA,32
17886000#,Fall from wheelchair (finding),745240014#,1,1,2,385581000006118#,[X]Fall involving wheelchair occurrnce at unspecified place,U105z,U105z00,30221011,NA,32
17886000#,Fall from wheelchair (finding),745240014#,1,1,2,385621000006118#,"[X]Fall involving wheelchair, occurrn at sport/athlet area",U1053,U105300,30221011,NA,32
17886000#,Fall from wheelchair (finding),745240014#,1,1,2,1221608017#,[X]Fall involving wheelchair,U105,U105.00,1221608017,NA,32
17886000#,Fall from wheelchair (finding),745240014#,1,1,2,385321000006110#,"[X]Fall involv wheelchair, occurrnce at other specif place",U105y,U105y00,30221011,NA,32
17886000#,Fall from wheelchair (finding),745240014#,1,1,2,385641000006113#,[X]Fall involvng wheelchair occurrnce at trade/service area,U1055,U105500,30221011,NA,32
17886000#,[X]Fall involving wheelchair,1221608017#,1,1,2,332896011#,"[X]Fall involving wheelchair, occurrence on farm",U1057,U105700,30221011,NA,32
17886000#,[X]Fall involving wheelchair,1221608017#,1,1,2,385121000006113#,[X]Fall invlv w'chair occ school oth instit/pub admin area,U1052,U105200,30221011,NA,32
17886000#,[X]Fall involving wheelchair,1221608017#,1,1,2,385311000006119#,"[X]Fall involv wheelchair, occurrnce at indust/constr area",U1056,U105600,30221011,NA,32
17886000#,[X]Fall involving wheelchair,1221608017#,1,1,2,385611000006114#,"[X]Fall involving wheelchair, occurrence on street/highway",U1054,U105400,30221011,NA,32
17886000#,[X]Fall involving wheelchair,1221608017#,1,1,2,385631000006115#,[X]Fall involvng wheelchair occurrence residential instit'n,U1051,U105100,30221011,NA,32
17886000#,[X]Fall involving wheelchair,1221608017#,1,1,2,2783821000006118#,Fall involving wheelchair,^ESCTFA278382,NA,2989877011,NA,32
17886000#,[X]Fall involving wheelchair,1221608017#,1,1,2,2783801000006111#,Fall with wheelchair,^ESCTFA278380,NA,30222016,NA,32
17886000#,[X]Fall involving wheelchair,1221608017#,1,1,2,332887011#,Fall from wheelchair,U1050,U105000,30221011,NA,32
17886000#,[X]Fall involving wheelchair,1221608017#,1,1,2,385581000006118#,[X]Fall involving wheelchair occurrnce at unspecified place,U105z,U105z00,30221011,NA,32
17886000#,[X]Fall involving wheelchair,1221608017#,1,1,2,385621000006118#,"[X]Fall involving wheelchair, occurrn at sport/athlet area",U1053,U105300,30221011,NA,32
17886000#,[X]Fall involving wheelchair,1221608017#,1,1,2,1221608017#,[X]Fall involving wheelchair,U105,U105.00,1221608017,NA,32
17886000#,[X]Fall involving wheelchair,1221608017#,1,1,2,385321000006110#,"[X]Fall involv wheelchair, occurrnce at other specif place",U105y,U105y00,30221011,NA,32
17886000#,[X]Fall involving wheelchair,1221608017#,1,1,2,385641000006113#,[X]Fall involvng wheelchair occurrnce at trade/service area,U1055,U105500,30221011,NA,32
17886000#,Fall from wheelchair (event),2562146019#,1,1,2,332896011#,"[X]Fall involving wheelchair, occurrence on farm",U1057,U105700,30221011,NA,32
17886000#,Fall from wheelchair (event),2562146019#,1,1,2,385121000006113#,[X]Fall invlv w'chair occ school oth instit/pub admin area,U1052,U105200,30221011,NA,32
17886000#,Fall from wheelchair (event),2562146019#,1,1,2,385311000006119#,"[X]Fall involv wheelchair, occurrnce at indust/constr area",U1056,U105600,30221011,NA,32
17886000#,Fall from wheelchair (event),2562146019#,1,1,2,385611000006114#,"[X]Fall involving wheelchair, occurrence on street/highway",U1054,U105400,30221011,NA,32
17886000#,Fall from wheelchair (event),2562146019#,1,1,2,385631000006115#,[X]Fall involvng wheelchair occurrence residential instit'n,U1051,U105100,30221011,NA,32
17886000#,Fall from wheelchair (event),2562146019#,1,1,2,2783821000006118#,Fall involving wheelchair,^ESCTFA278382,NA,2989877011,NA,32
17886000#,Fall from wheelchair (event),2562146019#,1,1,2,2783801000006111#,Fall with wheelchair,^ESCTFA278380,NA,30222016,NA,32
17886000#,Fall from wheelchair (event),2562146019#,1,1,2,332887011#,Fall from wheelchair,U1050,U105000,30221011,NA,32
17886000#,Fall from wheelchair (event),2562146019#,1,1,2,385581000006118#,[X]Fall involving wheelchair occurrnce at unspecified place,U105z,U105z00,30221011,NA,32
17886000#,Fall from wheelchair (event),2562146019#,1,1,2,385621000006118#,"[X]Fall involving wheelchair, occurrn at sport/athlet area",U1053,U105300,30221011,NA,32
17886000#,Fall from wheelchair (event),2562146019#,1,1,2,1221608017#,[X]Fall involving wheelchair,U105,U105.00,1221608017,NA,32
17886000#,Fall from wheelchair (event),2562146019#,1,1,2,385321000006110#,"[X]Fall involv wheelchair, occurrnce at other specif place",U105y,U105y00,30221011,NA,32
17886000#,Fall from wheelchair (event),2562146019#,1,1,2,385641000006113#,[X]Fall involvng wheelchair occurrnce at trade/service area,U1055,U105500,30221011,NA,32
17886000#,Fall involving wheelchair,2989877011#,1,1,2,332896011#,"[X]Fall involving wheelchair, occurrence on farm",U1057,U105700,30221011,NA,32
17886000#,Fall involving wheelchair,2989877011#,1,1,2,385121000006113#,[X]Fall invlv w'chair occ school oth instit/pub admin area,U1052,U105200,30221011,NA,32
17886000#,Fall involving wheelchair,2989877011#,1,1,2,385311000006119#,"[X]Fall involv wheelchair, occurrnce at indust/constr area",U1056,U105600,30221011,NA,32
17886000#,Fall involving wheelchair,2989877011#,1,1,2,385611000006114#,"[X]Fall involving wheelchair, occurrence on street/highway",U1054,U105400,30221011,NA,32
17886000#,Fall involving wheelchair,2989877011#,1,1,2,385631000006115#,[X]Fall involvng wheelchair occurrence residential instit'n,U1051,U105100,30221011,NA,32
17886000#,Fall involving wheelchair,2989877011#,1,1,2,2783821000006118#,Fall involving wheelchair,^ESCTFA278382,NA,2989877011,NA,32
17886000#,Fall involving wheelchair,2989877011#,1,1,2,2783801000006111#,Fall with wheelchair,^ESCTFA278380,NA,30222016,NA,32
17886000#,Fall involving wheelchair,2989877011#,1,1,2,332887011#,Fall from wheelchair,U1050,U105000,30221011,NA,32
17886000#,Fall involving wheelchair,2989877011#,1,1,2,385581000006118#,[X]Fall involving wheelchair occurrnce at unspecified place,U105z,U105z00,30221011,NA,32
17886000#,Fall involving wheelchair,2989877011#,1,1,2,385621000006118#,"[X]Fall involving wheelchair, occurrn at sport/athlet area",U1053,U105300,30221011,NA,32
17886000#,Fall involving wheelchair,2989877011#,1,1,2,1221608017#,[X]Fall involving wheelchair,U105,U105.00,1221608017,NA,32
