snomedcode,term_snomed,id,search_terms,read_mapping,matchtotal,MedCodeId,term_medcode,OriginalReadCode,CleansedReadCode,SnomedCTDescriptionId,Release,EmisCodeCategoryId
1085006#,Candidiasis of vulva,2904011#,1,1,2,2904011#,Candidiasis of vulva,AB210,AB21000,2904011,NA,32
1085006#,Candidiasis of vulva,2904011#,1,1,2,2515651000006112#,Vulval candidosis,^ESCTVU251565,NA,1219407018,NA,32
1085006#,Candidiasis of vulva,2904011#,1,1,2,2515641000006110#,Vulval thrush,^ESCTVU251564,NA,1219406010,NA,32
1085006#,Candidiasis of vulva,2904011#,1,1,2,2515631000006117#,Vulval candidiasis,^ESCTVU251563,NA,1219405014,NA,32
1085006#,Candidiasis of vulva (disorder),601461013#,1,1,2,2904011#,Candidiasis of vulva,AB210,AB21000,2904011,NA,32
1085006#,Candidiasis of vulva (disorder),601461013#,1,1,2,2515651000006112#,Vulval candidosis,^ESCTVU251565,NA,1219407018,NA,32
1085006#,Candidiasis of vulva (disorder),601461013#,1,1,2,2515641000006110#,Vulval thrush,^ESCTVU251564,NA,1219406010,NA,32
1085006#,Candidiasis of vulva (disorder),601461013#,1,1,2,2515631000006117#,Vulval candidiasis,^ESCTVU251563,NA,1219405014,NA,32
1085006#,Vulval candidiasis,1219405014#,1,1,2,2904011#,Candidiasis of vulva,AB210,AB21000,2904011,NA,32
1085006#,Vulval candidiasis,1219405014#,1,1,2,2515651000006112#,Vulval candidosis,^ESCTVU251565,NA,1219407018,NA,32
1085006#,Vulval candidiasis,1219405014#,1,1,2,2515641000006110#,Vulval thrush,^ESCTVU251564,NA,1219406010,NA,32
1085006#,Vulval candidiasis,1219405014#,1,1,2,2515631000006117#,Vulval candidiasis,^ESCTVU251563,NA,1219405014,NA,32
1085006#,Vulval thrush,1219406010#,1,1,2,2904011#,Candidiasis of vulva,AB210,AB21000,2904011,NA,32
1085006#,Vulval thrush,1219406010#,1,1,2,2515651000006112#,Vulval candidosis,^ESCTVU251565,NA,1219407018,NA,32
1085006#,Vulval thrush,1219406010#,1,1,2,2515641000006110#,Vulval thrush,^ESCTVU251564,NA,1219406010,NA,32
1085006#,Vulval thrush,1219406010#,1,1,2,2515631000006117#,Vulval candidiasis,^ESCTVU251563,NA,1219405014,NA,32
1085006#,Vulval candidosis,1219407018#,1,1,2,2904011#,Candidiasis of vulva,AB210,AB21000,2904011,NA,32
1085006#,Vulval candidosis,1219407018#,1,1,2,2515651000006112#,Vulval candidosis,^ESCTVU251565,NA,1219407018,NA,32
1085006#,Vulval candidosis,1219407018#,1,1,2,2515641000006110#,Vulval thrush,^ESCTVU251564,NA,1219406010,NA,32
1085006#,Vulval candidosis,1219407018#,1,1,2,2515631000006117#,Vulval candidiasis,^ESCTVU251563,NA,1219405014,NA,32
111904009#,Candidiasis of urogenital site,179056016#,1,1,2,287555014#,Other urogenital candida NOS,AB22z,AB22z00,179056016,NA,32
111904009#,Candidiasis of urogenital site,179056016#,1,1,2,287547019#,Candidiasis of urogenital site,AB22,AB22.00,179056016,NA,32
111904009#,Candidiasis of urogenital site (disorder),634760012#,1,1,2,287555014#,Other urogenital candida NOS,AB22z,AB22z00,179056016,NA,32
111904009#,Candidiasis of urogenital site (disorder),634760012#,1,1,2,287547019#,Candidiasis of urogenital site,AB22,AB22.00,179056016,NA,32
197903003#,Candidal urethritis,304276013#,1,1,2,304276013#,Candidal urethritis,K172,K172.00,304276013,NA,32
197903003#,Candidal urethritis (disorder),582335011#,1,1,2,304276013#,Candidal urethritis,K172,K172.00,304276013,NA,32
198218005#,Vulvovaginitis in diseases EC,304749014#,1,1,2,304749014#,Vulvovaginitis in diseases EC,K4216,K421600,304749014,NA,32
198218005#,Vulvovaginitis in diseases EC,304749014#,1,1,2,4791751000006111#,Vulvovaginitis associated with another disorder,^ESCTVU479175,NA,2575720017,NA,32
198218005#,Vulvovaginitis in diseases EC (disorder),582696015#,1,1,2,304749014#,Vulvovaginitis in diseases EC,K4216,K421600,304749014,NA,32
198218005#,Vulvovaginitis in diseases EC (disorder),582696015#,1,1,2,4791751000006111#,Vulvovaginitis associated with another disorder,^ESCTVU479175,NA,2575720017,NA,32
198218005#,Vulvovaginitis associated with another disorder (disorder),2562229013#,1,1,2,304749014#,Vulvovaginitis in diseases EC,K4216,K421600,304749014,NA,32
198218005#,Vulvovaginitis associated with another disorder (disorder),2562229013#,1,1,2,4791751000006111#,Vulvovaginitis associated with another disorder,^ESCTVU479175,NA,2575720017,NA,32
198218005#,Vulvovaginitis associated with another disorder,2575720017#,1,1,2,304749014#,Vulvovaginitis in diseases EC,K4216,K421600,304749014,NA,32
198218005#,Vulvovaginitis associated with another disorder,2575720017#,1,1,2,4791751000006111#,Vulvovaginitis associated with another disorder,^ESCTVU479175,NA,2575720017,NA,32
237082005#,Candidiasis of cervix,355362010#,1,1,2,5103171000006119#,Cervical candidosis,^ESCTCE510317,NA,355363017,NA,32
237082005#,Candidiasis of cervix,355362010#,1,1,2,5103161000006114#,Candidiasis of cervix,^ESCTCA510316,NA,355362010,NA,32
237082005#,Candidiasis of cervix,355362010#,1,1,2,533491000006110#,Candidiasis cervix,AB21z-1,AB21z11,355362010,NA,32
237082005#,Cervical candidosis,355363017#,1,1,2,5103171000006119#,Cervical candidosis,^ESCTCE510317,NA,355363017,NA,32
237082005#,Cervical candidosis,355363017#,1,1,2,5103161000006114#,Candidiasis of cervix,^ESCTCA510316,NA,355362010,NA,32
