snomedcode,term_snomed,id,search_terms,read_mapping,matchtotal,MedCodeId,term_medcode,OriginalReadCode,CleansedReadCode,SnomedCTDescriptionId,Release,EmisCodeCategoryId
161505003#,H/O: heart failure,251680018#,1,1,2,4540521000006111#,History of heart failure,^ESCTHI454052,NA,2986453013,NA,32
161505003#,H/O: heart failure,251680018#,1,1,2,251680018#,H/O: heart failure,14A6,14A6.00,251680018,NA,32
161505003#,History of - heart failure (context-dependent category),542541016#,1,1,2,4540521000006111#,History of heart failure,^ESCTHI454052,NA,2986453013,NA,32
161505003#,History of - heart failure (context-dependent category),542541016#,1,1,2,251680018#,H/O: heart failure,14A6,14A6.00,251680018,NA,32
161505003#,History of - heart failure (situation),2606662016#,1,1,2,4540521000006111#,History of heart failure,^ESCTHI454052,NA,2986453013,NA,32
161505003#,History of - heart failure (situation),2606662016#,1,1,2,251680018#,H/O: heart failure,14A6,14A6.00,251680018,NA,32
161505003#,History of - heart failure,2666026010#,1,1,2,4540521000006111#,History of heart failure,^ESCTHI454052,NA,2986453013,NA,32
161505003#,History of - heart failure,2666026010#,1,1,2,251680018#,H/O: heart failure,14A6,14A6.00,251680018,NA,32
161505003#,History of heart failure (situation),2986304014#,1,1,2,4540521000006111#,History of heart failure,^ESCTHI454052,NA,2986453013,NA,32
161505003#,History of heart failure (situation),2986304014#,1,1,2,251680018#,H/O: heart failure,14A6,14A6.00,251680018,NA,32
161505003#,History of heart failure,2986453013#,1,1,2,4540521000006111#,History of heart failure,^ESCTHI454052,NA,2986453013,NA,32
161505003#,History of heart failure,2986453013#,1,1,2,251680018#,H/O: heart failure,14A6,14A6.00,251680018,NA,32
43736008#,Rheumatic left ventricular failure,72934016#,1,1,2,72934016#,Rheumatic left ventricular failure,G1yz1,G1yz100,72934016,NA,32
43736008#,Rheumatic left ventricular failure (disorder),780784012#,1,1,2,72934016#,Rheumatic left ventricular failure,G1yz1,G1yz100,72934016,NA,32
83105008#,Malignant hypertensive heart disease with congestive heart failure,137848017#,1,1,2,728671000006119#,Malignant hypertensive heart disease with congestive cardiac failure,G2101,G210100,1236017010,NA,32
83105008#,Malignant hypertensive heart disease with congestive heart failure,137848017#,1,1,2,3852501000006115#,Malignant hypertensive heart disease with congestive heart failure,^ESCTMA385250,NA,137848017,NA,32
83105008#,Malignant hypertensive heart disease with congestive heart failure (disorder),824669010#,1,1,2,728671000006119#,Malignant hypertensive heart disease with congestive cardiac failure,G2101,G210100,1236017010,NA,32
83105008#,Malignant hypertensive heart disease with congestive heart failure (disorder),824669010#,1,1,2,3852501000006115#,Malignant hypertensive heart disease with congestive heart failure,^ESCTMA385250,NA,137848017,NA,32
83105008#,Malignant hypertensive heart disease with congestive cardiac failure,1236017010#,1,1,2,728671000006119#,Malignant hypertensive heart disease with congestive cardiac failure,G2101,G210100,1236017010,NA,32
83105008#,Malignant hypertensive heart disease with congestive cardiac failure,1236017010#,1,1,2,3852501000006115#,Malignant hypertensive heart disease with congestive heart failure,^ESCTMA385250,NA,137848017,NA,32
194767001#,Benign hypertensive heart disease with congestive cardiac failure,299653017#,1,1,2,504901000006118#,Benign hypertensive heart disease with congestive cardiac failure,G2111,G211100,299653017,NA,32
194767001#,Benign hypertensive heart disease with congestive cardiac failure (disorder),578789014#,1,1,2,504901000006118#,Benign hypertensive heart disease with congestive cardiac failure,G2111,G211100,299653017,NA,32
194779001#,Hypertensive heart and renal disease with (congestive) heart failure,299672017#,1,1,2,741701000006114#,Hypertensive heart and renal disease with (congestive) heart failure,G232,G232.00,299672017,NA,32
194779001#,Hypertensive heart and renal disease with (congestive) heart failure (disorder),578802013#,1,1,2,741701000006114#,Hypertensive heart and renal disease with (congestive) heart failure,G232,G232.00,299672017,NA,32
194781004#,Hypertensive heart and renal disease with both (congestive) heart failure and renal failure,299674016#,1,1,2,789941000006117#,Hypertensive heart and renal disease with both (congestive) heart failure and renal failure,G234,G234.00,299674016,NA,32
