snomedcode,term_snomed,id,search_terms,read_mapping,matchtotal,MedCodeId,term_medcode,OriginalReadCode,CleansedReadCode,SnomedCTDescriptionId,Release,EmisCodeCategoryId
104931000119100#,Chronic kidney disease due to hypertension,2983529012#,1,0,1,8032721000006117#,Chronic kidney disease due to hypertension,^ESCTCH803272,NA,2983529012,NA,31
104931000119100#,Chronic kidney disease due to hypertension (disorder),2989170011#,1,0,1,8032721000006117#,Chronic kidney disease due to hypertension,^ESCTCH803272,NA,2983529012,NA,31
10562009#,Malignant hypertension complicating AND/OR reason for care during childbirth,18360017#,1,0,1,2668041000006115#,Malignant hypertension complicating AND/OR reason for care during childbirth,^ESCTMA266804,NA,18360017,NA,31
10562009#,Malignant hypertension complicating or reason for care during childbirth,18361018#,1,0,1,2668041000006115#,Malignant hypertension complicating AND/OR reason for care during childbirth,^ESCTMA266804,NA,18360017,NA,31
10725009#,Benign hypertension,18632012#,1,0,1,2670511000006119#,Benign hypertension,^ESCTBE267051,NA,18632012,NA,31
10752641000119102#,Eclampsia with pre-existing hypertension in labour and delivery,3004446013#,1,0,1,9324411000006114#,Eclampsia with pre-existing hypertension in childbirth,^ESCTEC932441,NA,3004468015,NA,31
10752641000119102#,Eclampsia with pre-existing hypertension in labour and delivery,3004446013#,1,0,1,9324421000006118#,Eclampsia with pre-existing hypertension in labour and delivery,^ESCTEC932442,NA,3004446013,NA,31
10752641000119102#,Eclampsia with pre-existing hypertension in labour and delivery,3004446013#,1,0,1,9324431000006115#,Eclampsia with pre-existing hypertension in labor and delivery,^ESCTEC932443,NA,3004448014,NA,31
10752641000119102#,Eclampsia with pre-existing hypertension in labor and delivery,3004448014#,1,0,1,9324411000006114#,Eclampsia with pre-existing hypertension in childbirth,^ESCTEC932441,NA,3004468015,NA,31
10752641000119102#,Eclampsia with pre-existing hypertension in labor and delivery,3004448014#,1,0,1,9324421000006118#,Eclampsia with pre-existing hypertension in labour and delivery,^ESCTEC932442,NA,3004446013,NA,31
10752641000119102#,Eclampsia with pre-existing hypertension in labor and delivery,3004448014#,1,0,1,9324431000006115#,Eclampsia with pre-existing hypertension in labor and delivery,^ESCTEC932443,NA,3004448014,NA,31
10752641000119102#,Eclampsia with pre-existing hypertension in childbirth,3004468015#,1,0,1,9324411000006114#,Eclampsia with pre-existing hypertension in childbirth,^ESCTEC932441,NA,3004468015,NA,31
10752641000119102#,Eclampsia with pre-existing hypertension in childbirth,3004468015#,1,0,1,9324421000006118#,Eclampsia with pre-existing hypertension in labour and delivery,^ESCTEC932442,NA,3004446013,NA,31
10752641000119102#,Eclampsia with pre-existing hypertension in childbirth,3004468015#,1,0,1,9324431000006115#,Eclampsia with pre-existing hypertension in labor and delivery,^ESCTEC932443,NA,3004448014,NA,31
10752641000119102#,Eclampsia with pre-existing hypertension in childbirth (disorder),3004477010#,1,0,1,9324411000006114#,Eclampsia with pre-existing hypertension in childbirth,^ESCTEC932441,NA,3004468015,NA,31
10752641000119102#,Eclampsia with pre-existing hypertension in childbirth (disorder),3004477010#,1,0,1,9324421000006118#,Eclampsia with pre-existing hypertension in labour and delivery,^ESCTEC932442,NA,3004446013,NA,31
10752641000119102#,Eclampsia with pre-existing hypertension in childbirth (disorder),3004477010#,1,0,1,9324431000006115#,Eclampsia with pre-existing hypertension in labor and delivery,^ESCTEC932443,NA,3004448014,NA,31
10757401000119104#,Pre-existing hypertensive heart and chronic kidney disease in mother complicating childbirth (disorder),3005992012#,1,0,1,9325301000006118#,Preexisting hypertensive heart and chronic kidney disease in childbirth,^ESCTPR932530,NA,3005996010,NA,31
10757401000119104#,Pre-existing hypertensive heart and chronic kidney disease in mother complicating childbirth (disorder),3005992012#,1,0,1,9325291000006119#,Pre-existing hypertensive heart and chronic kidney disease in mother complicating childbirth,^ESCTPR932529,NA,3006011014,NA,31
10757401000119104#,Preexisting hypertensive heart and chronic kidney disease in childbirth,3005996010#,1,0,1,9325301000006118#,Preexisting hypertensive heart and chronic kidney disease in childbirth,^ESCTPR932530,NA,3005996010,NA,31
10757401000119104#,Preexisting hypertensive heart and chronic kidney disease in childbirth,3005996010#,1,0,1,9325291000006119#,Pre-existing hypertensive heart and chronic kidney disease in mother complicating childbirth,^ESCTPR932529,NA,3006011014,NA,31
10757401000119104#,Pre-existing hypertensive heart and chronic kidney disease in mother complicating childbirth,3006011014#,1,0,1,9325301000006118#,Preexisting hypertensive heart and chronic kidney disease in childbirth,^ESCTPR932530,NA,3005996010,NA,31
10757401000119104#,Pre-existing hypertensive heart and chronic kidney disease in mother complicating childbirth,3006011014#,1,0,1,9325291000006119#,Pre-existing hypertensive heart and chronic kidney disease in mother complicating childbirth,^ESCTPR932529,NA,3006011014,NA,31
