snomedcode,term_snomed,id,search_terms,read_mapping,matchtotal,MedCodeId,term_medcode,OriginalReadCode,CleansedReadCode,SnomedCTDescriptionId,Release,EmisCodeCategoryId
699245006#,Admit ischemic heart disease emergency (procedure),2983041012#,1,1,2,7519001000006115#,Emergency hospital admission for ischemic heart disease,^ESCTEM751900,NA,3082868012,NA,40
699245006#,Admit ischemic heart disease emergency (procedure),2983041012#,1,1,2,12490701000006116#,Admit ischaemic heart disease emergency,^ESCT1249070,NA,2983101018,NA,40
699245006#,Admit ischemic heart disease emergency (procedure),2983041012#,1,1,2,585631000000113#,Emergency hospital admission for ischaemic heart disease,8H2V,8H2V.00,3082941013,NA,40
699245006#,Admit ischemic heart disease emergency (procedure),2983041012#,1,1,2,7518981000006118#,Emergency hospital admission for ischaemic heart disease,^ESCTEM751898,NA,751898e10,NA,40
699245006#,Admit ischaemic heart disease emergency,2983101018#,1,1,2,7519001000006115#,Emergency hospital admission for ischemic heart disease,^ESCTEM751900,NA,3082868012,NA,40
699245006#,Admit ischaemic heart disease emergency,2983101018#,1,1,2,12490701000006116#,Admit ischaemic heart disease emergency,^ESCT1249070,NA,2983101018,NA,40
699245006#,Admit ischaemic heart disease emergency,2983101018#,1,1,2,585631000000113#,Emergency hospital admission for ischaemic heart disease,8H2V,8H2V.00,3082941013,NA,40
699245006#,Admit ischaemic heart disease emergency,2983101018#,1,1,2,7518981000006118#,Emergency hospital admission for ischaemic heart disease,^ESCTEM751898,NA,751898e10,NA,40
699245006#,Admit ischemic heart disease emergency,2983138018#,1,1,2,7519001000006115#,Emergency hospital admission for ischemic heart disease,^ESCTEM751900,NA,3082868012,NA,40
699245006#,Admit ischemic heart disease emergency,2983138018#,1,1,2,12490701000006116#,Admit ischaemic heart disease emergency,^ESCT1249070,NA,2983101018,NA,40
699245006#,Admit ischemic heart disease emergency,2983138018#,1,1,2,585631000000113#,Emergency hospital admission for ischaemic heart disease,8H2V,8H2V.00,3082941013,NA,40
699245006#,Admit ischemic heart disease emergency,2983138018#,1,1,2,7518981000006118#,Emergency hospital admission for ischaemic heart disease,^ESCTEM751898,NA,751898e10,NA,40
699245006#,Emergency hospital admission for ischemic heart disease (procedure),3082854017#,1,1,2,7519001000006115#,Emergency hospital admission for ischemic heart disease,^ESCTEM751900,NA,3082868012,NA,40
699245006#,Emergency hospital admission for ischemic heart disease (procedure),3082854017#,1,1,2,12490701000006116#,Admit ischaemic heart disease emergency,^ESCT1249070,NA,2983101018,NA,40
699245006#,Emergency hospital admission for ischemic heart disease (procedure),3082854017#,1,1,2,585631000000113#,Emergency hospital admission for ischaemic heart disease,8H2V,8H2V.00,3082941013,NA,40
699245006#,Emergency hospital admission for ischemic heart disease (procedure),3082854017#,1,1,2,7518981000006118#,Emergency hospital admission for ischaemic heart disease,^ESCTEM751898,NA,751898e10,NA,40
699245006#,Emergency hospital admission for ischemic heart disease,3082868012#,1,1,2,7519001000006115#,Emergency hospital admission for ischemic heart disease,^ESCTEM751900,NA,3082868012,NA,40
699245006#,Emergency hospital admission for ischemic heart disease,3082868012#,1,1,2,12490701000006116#,Admit ischaemic heart disease emergency,^ESCT1249070,NA,2983101018,NA,40
699245006#,Emergency hospital admission for ischemic heart disease,3082868012#,1,1,2,585631000000113#,Emergency hospital admission for ischaemic heart disease,8H2V,8H2V.00,3082941013,NA,40
699245006#,Emergency hospital admission for ischemic heart disease,3082868012#,1,1,2,7518981000006118#,Emergency hospital admission for ischaemic heart disease,^ESCTEM751898,NA,751898e10,NA,40
699245006#,Emergency hospital admission for ischaemic heart disease,3082941013#,1,1,2,7519001000006115#,Emergency hospital admission for ischemic heart disease,^ESCTEM751900,NA,3082868012,NA,40
699245006#,Emergency hospital admission for ischaemic heart disease,3082941013#,1,1,2,12490701000006116#,Admit ischaemic heart disease emergency,^ESCT1249070,NA,2983101018,NA,40
699245006#,Emergency hospital admission for ischaemic heart disease,3082941013#,1,1,2,585631000000113#,Emergency hospital admission for ischaemic heart disease,8H2V,8H2V.00,3082941013,NA,40
699245006#,Emergency hospital admission for ischaemic heart disease,3082941013#,1,1,2,7518981000006118#,Emergency hospital admission for ischaemic heart disease,^ESCTEM751898,NA,751898e10,NA,40
414545008#,Ischemic heart disease (disorder),2531167010#,1,1,2,394541000006112#,[X]Ischaemic heart diseases,Gyu3,Gyu3.00,2534664018,NA,32
414545008#,Ischemic heart disease (disorder),2531167010#,1,1,2,6860261000006118#,IHD - Ischemic heart disease,^ESCTIH686026,NA,2537479013,NA,32
414545008#,Ischemic heart disease (disorder),2531167010#,1,1,2,300876010#,[X]Other forms of acute ischaemic heart disease,Gyu32,Gyu3200,2534663012,NA,32
414545008#,Ischemic heart disease (disorder),2531167010#,1,1,2,39111000006114#,Other acute and subacute ischaemic heart disease,G31,G31..00,2534663012,NA,32
414545008#,Ischemic heart disease (disorder),2531167010#,1,1,2,299750014#,Other acute and subacute ischaemic heart disease NOS,G31yz,G31yz00,2534663012,NA,32
414545008#,Ischemic heart disease (disorder),2531167010#,1,1,2,2537480011#,IHD - Ischaemic heart disease,G3-3,G3...13,2537480011,NA,32
414545008#,Ischemic heart disease (disorder),2531167010#,1,1,2,299835014#,Ischaemic heart disease NOS,G3z,G3z..00,2534664018,NA,32
414545008#,Ischemic heart disease (disorder),2531167010#,1,1,2,2534664018#,Ischaemic heart disease,G3,G3...00,2534664018,NA,32
414545008#,Ischemic heart disease (disorder),2531167010#,1,1,2,299723016#,Other acute and subacute ischaemic heart disease,G31y,G31y.00,2534663012,NA,32
414545008#,Ischemic heart disease (disorder),2531167010#,1,1,2,6860251000006115#,Ischemic heart disease,^ESCTIS686025,NA,2534663012,NA,32
414545008#,Ischemic heart disease (disorder),2531167010#,1,1,2,299834013#,Other specified ischaemic heart disease,G3y,G3y..00,2534664018,NA,32
414545008#,Ischemic heart disease,2534663012#,1,1,2,394541000006112#,[X]Ischaemic heart diseases,Gyu3,Gyu3.00,2534664018,NA,32
414545008#,Ischemic heart disease,2534663012#,1,1,2,6860261000006118#,IHD - Ischemic heart disease,^ESCTIH686026,NA,2537479013,NA,32
414545008#,Ischemic heart disease,2534663012#,1,1,2,300876010#,[X]Other forms of acute ischaemic heart disease,Gyu32,Gyu3200,2534663012,NA,32
414545008#,Ischemic heart disease,2534663012#,1,1,2,39111000006114#,Other acute and subacute ischaemic heart disease,G31,G31..00,2534663012,NA,32
414545008#,Ischemic heart disease,2534663012#,1,1,2,299750014#,Other acute and subacute ischaemic heart disease NOS,G31yz,G31yz00,2534663012,NA,32
414545008#,Ischemic heart disease,2534663012#,1,1,2,2537480011#,IHD - Ischaemic heart disease,G3-3,G3...13,2537480011,NA,32
414545008#,Ischemic heart disease,2534663012#,1,1,2,299835014#,Ischaemic heart disease NOS,G3z,G3z..00,2534664018,NA,32
414545008#,Ischemic heart disease,2534663012#,1,1,2,2534664018#,Ischaemic heart disease,G3,G3...00,2534664018,NA,32
414545008#,Ischemic heart disease,2534663012#,1,1,2,299723016#,Other acute and subacute ischaemic heart disease,G31y,G31y.00,2534663012,NA,32
414545008#,Ischemic heart disease,2534663012#,1,1,2,6860251000006115#,Ischemic heart disease,^ESCTIS686025,NA,2534663012,NA,32
414545008#,Ischemic heart disease,2534663012#,1,1,2,299834013#,Other specified ischaemic heart disease,G3y,G3y..00,2534664018,NA,32
414545008#,Ischaemic heart disease,2534664018#,1,1,2,394541000006112#,[X]Ischaemic heart diseases,Gyu3,Gyu3.00,2534664018,NA,32
414545008#,Ischaemic heart disease,2534664018#,1,1,2,6860261000006118#,IHD - Ischemic heart disease,^ESCTIH686026,NA,2537479013,NA,32
414545008#,Ischaemic heart disease,2534664018#,1,1,2,300876010#,[X]Other forms of acute ischaemic heart disease,Gyu32,Gyu3200,2534663012,NA,32
414545008#,Ischaemic heart disease,2534664018#,1,1,2,39111000006114#,Other acute and subacute ischaemic heart disease,G31,G31..00,2534663012,NA,32
414545008#,Ischaemic heart disease,2534664018#,1,1,2,299750014#,Other acute and subacute ischaemic heart disease NOS,G31yz,G31yz00,2534663012,NA,32
414545008#,Ischaemic heart disease,2534664018#,1,1,2,2537480011#,IHD - Ischaemic heart disease,G3-3,G3...13,2537480011,NA,32
414545008#,Ischaemic heart disease,2534664018#,1,1,2,299835014#,Ischaemic heart disease NOS,G3z,G3z..00,2534664018,NA,32
414545008#,Ischaemic heart disease,2534664018#,1,1,2,2534664018#,Ischaemic heart disease,G3,G3...00,2534664018,NA,32
414545008#,Ischaemic heart disease,2534664018#,1,1,2,299723016#,Other acute and subacute ischaemic heart disease,G31y,G31y.00,2534663012,NA,32
414545008#,Ischaemic heart disease,2534664018#,1,1,2,6860251000006115#,Ischemic heart disease,^ESCTIS686025,NA,2534663012,NA,32
414545008#,Ischaemic heart disease,2534664018#,1,1,2,299834013#,Other specified ischaemic heart disease,G3y,G3y..00,2534664018,NA,32
414545008#,IHD - Ischemic heart disease,2537479013#,1,1,2,394541000006112#,[X]Ischaemic heart diseases,Gyu3,Gyu3.00,2534664018,NA,32
414545008#,IHD - Ischemic heart disease,2537479013#,1,1,2,6860261000006118#,IHD - Ischemic heart disease,^ESCTIH686026,NA,2537479013,NA,32
414545008#,IHD - Ischemic heart disease,2537479013#,1,1,2,300876010#,[X]Other forms of acute ischaemic heart disease,Gyu32,Gyu3200,2534663012,NA,32
414545008#,IHD - Ischemic heart disease,2537479013#,1,1,2,39111000006114#,Other acute and subacute ischaemic heart disease,G31,G31..00,2534663012,NA,32
414545008#,IHD - Ischemic heart disease,2537479013#,1,1,2,299750014#,Other acute and subacute ischaemic heart disease NOS,G31yz,G31yz00,2534663012,NA,32
414545008#,IHD - Ischemic heart disease,2537479013#,1,1,2,2537480011#,IHD - Ischaemic heart disease,G3-3,G3...13,2537480011,NA,32
414545008#,IHD - Ischemic heart disease,2537479013#,1,1,2,299835014#,Ischaemic heart disease NOS,G3z,G3z..00,2534664018,NA,32
