snomedcode,term_snomed,id,search_terms,read_mapping,matchtotal,MedCodeId,term_medcode,OriginalReadCode,CleansedReadCode,SnomedCTDescriptionId,Release,EmisCodeCategoryId
161502000#,H/O: myocardial infarct at less than 60,251675010#,1,1,2,810811000006116#,H/O: myocardial infarct at less than 60,14A3,14A3.00,251675010,NA,32
161502000#,H/O: myocardial infarct at less than 60,251675010#,1,1,2,4540461000006118#,History of myocardial infarct at age less than sixty,^ESCTHI454046,NA,2986996013,NA,32
161502000#,History of - myocardial infarct at less than 60 (context-dependent category),542537015#,1,1,2,810811000006116#,H/O: myocardial infarct at less than 60,14A3,14A3.00,251675010,NA,32
161502000#,History of - myocardial infarct at less than 60 (context-dependent category),542537015#,1,1,2,4540461000006118#,History of myocardial infarct at age less than sixty,^ESCTHI454046,NA,2986996013,NA,32
161502000#,History of - myocardial infarct at age less than 60 (context-dependent category),2560310014#,1,1,2,810811000006116#,H/O: myocardial infarct at less than 60,14A3,14A3.00,251675010,NA,32
161502000#,History of - myocardial infarct at age less than 60 (context-dependent category),2560310014#,1,1,2,4540461000006118#,History of myocardial infarct at age less than sixty,^ESCTHI454046,NA,2986996013,NA,32
161502000#,History of - myocardial infarct at age less than 60 (situation),2606659019#,1,1,2,810811000006116#,H/O: myocardial infarct at less than 60,14A3,14A3.00,251675010,NA,32
161502000#,History of - myocardial infarct at age less than 60 (situation),2606659019#,1,1,2,4540461000006118#,History of myocardial infarct at age less than sixty,^ESCTHI454046,NA,2986996013,NA,32
161502000#,History of - myocardial infarct at age less than 60,2666048016#,1,1,2,810811000006116#,H/O: myocardial infarct at less than 60,14A3,14A3.00,251675010,NA,32
161502000#,History of - myocardial infarct at age less than 60,2666048016#,1,1,2,4540461000006118#,History of myocardial infarct at age less than sixty,^ESCTHI454046,NA,2986996013,NA,32
161502000#,History of myocardial infarct at age less than sixty (situation),2986408011#,1,1,2,810811000006116#,H/O: myocardial infarct at less than 60,14A3,14A3.00,251675010,NA,32
161502000#,History of myocardial infarct at age less than sixty (situation),2986408011#,1,1,2,4540461000006118#,History of myocardial infarct at age less than sixty,^ESCTHI454046,NA,2986996013,NA,32
161502000#,History of myocardial infarct at age less than sixty,2986996013#,1,1,2,810811000006116#,H/O: myocardial infarct at less than 60,14A3,14A3.00,251675010,NA,32
161502000#,History of myocardial infarct at age less than sixty,2986996013#,1,1,2,4540461000006118#,History of myocardial infarct at age less than sixty,^ESCTHI454046,NA,2986996013,NA,32
161503005#,H/O: myocardial infarct at greater than 60,251678012#,1,1,2,4540481000006111#,History of myocardial infarct at age greater than sixty,^ESCTHI454048,NA,2986493011,NA,32
161503005#,H/O: myocardial infarct at greater than 60,251678012#,1,1,2,810821000006112#,H/O: myocardial infarct at greater than 60,14A4,14A4.00,251678012,NA,32
161503005#,History of - myocardial infarct at greater than 60 (context-dependent category),542539017#,1,1,2,4540481000006111#,History of myocardial infarct at age greater than sixty,^ESCTHI454048,NA,2986493011,NA,32
161503005#,History of - myocardial infarct at greater than 60 (context-dependent category),542539017#,1,1,2,810821000006112#,H/O: myocardial infarct at greater than 60,14A4,14A4.00,251678012,NA,32
161503005#,History of - myocardial infarct at age greater than 60 (context-dependent category),2560311013#,1,1,2,4540481000006111#,History of myocardial infarct at age greater than sixty,^ESCTHI454048,NA,2986493011,NA,32
161503005#,History of - myocardial infarct at age greater than 60 (context-dependent category),2560311013#,1,1,2,810821000006112#,H/O: myocardial infarct at greater than 60,14A4,14A4.00,251678012,NA,32
161503005#,History of - myocardial infarct at age greater than 60 (situation),2606660012#,1,1,2,4540481000006111#,History of myocardial infarct at age greater than sixty,^ESCTHI454048,NA,2986493011,NA,32
161503005#,History of - myocardial infarct at age greater than 60 (situation),2606660012#,1,1,2,810821000006112#,H/O: myocardial infarct at greater than 60,14A4,14A4.00,251678012,NA,32
161503005#,History of - myocardial infarct at age greater than 60,2666049012#,1,1,2,4540481000006111#,History of myocardial infarct at age greater than sixty,^ESCTHI454048,NA,2986493011,NA,32
161503005#,History of - myocardial infarct at age greater than 60,2666049012#,1,1,2,810821000006112#,H/O: myocardial infarct at greater than 60,14A4,14A4.00,251678012,NA,32
161503005#,History of myocardial infarct at age greater than sixty (situation),2986423018#,1,1,2,4540481000006111#,History of myocardial infarct at age greater than sixty,^ESCTHI454048,NA,2986493011,NA,32
161503005#,History of myocardial infarct at age greater than sixty (situation),2986423018#,1,1,2,810821000006112#,H/O: myocardial infarct at greater than 60,14A4,14A4.00,251678012,NA,32
161503005#,History of myocardial infarct at age greater than sixty,2986493011#,1,1,2,4540481000006111#,History of myocardial infarct at age greater than sixty,^ESCTHI454048,NA,2986493011,NA,32
161503005#,History of myocardial infarct at age greater than sixty,2986493011#,1,1,2,810821000006112#,H/O: myocardial infarct at greater than 60,14A4,14A4.00,251678012,NA,32
66189004#,Postmyocardial infarction syndrome,109915012#,1,1,2,3576391000006116#,Postmyocardial infarction pericarditis,^ESCTPO357639,NA,109917016,NA,32
66189004#,Postmyocardial infarction syndrome,109915012#,1,1,2,109915012#,Post-myocardial infarction syndrome,G310,G310.00,500341014,NA,32
66189004#,Postmyocardial infarction syndrome,109915012#,1,1,2,109916013#,Dressler's syndrome,G310-1,G310.11,109916013,NA,32
66189004#,Postmyocardial infarction syndrome,109915012#,1,1,2,3576371000006117#,Postmyocardial infarction syndrome,^ESCTPO357637,NA,109915012,NA,32
66189004#,Dressler's syndrome,109916013#,1,1,2,3576391000006116#,Postmyocardial infarction pericarditis,^ESCTPO357639,NA,109917016,NA,32
