snomedcode,term_snomed,id,search_terms,read_mapping,matchtotal,MedCodeId,term_medcode,OriginalReadCode,CleansedReadCode,SnomedCTDescriptionId,Release,EmisCodeCategoryId
102781000119107#,Sensory neuropathy due to type 1 diabetes mellitus (disorder),3013564018#,1,0,1,8032081000006115#,Sensory neuropathy due to type 1 diabetes mellitus,^ESCTSE803208,NA,3013580011,NA,31
102781000119107#,Sensory neuropathy due to type 1 diabetes mellitus,3013580011#,1,0,1,8032081000006115#,Sensory neuropathy due to type 1 diabetes mellitus,^ESCTSE803208,NA,3013580011,NA,31
110181000119105#,Peripheral sensory neuropathy due to type 2 diabetes mellitus,3011875016#,1,0,1,8034881000006115#,Peripheral sensory neuropathy due to type 2 diabetes mellitus,^ESCTPE803488,NA,3011875016,NA,31
110181000119105#,Peripheral sensory neuropathy due to type 2 diabetes mellitus (disorder),3012342015#,1,0,1,8034881000006115#,Peripheral sensory neuropathy due to type 2 diabetes mellitus,^ESCTPE803488,NA,3011875016,NA,31
11060002#,Disease related peripheral neuropathy,19167016#,1,0,1,297165012#,Disease related peripheral neuropathy,F171z,F171z00,19167016,NA,32
11060002#,"Disease related peripheral neuropathy, NOS",19168014#,1,0,1,297165012#,Disease related peripheral neuropathy,F171z,F171z00,19167016,NA,32
11060002#,Disease related peripheral neuropathy (disorder),623689016#,1,0,1,297165012#,Disease related peripheral neuropathy,F171z,F171z00,19167016,NA,32
126534007#,Diabetic mixed sensory-motor polyneuropathy,94571018#,1,0,1,12218471000006119#,Mixed sensorimotor polyneuropathy co-occurrent and due to diabetes mellitus,^ESCT1221847,NA,3695736013,NA,31
126534007#,Diabetic mixed sensory-motor polyneuropathy,94571018#,1,0,1,4383621000006112#,Diabetic mixed sensory-motor polyneuropathy,^ESCTDI438362,NA,94571018,NA,31
126534007#,Diabetic mixed sensory-motor polyneuropathy (disorder),730512016#,1,0,1,12218471000006119#,Mixed sensorimotor polyneuropathy co-occurrent and due to diabetes mellitus,^ESCT1221847,NA,3695736013,NA,31
126534007#,Diabetic mixed sensory-motor polyneuropathy (disorder),730512016#,1,0,1,4383621000006112#,Diabetic mixed sensory-motor polyneuropathy,^ESCTDI438362,NA,94571018,NA,31
126534007#,Mixed sensorimotor polyneuropathy co-occurrent and due to diabetes mellitus (disorder),3695735012#,1,0,1,12218471000006119#,Mixed sensorimotor polyneuropathy co-occurrent and due to diabetes mellitus,^ESCT1221847,NA,3695736013,NA,31
126534007#,Mixed sensorimotor polyneuropathy co-occurrent and due to diabetes mellitus (disorder),3695735012#,1,0,1,4383621000006112#,Diabetic mixed sensory-motor polyneuropathy,^ESCTDI438362,NA,94571018,NA,31
126534007#,Mixed sensorimotor polyneuropathy co-occurrent and due to diabetes mellitus,3695736013#,1,0,1,12218471000006119#,Mixed sensorimotor polyneuropathy co-occurrent and due to diabetes mellitus,^ESCT1221847,NA,3695736013,NA,31
126534007#,Mixed sensorimotor polyneuropathy co-occurrent and due to diabetes mellitus,3695736013#,1,0,1,4383621000006112#,Diabetic mixed sensory-motor polyneuropathy,^ESCTDI438362,NA,94571018,NA,31
126534007#,Mixed sensorimotor polyneuropathy due to diabetes mellitus (disorder),3789697016#,1,0,1,12218471000006119#,Mixed sensorimotor polyneuropathy co-occurrent and due to diabetes mellitus,^ESCT1221847,NA,3695736013,NA,31
126534007#,Mixed sensorimotor polyneuropathy due to diabetes mellitus (disorder),3789697016#,1,0,1,4383621000006112#,Diabetic mixed sensory-motor polyneuropathy,^ESCTDI438362,NA,94571018,NA,31
126534007#,Mixed sensorimotor polyneuropathy due to diabetes mellitus,3789698014#,1,0,1,12218471000006119#,Mixed sensorimotor polyneuropathy co-occurrent and due to diabetes mellitus,^ESCT1221847,NA,3695736013,NA,31
