snomedcode,term_snomed,id,search_terms,read_mapping,matchtotal,MedCodeId,term_medcode,OriginalReadCode,CleansedReadCode,SnomedCTDescriptionId,Release,EmisCodeCategoryId
1593000#,Infantile hemiplegia,3769017#,1,1,2,2524111000006113#,Postnatal infantile hemiplegia,^ESCTPO252411,NA,3770016,NA,32
1593000#,Infantile hemiplegia,3769017#,1,1,2,72531016#,Infantile hemiplegia,F231,F231.00,3769017,NA,32
1593000#,Infantile hemiplegia,3769017#,1,1,2,297232013#,Infantile hemiplegia NOS,F234,F234.00,3769017,NA,32
1593000#,Postnatal infantile hemiplegia,3770016#,1,1,2,2524111000006113#,Postnatal infantile hemiplegia,^ESCTPO252411,NA,3770016,NA,32
1593000#,Postnatal infantile hemiplegia,3770016#,1,1,2,72531016#,Infantile hemiplegia,F231,F231.00,3769017,NA,32
1593000#,Postnatal infantile hemiplegia,3770016#,1,1,2,297232013#,Infantile hemiplegia NOS,F234,F234.00,3769017,NA,32
1593000#,Infantile hemiplegia (disorder),742852015#,1,1,2,2524111000006113#,Postnatal infantile hemiplegia,^ESCTPO252411,NA,3770016,NA,32
1593000#,Infantile hemiplegia (disorder),742852015#,1,1,2,72531016#,Infantile hemiplegia,F231,F231.00,3769017,NA,32
1593000#,Infantile hemiplegia (disorder),742852015#,1,1,2,297232013#,Infantile hemiplegia NOS,F234,F234.00,3769017,NA,32
128188000#,Cerebral palsy,206411014#,1,1,2,542541000006112#,Cerebral atonia,F23-4,F23..14,206411014,NA,32
128188000#,Cerebral palsy,206411014#,1,1,2,740431000006115#,Littles disease,F23-3,F23..13,206411014,NA,32
128188000#,Cerebral palsy,206411014#,1,1,2,1815981000006110#,Cerebral palsy NOS,F2Bz,F2Bz.00,206411014,NA,32
128188000#,Cerebral palsy,206411014#,1,1,2,4405181000006112#,CP - Cerebral palsy,^ESCTCP440518,NA,474332012,NA,32
128188000#,Cerebral palsy,206411014#,1,1,2,4405191000006110#,Cerebral palsy (CP),^ESCTCE440519,NA,2966622013,NA,32
128188000#,Cerebral palsy,206411014#,1,1,2,297238012#,Other infantile cerebral palsy NOS,F23yz,F23yz00,206411014,NA,32
128188000#,Cerebral palsy,206411014#,1,1,2,297239016#,Congenital cerebral palsy NOS,F23z,F23z.00,2995060017,NA,32
128188000#,Cerebral palsy,206411014#,1,1,2,411453017#,Congenital cerebral palsy,F23,F23..00,2995060017,NA,32
128188000#,Cerebral palsy,206411014#,1,1,2,297233015#,Other congenital cerebral palsy,F23y,F23y.00,206411014,NA,32
