snomedcode,term_snomed,id,search_terms,read_mapping,matchtotal,MedCodeId,term_medcode,OriginalReadCode,CleansedReadCode,SnomedCTDescriptionId,Release,EmisCodeCategoryId
11399002#,Pulmonary hypertensive arterial disease,19722017#,1,1,2,2681651000006116#,Pulmonary hypertensive arterial disease,^ESCTPU268165,NA,19722017,NA,32
11399002#,Pulmonary hypertensive arterial disease,19722017#,1,1,2,43850011#,Pulmonary arterial hypertension,G410,G410.00,2968228010,NA,32
11399002#,Pulmonary hypertensive arterial disease,19722017#,1,1,2,2681661000006119#,Hypertensive pulmonary arterial disease,^ESCTHY268166,NA,19723010,NA,32
11399002#,Hypertensive pulmonary arterial disease,19723010#,1,1,2,2681651000006116#,Pulmonary hypertensive arterial disease,^ESCTPU268165,NA,19722017,NA,32
11399002#,Hypertensive pulmonary arterial disease,19723010#,1,1,2,43850011#,Pulmonary arterial hypertension,G410,G410.00,2968228010,NA,32
11399002#,Hypertensive pulmonary arterial disease,19723010#,1,1,2,2681661000006119#,Hypertensive pulmonary arterial disease,^ESCTHY268166,NA,19723010,NA,32
11399002#,Pulmonary hypertensive arterial disease (disorder),654596019#,1,1,2,2681651000006116#,Pulmonary hypertensive arterial disease,^ESCTPU268165,NA,19722017,NA,32
11399002#,Pulmonary hypertensive arterial disease (disorder),654596019#,1,1,2,43850011#,Pulmonary arterial hypertension,G410,G410.00,2968228010,NA,32
11399002#,Pulmonary hypertensive arterial disease (disorder),654596019#,1,1,2,2681661000006119#,Hypertensive pulmonary arterial disease,^ESCTHY268166,NA,19723010,NA,32
11399002#,Pulmonary arterial hypertension,2968228010#,1,1,2,2681651000006116#,Pulmonary hypertensive arterial disease,^ESCTPU268165,NA,19722017,NA,32
11399002#,Pulmonary arterial hypertension,2968228010#,1,1,2,43850011#,Pulmonary arterial hypertension,G410,G410.00,2968228010,NA,32
11399002#,Pulmonary arterial hypertension,2968228010#,1,1,2,2681661000006119#,Hypertensive pulmonary arterial disease,^ESCTHY268166,NA,19723010,NA,32
88223008#,Secondary pulmonary hypertension,146259010#,1,1,2,146259010#,Secondary pulmonary hypertension,G41y0,G41y000,146259010,NA,32
88223008#,Secondary pulmonary hypertension (disorder),830862017#,1,1,2,146259010#,Secondary pulmonary hypertension,G41y0,G41y000,146259010,NA,32
233947005#,Thromboembolic pulmonary hypertension,350517010#,1,1,2,350517010#,Thromboembolic pulmonary hypertension,G41y1,G41y100,350517010,NA,32
233947005#,Thromboembolic pulmonary hypertension,350517010#,1,1,2,5057801000006113#,Chronic thromboembolic pulmonary hypertension,^ESCTCH505780,NA,2968345015,NA,32
233947005#,Thromboembolic pulmonary hypertension (disorder),622202014#,1,1,2,350517010#,Thromboembolic pulmonary hypertension,G41y1,G41y100,350517010,NA,32
233947005#,Thromboembolic pulmonary hypertension (disorder),622202014#,1,1,2,5057801000006113#,Chronic thromboembolic pulmonary hypertension,^ESCTCH505780,NA,2968345015,NA,32
233947005#,Chronic thromboembolic pulmonary hypertension,2968345015#,1,1,2,350517010#,Thromboembolic pulmonary hypertension,G41y1,G41y100,350517010,NA,32
233947005#,Chronic thromboembolic pulmonary hypertension,2968345015#,1,1,2,5057801000006113#,Chronic thromboembolic pulmonary hypertension,^ESCTCH505780,NA,2968345015,NA,32
204311009#,Eisenmenger's complex,313298019#,1,1,2,137888010#,Eisenmenger's complex,P543,P543.00,313298019,NA,32
204311009#,Eisenmenger's complex,313298019#,1,1,2,4824421000006117#,Eisenmenger complex,^ESCTEI482442,NA,2881523015,NA,32
204311009#,Eisenmenger's complex (disorder),589520010#,1,1,2,137888010#,Eisenmenger's complex,P543,P543.00,313298019,NA,32
204311009#,Eisenmenger's complex (disorder),589520010#,1,1,2,4824421000006117#,Eisenmenger complex,^ESCTEI482442,NA,2881523015,NA,32
204311009#,Eisenmenger complex,2881523015#,1,1,2,137888010#,Eisenmenger's complex,P543,P543.00,313298019,NA,32
204311009#,Eisenmenger complex,2881523015#,1,1,2,4824421000006117#,Eisenmenger complex,^ESCTEI482442,NA,2881523015,NA,32
70995007#,Pulmonary hypertension,117919017#,1,1,2,3654631000006113#,Pulmonary hypertension,^ESCTPU365463,NA,117919017,NA,32
70995007#,Pulmonary hypertension,117919017#,1,1,2,3654641000006115#,PHT - Pulmonary hypertension,^ESCTPH365464,NA,1233340012,NA,31
70995007#,"Pulmonary hypertension, NOS",117920011#,1,1,2,3654631000006113#,Pulmonary hypertension,^ESCTPU365463,NA,117919017,NA,32
70995007#,"Pulmonary hypertension, NOS",117920011#,1,1,2,3654641000006115#,PHT - Pulmonary hypertension,^ESCTPH365464,NA,1233340012,NA,31
70995007#,Pulmonary hypertension (disorder),811111019#,1,1,2,3654631000006113#,Pulmonary hypertension,^ESCTPU365463,NA,117919017,NA,32
70995007#,Pulmonary hypertension (disorder),811111019#,1,1,2,3654641000006115#,PHT - Pulmonary hypertension,^ESCTPH365464,NA,1233340012,NA,31
70995007#,PHT - Pulmonary hypertension,1233340012#,1,1,2,3654631000006113#,Pulmonary hypertension,^ESCTPU365463,NA,117919017,NA,32
70995007#,PHT - Pulmonary hypertension,1233340012#,1,1,2,3654641000006115#,PHT - Pulmonary hypertension,^ESCTPH365464,NA,1233340012,NA,31
233941006#,Solitary pulmonary hypertension,350510012#,1,1,2,5057711000006119#,Solitary pulmonary hypertension,^ESCTSO505771,NA,350510012,NA,31
233941006#,Solitary pulmonary hypertension (disorder),622195010#,1,1,2,5057711000006119#,Solitary pulmonary hypertension,^ESCTSO505771,NA,350510012,NA,31
233942004#,Small vessel pulmonary hypertension,350511011#,1,1,2,5057721000006110#,Small vessel pulmonary hypertension,^ESCTSM505772,NA,350511011,NA,31
233942004#,Small vessel pulmonary hypertension (disorder),622196011#,1,1,2,5057721000006110#,Small vessel pulmonary hypertension,^ESCTSM505772,NA,350511011,NA,31
233943009#,Sporadic primary pulmonary hypertension,350512016#,1,1,2,5057731000006113#,Sporadic primary pulmonary hypertension,^ESCTSP505773,NA,350512016,NA,31
233943009#,Sporadic primary pulmonary hypertension (disorder),622197019#,1,1,2,5057731000006113#,Sporadic primary pulmonary hypertension,^ESCTSP505773,NA,350512016,NA,31
233944003#,Familial primary pulmonary hypertension,350513014#,1,1,2,5057741000006115#,Familial primary pulmonary hypertension,^ESCTFA505774,NA,350513014,NA,31
233944003#,Familial primary pulmonary hypertension (disorder),622198012#,1,1,2,5057741000006115#,Familial primary pulmonary hypertension,^ESCTFA505774,NA,350513014,NA,31
