snomedcode,term_snomed,id,search_terms,read_mapping,matchtotal,MedCodeId,term_medcode,OriginalReadCode,CleansedReadCode,SnomedCTDescriptionId,Release,EmisCodeCategoryId
103981000119101#,Proliferative diabetic retinopathy following surgery,3035164019#,1,0,1,8032451000006118#,Proliferative diabetic retinopathy following surgery,^ESCTPR803245,NA,3035164019,NA,31
103981000119101#,Proliferative diabetic retinopathy following surgery (disorder),3035167014#,1,0,1,8032451000006118#,Proliferative diabetic retinopathy following surgery,^ESCTPR803245,NA,3035164019,NA,31
103981000119101#,Proliferative retinopathy following surgery due to diabetes mellitus (disorder),3781804016#,1,0,1,8032451000006118#,Proliferative diabetic retinopathy following surgery,^ESCTPR803245,NA,3035164019,NA,31
103981000119101#,Proliferative retinopathy following surgery due to diabetes mellitus,3781805015#,1,0,1,8032451000006118#,Proliferative diabetic retinopathy following surgery,^ESCTPR803245,NA,3035164019,NA,31
138881000119106#,Mild nonproliferative retinopathy due to type 1 diabetes mellitus,3289791018#,1,0,1,8043591000006119#,Mild nonproliferative retinopathy due to type 1 diabetes mellitus,^ESCTMI804359,NA,3289791018,NA,31
138881000119106#,Mild nonproliferative retinopathy due to type 1 diabetes mellitus,3289791018#,1,0,1,12370931000006111#,Mild nonproliferative retinopathy co-occurrent and due to type 1 diabetes mellitus,^ESCT1237093,NA,3690257015,NA,31
138881000119106#,Mild nonproliferative retinopathy due to type 1 diabetes mellitus (disorder),3289809016#,1,0,1,8043591000006119#,Mild nonproliferative retinopathy due to type 1 diabetes mellitus,^ESCTMI804359,NA,3289791018,NA,31
138881000119106#,Mild nonproliferative retinopathy due to type 1 diabetes mellitus (disorder),3289809016#,1,0,1,12370931000006111#,Mild nonproliferative retinopathy co-occurrent and due to type 1 diabetes mellitus,^ESCT1237093,NA,3690257015,NA,31
138881000119106#,Mild nonproliferative retinopathy co-occurrent and due to type 1 diabetes mellitus,3690257015#,1,0,1,8043591000006119#,Mild nonproliferative retinopathy due to type 1 diabetes mellitus,^ESCTMI804359,NA,3289791018,NA,31
138881000119106#,Mild nonproliferative retinopathy co-occurrent and due to type 1 diabetes mellitus,3690257015#,1,0,1,12370931000006111#,Mild nonproliferative retinopathy co-occurrent and due to type 1 diabetes mellitus,^ESCT1237093,NA,3690257015,NA,31
138881000119106#,Mild nonproliferative retinopathy co-occurrent and due to type 1 diabetes mellitus (disorder),3690274015#,1,0,1,8043591000006119#,Mild nonproliferative retinopathy due to type 1 diabetes mellitus,^ESCTMI804359,NA,3289791018,NA,31
138881000119106#,Mild nonproliferative retinopathy co-occurrent and due to type 1 diabetes mellitus (disorder),3690274015#,1,0,1,12370931000006111#,Mild nonproliferative retinopathy co-occurrent and due to type 1 diabetes mellitus,^ESCT1237093,NA,3690257015,NA,31
138891000119109#,Moderate nonproliferative retinopathy due to type 1 diabetes mellitus (disorder),3289832017#,1,0,1,12370941000006118#,Moderate nonproliferative retinopathy co-occurrent and due to type 1 diabetes mellitus,^ESCT1237094,NA,3690260010,NA,31
138891000119109#,Moderate nonproliferative retinopathy due to type 1 diabetes mellitus (disorder),3289832017#,1,0,1,8043601000006110#,Moderate nonproliferative retinopathy due to type 1 diabetes mellitus,^ESCTMO804360,NA,3289834016,NA,31
138891000119109#,Moderate nonproliferative retinopathy due to type 1 diabetes mellitus,3289834016#,1,0,1,12370941000006118#,Moderate nonproliferative retinopathy co-occurrent and due to type 1 diabetes mellitus,^ESCT1237094,NA,3690260010,NA,31
138891000119109#,Moderate nonproliferative retinopathy due to type 1 diabetes mellitus,3289834016#,1,0,1,8043601000006110#,Moderate nonproliferative retinopathy due to type 1 diabetes mellitus,^ESCTMO804360,NA,3289834016,NA,31
138891000119109#,Moderate nonproliferative retinopathy co-occurrent and due to type 1 diabetes mellitus (disorder),3690259017#,1,0,1,12370941000006118#,Moderate nonproliferative retinopathy co-occurrent and due to type 1 diabetes mellitus,^ESCT1237094,NA,3690260010,NA,31
138891000119109#,Moderate nonproliferative retinopathy co-occurrent and due to type 1 diabetes mellitus (disorder),3690259017#,1,0,1,8043601000006110#,Moderate nonproliferative retinopathy due to type 1 diabetes mellitus,^ESCTMO804360,NA,3289834016,NA,31
138891000119109#,Moderate nonproliferative retinopathy co-occurrent and due to type 1 diabetes mellitus,3690260010#,1,0,1,12370941000006118#,Moderate nonproliferative retinopathy co-occurrent and due to type 1 diabetes mellitus,^ESCT1237094,NA,3690260010,NA,31
138891000119109#,Moderate nonproliferative retinopathy co-occurrent and due to type 1 diabetes mellitus,3690260010#,1,0,1,8043601000006110#,Moderate nonproliferative retinopathy due to type 1 diabetes mellitus,^ESCTMO804360,NA,3289834016,NA,31
138911000119106#,Mild nonproliferative retinopathy due to type 2 diabetes mellitus,3013173019#,1,0,1,12370951000006116#,Mild nonproliferative retinopathy co-occurrent and due to type 2 diabetes mellitus,^ESCT1237095,NA,3689168016,NA,31
138911000119106#,Mild nonproliferative retinopathy due to type 2 diabetes mellitus,3013173019#,1,0,1,8043621000006117#,Mild nonproliferative retinopathy due to type 2 diabetes mellitus,^ESCTMI804362,NA,3013173019,NA,31
138911000119106#,Mild nonproliferative retinopathy due to type 2 diabetes mellitus (disorder),3013222017#,1,0,1,12370951000006116#,Mild nonproliferative retinopathy co-occurrent and due to type 2 diabetes mellitus,^ESCT1237095,NA,3689168016,NA,31
138911000119106#,Mild nonproliferative retinopathy due to type 2 diabetes mellitus (disorder),3013222017#,1,0,1,8043621000006117#,Mild nonproliferative retinopathy due to type 2 diabetes mellitus,^ESCTMI804362,NA,3013173019,NA,31
138911000119106#,Mild nonproliferative retinopathy co-occurrent and due to type 2 diabetes mellitus (disorder),3689167014#,1,0,1,12370951000006116#,Mild nonproliferative retinopathy co-occurrent and due to type 2 diabetes mellitus,^ESCT1237095,NA,3689168016,NA,31
138911000119106#,Mild nonproliferative retinopathy co-occurrent and due to type 2 diabetes mellitus (disorder),3689167014#,1,0,1,8043621000006117#,Mild nonproliferative retinopathy due to type 2 diabetes mellitus,^ESCTMI804362,NA,3013173019,NA,31
138911000119106#,Mild nonproliferative retinopathy co-occurrent and due to type 2 diabetes mellitus,3689168016#,1,0,1,12370951000006116#,Mild nonproliferative retinopathy co-occurrent and due to type 2 diabetes mellitus,^ESCT1237095,NA,3689168016,NA,31
