snomedcode,term_snomed,id,search_terms,read_mapping,matchtotal,MedCodeId,term_medcode,OriginalReadCode,CleansedReadCode,SnomedCTDescriptionId,Release,EmisCodeCategoryId
10190003#,Aortocoronary bypass of four or more coronary arteries,17762013#,1,0,1,2662211000006111#,Aortocoronary bypass of four or more coronary arteries,^ESCTAO266221,NA,17762013,NA,31
10190003#,Aortocoronary bypass of four or more coronary arteries,17762013#,1,0,1,2662231000006117#,Cardiac revascularisation with bypass aortocoronary anastomosis of four coronary vessels,^ESCTCA266223,NA,241303018,NA,31
10190003#,Aortocoronary bypass of four or more coronary arteries,17762013#,1,0,1,2662221000006115#,Cardiac revascularization with bypass aortocoronary anastomosis of four coronary vessels,^ESCTCA266222,NA,17763015,NA,31
10190003#,Aortocoronary bypass of four or more coronary arteries (procedure),535322014#,1,0,1,2662211000006111#,Aortocoronary bypass of four or more coronary arteries,^ESCTAO266221,NA,17762013,NA,31
10190003#,Aortocoronary bypass of four or more coronary arteries (procedure),535322014#,1,0,1,2662231000006117#,Cardiac revascularisation with bypass aortocoronary anastomosis of four coronary vessels,^ESCTCA266223,NA,241303018,NA,31
10190003#,Aortocoronary bypass of four or more coronary arteries (procedure),535322014#,1,0,1,2662221000006115#,Cardiac revascularization with bypass aortocoronary anastomosis of four coronary vessels,^ESCTCA266222,NA,17763015,NA,31
11101003#,Percutaneous transluminal coronary angioplasty,19234014#,1,1,2,238821000006111#,Percutaneous balloon coronary angioplasty,7928-1,7928.11,19234014,NA,32
11101003#,Percutaneous transluminal coronary angioplasty,19234014#,1,1,2,2676631000006114#,PTCA - Percutaneous transluminal coronary angioplasty,^ESCTPT267663,NA,1219585013,NA,32
11101003#,Percutaneous transluminal coronary angioplasty,19234014#,1,1,2,89711000006118#,Percutaneous transluminal coronary angioplasty,7928,7928,19234014,NA,32
11101003#,Percutaneous transluminal coronary angioplasty,19234014#,1,1,2,2676621000006111#,Percutaneous transluminal coronary balloon angioplasty,^ESCTPE267662,NA,1219584012,NA,32
11101003#,Percutaneous transluminal coronary angioplasty,19234014#,1,1,2,2676611000006115#,Balloon angioplasty of coronary artery,^ESCTBA267661,NA,357438017,NA,32
