snomedcode,term_snomed,id,search_terms,read_mapping,matchtotal,MedCodeId,term_medcode,OriginalReadCode,CleansedReadCode,SnomedCTDescriptionId,Release,EmisCodeCategoryId
161567008#,H/O: rheumatoid arthritis,251794010#,1,1,2,251794010#,H/O: rheumatoid arthritis,14G1,14G1.00,251794010,NA,32
161567008#,H/O: rheumatoid arthritis,251794010#,1,1,2,4541331000006113#,History of rheumatoid arthritis,^ESCTHI454133,NA,2986458016,NA,32
161567008#,History of - rheumatoid arthritis (context-dependent category),542610014#,1,1,2,251794010#,H/O: rheumatoid arthritis,14G1,14G1.00,251794010,NA,32
161567008#,History of - rheumatoid arthritis (context-dependent category),542610014#,1,1,2,4541331000006113#,History of rheumatoid arthritis,^ESCTHI454133,NA,2986458016,NA,32
161567008#,History of - rheumatoid arthritis (situation),2607061019#,1,1,2,251794010#,H/O: rheumatoid arthritis,14G1,14G1.00,251794010,NA,32
161567008#,History of - rheumatoid arthritis (situation),2607061019#,1,1,2,4541331000006113#,History of rheumatoid arthritis,^ESCTHI454133,NA,2986458016,NA,32
161567008#,History of - rheumatoid arthritis,2666406016#,1,1,2,251794010#,H/O: rheumatoid arthritis,14G1,14G1.00,251794010,NA,32
161567008#,History of - rheumatoid arthritis,2666406016#,1,1,2,4541331000006113#,History of rheumatoid arthritis,^ESCTHI454133,NA,2986458016,NA,32
161567008#,History of rheumatoid arthritis (situation),2986302013#,1,1,2,251794010#,H/O: rheumatoid arthritis,14G1,14G1.00,251794010,NA,32
161567008#,History of rheumatoid arthritis (situation),2986302013#,1,1,2,4541331000006113#,History of rheumatoid arthritis,^ESCTHI454133,NA,2986458016,NA,32
161567008#,History of rheumatoid arthritis,2986458016#,1,1,2,251794010#,H/O: rheumatoid arthritis,14G1,14G1.00,251794010,NA,32
161567008#,History of rheumatoid arthritis,2986458016#,1,1,2,4541331000006113#,History of rheumatoid arthritis,^ESCTHI454133,NA,2986458016,NA,32
193180002#,Polyneuropathy in rheumatoid arthritis,297544012#,1,1,2,297544012#,Polyneuropathy in rheumatoid arthritis,F3712,F371200,297544012,NA,32
193180002#,Polyneuropathy in rheumatoid arthritis (disorder),577039011#,1,1,2,297544012#,Polyneuropathy in rheumatoid arthritis,F3712,F371200,297544012,NA,32
193250002#,Myopathy due to rheumatoid arthritis,297641010#,1,1,2,297641010#,Myopathy due to rheumatoid arthritis,F3964,F396400,297641010,NA,32
193250002#,Myopathy due to rheumatoid arthritis (disorder),577116015#,1,1,2,297641010#,Myopathy due to rheumatoid arthritis,F3964,F396400,297641010,NA,32
201764007#,Rheumatoid arthritis of cervical spine,309787016#,1,1,2,309787016#,Rheumatoid arthritis of cervical spine,N0400,N040000,309787016,NA,32
201764007#,Rheumatoid arthritis of cervical spine (disorder),586672010#,1,1,2,309787016#,Rheumatoid arthritis of cervical spine,N0400,N040000,309787016,NA,32
9631008#,"Rheumatoid arthritis of spine, NOS",16835018#,1,1,2,16833013#,Ankylosing spondylitis,N100,N100.00,16833013,NA,32
9631008#,"Rheumatoid arthritis of spine, NOS",16835018#,1,1,2,2653371000006113#,Rheumatoid spondylitis,^ESCTRH265337,NA,16837014,NA,32
9631008#,"Rheumatoid arthritis of spine, NOS",16835018#,1,1,2,2653381000006111#,Spondylosis deformans,^ESCTSP265338,NA,16838016,NA,32
9631008#,"Rheumatoid arthritis of spine, NOS",16835018#,1,1,2,2653421000006118#,Idiopathic ankylosing spondylitis,^ESCTID265342,NA,1235978015,NA,32
9631008#,"Rheumatoid arthritis of spine, NOS",16835018#,1,1,2,2653431000006115#,AS - Ankylosing spondylitis,^ESCTAS265343,NA,1235979011,NA,32
9631008#,"Rheumatoid arthritis of spine, NOS",16835018#,1,1,2,2653411000006114#,Marie-Strumpell spondylitis,^ESCTMA265341,NA,1235977013,NA,32
9631008#,"Rheumatoid arthritis of spine, NOS",16835018#,1,1,2,2653391000006114#,Bekhterev's disease,^ESCTBE265339,NA,16839012,NA,32
9631008#,"Rheumatoid arthritis of spine, NOS",16835018#,1,1,2,718001000006112#,Marie - Strumpell spondylitis,N100-1,N100.11,1235977013,NA,32
9631008#,"Rheumatoid arthritis of spine, NOS",16835018#,1,1,2,309788014#,Rheumatoid arthritis of spine,N0401,N040100,16840014,NA,32
9631008#,"Rheumatoid arthritis of spine, NOS",16835018#,1,1,2,2653361000006118#,Marie StrÃ¼mpell spondylitis,^ESCTMA265336,NA,16836017,NA,32
9631008#,Rheumatoid arthritis of spine,16840014#,1,1,2,16833013#,Ankylosing spondylitis,N100,N100.00,16833013,NA,32
9631008#,Rheumatoid arthritis of spine,16840014#,1,1,2,2653371000006113#,Rheumatoid spondylitis,^ESCTRH265337,NA,16837014,NA,32
9631008#,Rheumatoid arthritis of spine,16840014#,1,1,2,2653381000006111#,Spondylosis deformans,^ESCTSP265338,NA,16838016,NA,32
9631008#,Rheumatoid arthritis of spine,16840014#,1,1,2,2653421000006118#,Idiopathic ankylosing spondylitis,^ESCTID265342,NA,1235978015,NA,32
9631008#,Rheumatoid arthritis of spine,16840014#,1,1,2,2653431000006115#,AS - Ankylosing spondylitis,^ESCTAS265343,NA,1235979011,NA,32
9631008#,Rheumatoid arthritis of spine,16840014#,1,1,2,2653411000006114#,Marie-Strumpell spondylitis,^ESCTMA265341,NA,1235977013,NA,32
9631008#,Rheumatoid arthritis of spine,16840014#,1,1,2,2653391000006114#,Bekhterev's disease,^ESCTBE265339,NA,16839012,NA,32
9631008#,Rheumatoid arthritis of spine,16840014#,1,1,2,718001000006112#,Marie - Strumpell spondylitis,N100-1,N100.11,1235977013,NA,32
9631008#,Rheumatoid arthritis of spine,16840014#,1,1,2,309788014#,Rheumatoid arthritis of spine,N0401,N040100,16840014,NA,32
9631008#,Rheumatoid arthritis of spine,16840014#,1,1,2,2653361000006118#,Marie StrÃ¼mpell spondylitis,^ESCTMA265336,NA,16836017,NA,32
201766009#,Rheumatoid arthritis of shoulder,309789018#,1,1,2,309789018#,Rheumatoid arthritis of shoulder,N0402,N040200,309789018,NA,32
201766009#,Rheumatoid arthritis of shoulder (disorder),586674011#,1,1,2,309789018#,Rheumatoid arthritis of shoulder,N0402,N040200,309789018,NA,32
