snomedcode,term_snomed,id,search_terms,read_mapping,matchtotal,MedCodeId,term_medcode,OriginalReadCode,CleansedReadCode,SnomedCTDescriptionId,Release,EmisCodeCategoryId
88039007#,Transplant of lung,145940012#,1,1,2,3930661000006110#,Transplant of lung,^ESCTTR393066,NA,145940012,NA,32
88039007#,Transplant of lung,145940012#,1,1,2,90511000006115#,LTx - Lung transplant,7450,7450,1235295018,NA,32
88039007#,Transplant of lung,145940012#,1,1,2,268099017#,Other specified transplantation of lung,7450y,7450y00,145940012,NA,32
88039007#,Transplant of lung,145940012#,1,1,2,268100013#,Transplantation of lung NOS,7450z,7450z00,145940012,NA,32
88039007#,Transplant of lung,145940012#,1,1,2,861571000006118#,Lung transplant,7450-99,7450.99,862000000000000,NA,32
88039007#,"Transplant of lung, NOS",145941011#,1,1,2,3930661000006110#,Transplant of lung,^ESCTTR393066,NA,145940012,NA,32
88039007#,"Transplant of lung, NOS",145941011#,1,1,2,90511000006115#,LTx - Lung transplant,7450,7450,1235295018,NA,32
88039007#,"Transplant of lung, NOS",145941011#,1,1,2,268099017#,Other specified transplantation of lung,7450y,7450y00,145940012,NA,32
88039007#,"Transplant of lung, NOS",145941011#,1,1,2,268100013#,Transplantation of lung NOS,7450z,7450z00,145940012,NA,32
88039007#,"Transplant of lung, NOS",145941011#,1,1,2,861571000006118#,Lung transplant,7450-99,7450.99,862000000000000,NA,32
88039007#,Transplant of lung (procedure),830638012#,1,1,2,3930661000006110#,Transplant of lung,^ESCTTR393066,NA,145940012,NA,32
88039007#,Transplant of lung (procedure),830638012#,1,1,2,90511000006115#,LTx - Lung transplant,7450,7450,1235295018,NA,32
88039007#,Transplant of lung (procedure),830638012#,1,1,2,268099017#,Other specified transplantation of lung,7450y,7450y00,145940012,NA,32
88039007#,Transplant of lung (procedure),830638012#,1,1,2,268100013#,Transplantation of lung NOS,7450z,7450z00,145940012,NA,32
88039007#,Transplant of lung (procedure),830638012#,1,1,2,861571000006118#,Lung transplant,7450-99,7450.99,862000000000000,NA,32
88039007#,LTx - Lung transplant,1235295018#,1,1,2,3930661000006110#,Transplant of lung,^ESCTTR393066,NA,145940012,NA,32
88039007#,LTx - Lung transplant,1235295018#,1,1,2,90511000006115#,LTx - Lung transplant,7450,7450,1235295018,NA,32
88039007#,LTx - Lung transplant,1235295018#,1,1,2,268099017#,Other specified transplantation of lung,7450y,7450y00,145940012,NA,32
88039007#,LTx - Lung transplant,1235295018#,1,1,2,268100013#,Transplantation of lung NOS,7450z,7450z00,145940012,NA,32
88039007#,LTx - Lung transplant,1235295018#,1,1,2,861571000006118#,Lung transplant,7450-99,7450.99,862000000000000,NA,32
174425003#,Orthotopic liver transplant,270228010#,1,1,2,31211000006119#,Orthotopic transplantation of liver,78000,7800000,270228010,NA,32
174425003#,Orthotopic liver transplant,270228010#,1,1,2,4661761000006116#,Orthotopic transplantation of liver,^ESCTOR466176,NA,166e13,NA,32
174425003#,Orthotopic liver transplant,270228010#,1,1,2,4661751000006118#,Orthotopic liver transplant,^ESCTOR466175,NA,270228010,NA,32
174425003#,Orthotopic liver transplant,270228010#,1,1,2,376141000000113#,Orthotopic transplantation of liver NEC,78005,7800500,270228010,NA,32
174425003#,Orthotopic liver transplant (procedure),556855014#,1,1,2,31211000006119#,Orthotopic transplantation of liver,78000,7800000,270228010,NA,32
174425003#,Orthotopic liver transplant (procedure),556855014#,1,1,2,4661761000006116#,Orthotopic transplantation of liver,^ESCTOR466176,NA,166e13,NA,32
174425003#,Orthotopic liver transplant (procedure),556855014#,1,1,2,4661751000006118#,Orthotopic liver transplant,^ESCTOR466175,NA,270228010,NA,32
174425003#,Orthotopic liver transplant (procedure),556855014#,1,1,2,376141000000113#,Orthotopic transplantation of liver NEC,78005,7800500,270228010,NA,32
174426002#,Heterotopic liver transplant,270229019#,1,1,2,225661000006111#,Piggy back liver transplant,78001-2,7800112,270231011,NA,32
174426002#,Heterotopic liver transplant,270229019#,1,1,2,4661791000006112#,Piggy-back liver transplant,^ESCTPI466179,NA,270231011,NA,32
174426002#,Heterotopic liver transplant,270229019#,1,1,2,822591000006117#,Heterotopic liver transplant,78001,7800100,270229019,NA,32
174426002#,Heterotopic liver transplant,270229019#,1,1,2,500401000006116#,Auxillary liver transplant,78001-1,7800111,270230012,NA,32
174426002#,Heterotopic liver transplant,270229019#,1,1,2,4661781000006114#,Auxiliary liver transplant,^ESCTAU466178,NA,270230012,NA,32
174426002#,Auxiliary liver transplant,270230012#,1,1,2,225661000006111#,Piggy back liver transplant,78001-2,7800112,270231011,NA,32
174426002#,Auxiliary liver transplant,270230012#,1,1,2,4661791000006112#,Piggy-back liver transplant,^ESCTPI466179,NA,270231011,NA,32
174426002#,Auxiliary liver transplant,270230012#,1,1,2,822591000006117#,Heterotopic liver transplant,78001,7800100,270229019,NA,32
174426002#,Auxiliary liver transplant,270230012#,1,1,2,500401000006116#,Auxillary liver transplant,78001-1,7800111,270230012,NA,32
174426002#,Auxiliary liver transplant,270230012#,1,1,2,4661781000006114#,Auxiliary liver transplant,^ESCTAU466178,NA,270230012,NA,32
174426002#,Piggy-back liver transplant,270231011#,1,1,2,225661000006111#,Piggy back liver transplant,78001-2,7800112,270231011,NA,32
174426002#,Piggy-back liver transplant,270231011#,1,1,2,4661791000006112#,Piggy-back liver transplant,^ESCTPI466179,NA,270231011,NA,32
174426002#,Piggy-back liver transplant,270231011#,1,1,2,822591000006117#,Heterotopic liver transplant,78001,7800100,270229019,NA,32
