snomedcode,term_snomed,id,search_terms,read_mapping,matchtotal,MedCodeId,term_medcode,OriginalReadCode,CleansedReadCode,SnomedCTDescriptionId,Release,EmisCodeCategoryId
102831000119104#,Paraplegia or paraparesis as sequela of stroke,2967510014#,1,0,1,8032111000006114#,Paraplegia or paraparesis as sequela of stroke,^ESCTPA803211,NA,2967510014,NA,31
102831000119104#,Paraplegia or paraparesis as sequela of stroke,2967510014#,1,0,1,8032101000006111#,Paralytic syndrome of both lower limbs as sequela of stroke,^ESCTPA803210,NA,2967645013,NA,31
102831000119104#,Paralytic syndrome of both lower limbs as sequela of stroke (disorder),2967545018#,1,0,1,8032111000006114#,Paraplegia or paraparesis as sequela of stroke,^ESCTPA803211,NA,2967510014,NA,31
102831000119104#,Paralytic syndrome of both lower limbs as sequela of stroke (disorder),2967545018#,1,0,1,8032101000006111#,Paralytic syndrome of both lower limbs as sequela of stroke,^ESCTPA803210,NA,2967645013,NA,31
102831000119104#,Paralytic syndrome of both lower limbs as sequela of stroke,2967645013#,1,0,1,8032111000006114#,Paraplegia or paraparesis as sequela of stroke,^ESCTPA803211,NA,2967510014,NA,31
102831000119104#,Paralytic syndrome of both lower limbs as sequela of stroke,2967645013#,1,0,1,8032101000006111#,Paralytic syndrome of both lower limbs as sequela of stroke,^ESCTPA803210,NA,2967645013,NA,31
103761000119107#,Paralytic syndrome of all four limbs as sequela of stroke (disorder),2967469017#,1,0,1,8032331000006118#,Paralytic syndrome of all four limbs as sequela of stroke,^ESCTPA803233,NA,2967588014,NA,31
103761000119107#,Paralytic syndrome of all four limbs as sequela of stroke (disorder),2967469017#,1,0,1,8032341000006111#,Tetraplegia or tetraparesis as sequela of stroke,^ESCTTE803234,NA,2967641016,NA,31
103761000119107#,Paralytic syndrome of all four limbs as sequela of stroke,2967588014#,1,0,1,8032331000006118#,Paralytic syndrome of all four limbs as sequela of stroke,^ESCTPA803233,NA,2967588014,NA,31
103761000119107#,Paralytic syndrome of all four limbs as sequela of stroke,2967588014#,1,0,1,8032341000006111#,Tetraplegia or tetraparesis as sequela of stroke,^ESCTTE803234,NA,2967641016,NA,31
103761000119107#,Tetraplegia or tetraparesis as sequela of stroke,2967641016#,1,0,1,8032331000006118#,Paralytic syndrome of all four limbs as sequela of stroke,^ESCTPA803233,NA,2967588014,NA,31
103761000119107#,Tetraplegia or tetraparesis as sequela of stroke,2967641016#,1,0,1,8032341000006111#,Tetraplegia or tetraparesis as sequela of stroke,^ESCTTE803234,NA,2967641016,NA,31
108691000119102#,Spasticity as sequela of stroke (disorder),2967555019#,1,0,1,8034191000006110#,Spasticity as late effect of cerebrovascular accident,^ESCTSP803419,NA,2967650019,NA,31
108691000119102#,Spasticity as sequela of stroke (disorder),2967555019#,1,0,1,8034181000006112#,Spasticity as sequela of stroke,^ESCTSP803418,NA,2967701015,NA,31
108691000119102#,Spasticity as late effect of cerebrovascular accident,2967650019#,1,0,1,8034191000006110#,Spasticity as late effect of cerebrovascular accident,^ESCTSP803419,NA,2967650019,NA,31
108691000119102#,Spasticity as late effect of cerebrovascular accident,2967650019#,1,0,1,8034181000006112#,Spasticity as sequela of stroke,^ESCTSP803418,NA,2967701015,NA,31
108691000119102#,Spasticity as sequela of stroke,2967701015#,1,0,1,8034191000006110#,Spasticity as late effect of cerebrovascular accident,^ESCTSP803419,NA,2967650019,NA,31
108691000119102#,Spasticity as sequela of stroke,2967701015#,1,0,1,8034181000006112#,Spasticity as sequela of stroke,^ESCTSP803418,NA,2967701015,NA,31
112901000000108#,NA,NA#,0,1,1,966981000006112#,Referral to multidisciplinary stroke function improvement service,8HHM,8HHM.00,199000000000000,NA,40
1131000119105#,Sequela of cerebrovascular accident (disorder),2967574010#,1,0,1,7967641000006111#,Sequela of cerebrovascular accident,^ESCTSE796764,NA,2967636012,NA,31
1131000119105#,Sequela of cerebrovascular accident,2967636012#,1,0,1,7967641000006111#,Sequela of cerebrovascular accident,^ESCTSE796764,NA,2967636012,NA,31
118951000119103#,History of thrombotic stroke without residual deficits,2967512018#,1,0,1,8037251000006117#,History of thrombotic stroke without residual deficits,^ESCTHI803725,NA,2967512018,NA,31
118951000119103#,History of thrombotic stroke without residual deficits (situation),2967569019#,1,0,1,8037251000006117#,History of thrombotic stroke without residual deficits,^ESCTHI803725,NA,2967512018,NA,31
118961000119101#,History of hemorrhagic cerebrovascular accident without residual deficits (situation),3331073017#,1,0,1,8037261000006115#,History of haemorrhagic cerebrovascular accident without residual deficits,^ESCTHI803726,NA,3331100016,NA,31
118961000119101#,History of hemorrhagic cerebrovascular accident without residual deficits (situation),3331073017#,1,0,1,8037271000006110#,History of hemorrhagic cerebrovascular accident without residual deficits,^ESCTHI803727,NA,3331099012,NA,31
118961000119101#,History of hemorrhagic cerebrovascular accident without residual deficits,3331099012#,1,0,1,8037261000006115#,History of haemorrhagic cerebrovascular accident without residual deficits,^ESCTHI803726,NA,3331100016,NA,31
118961000119101#,History of hemorrhagic cerebrovascular accident without residual deficits,3331099012#,1,0,1,8037271000006110#,History of hemorrhagic cerebrovascular accident without residual deficits,^ESCTHI803727,NA,3331099012,NA,31
118961000119101#,History of haemorrhagic cerebrovascular accident without residual deficits,3331100016#,1,0,1,8037261000006115#,History of haemorrhagic cerebrovascular accident without residual deficits,^ESCTHI803726,NA,3331100016,NA,31
118961000119101#,History of haemorrhagic cerebrovascular accident without residual deficits,3331100016#,1,0,1,8037271000006110#,History of hemorrhagic cerebrovascular accident without residual deficits,^ESCTHI803727,NA,3331099012,NA,31
118971000119107#,History of embolic stroke without deficits (situation),2967460018#,1,0,1,8037281000006113#,History of embolic stroke without deficits,^ESCTHI803728,NA,2967464010,NA,31
118971000119107#,History of embolic stroke without deficits,2967464010#,1,0,1,8037281000006113#,History of embolic stroke without deficits,^ESCTHI803728,NA,2967464010,NA,31
12242711000119109#,Weakness of left facial muscle due to and following cerebrovascular accident (disorder),3508818015#,1,0,1,3508819011#,Weakness of left facial muscle as sequela of cerebrovascular accident,^ESCT1172519,NA,3508819011,NA,31
12242711000119109#,Weakness of left facial muscle due to and following cerebrovascular accident (disorder),3508818015#,1,0,1,3513517014#,Weakness of left facial muscle due to and following cerebrovascular accident,^ESCT1172520,NA,3513517014,NA,31
12242711000119109#,Weakness of left facial muscle due to and following cerebrovascular accident (disorder),3508818015#,1,0,1,3508820017#,Left facial weakness as late effect of stroke,^ESCT1172521,NA,3508820017,NA,31
12242711000119109#,Weakness of left facial muscle as sequela of cerebrovascular accident,3508819011#,1,0,1,3508819011#,Weakness of left facial muscle as sequela of cerebrovascular accident,^ESCT1172519,NA,3508819011,NA,31
12242711000119109#,Weakness of left facial muscle as sequela of cerebrovascular accident,3508819011#,1,0,1,3513517014#,Weakness of left facial muscle due to and following cerebrovascular accident,^ESCT1172520,NA,3513517014,NA,31
12242711000119109#,Weakness of left facial muscle as sequela of cerebrovascular accident,3508819011#,1,0,1,3508820017#,Left facial weakness as late effect of stroke,^ESCT1172521,NA,3508820017,NA,31
12242711000119109#,Left facial weakness as late effect of stroke,3508820017#,1,0,1,3508819011#,Weakness of left facial muscle as sequela of cerebrovascular accident,^ESCT1172519,NA,3508819011,NA,31
12242711000119109#,Left facial weakness as late effect of stroke,3508820017#,1,0,1,3513517014#,Weakness of left facial muscle due to and following cerebrovascular accident,^ESCT1172520,NA,3513517014,NA,31
12242711000119109#,Left facial weakness as late effect of stroke,3508820017#,1,0,1,3508820017#,Left facial weakness as late effect of stroke,^ESCT1172521,NA,3508820017,NA,31
12242711000119109#,Weakness of left facial muscle due to and following cerebrovascular accident,3513517014#,1,0,1,3508819011#,Weakness of left facial muscle as sequela of cerebrovascular accident,^ESCT1172519,NA,3508819011,NA,31
12242711000119109#,Weakness of left facial muscle due to and following cerebrovascular accident,3513517014#,1,0,1,3513517014#,Weakness of left facial muscle due to and following cerebrovascular accident,^ESCT1172520,NA,3513517014,NA,31
12242711000119109#,Weakness of left facial muscle due to and following cerebrovascular accident,3513517014#,1,0,1,3508820017#,Left facial weakness as late effect of stroke,^ESCT1172521,NA,3508820017,NA,31
12242751000119105#,Weakness of right facial muscle due to and following cerebrovascular accident (disorder),3508831013#,1,0,1,3508832018#,Weakness of right facial muscle as sequela of cerebrovascular accident,^ESCT1172522,NA,3508832018,NA,31
12242751000119105#,Weakness of right facial muscle due to and following cerebrovascular accident (disorder),3508831013#,1,0,1,3508833011#,Right facial weakness as late effect of stroke,^ESCT1172523,NA,3508833011,NA,31
12242751000119105#,Weakness of right facial muscle due to and following cerebrovascular accident (disorder),3508831013#,1,0,1,3513531014#,Weakness of right facial muscle due to and following cerebrovascular accident,^ESCT1172524,NA,3513531014,NA,31
12242751000119105#,Weakness of right facial muscle as sequela of cerebrovascular accident,3508832018#,1,0,1,3508832018#,Weakness of right facial muscle as sequela of cerebrovascular accident,^ESCT1172522,NA,3508832018,NA,31
12242751000119105#,Weakness of right facial muscle as sequela of cerebrovascular accident,3508832018#,1,0,1,3508833011#,Right facial weakness as late effect of stroke,^ESCT1172523,NA,3508833011,NA,31
12242751000119105#,Weakness of right facial muscle as sequela of cerebrovascular accident,3508832018#,1,0,1,3513531014#,Weakness of right facial muscle due to and following cerebrovascular accident,^ESCT1172524,NA,3513531014,NA,31
12242751000119105#,Right facial weakness as late effect of stroke,3508833011#,1,0,1,3508832018#,Weakness of right facial muscle as sequela of cerebrovascular accident,^ESCT1172522,NA,3508832018,NA,31
12242751000119105#,Right facial weakness as late effect of stroke,3508833011#,1,0,1,3508833011#,Right facial weakness as late effect of stroke,^ESCT1172523,NA,3508833011,NA,31
12242751000119105#,Right facial weakness as late effect of stroke,3508833011#,1,0,1,3513531014#,Weakness of right facial muscle due to and following cerebrovascular accident,^ESCT1172524,NA,3513531014,NA,31
12242751000119105#,Weakness of right facial muscle due to and following cerebrovascular accident,3513531014#,1,0,1,3508832018#,Weakness of right facial muscle as sequela of cerebrovascular accident,^ESCT1172522,NA,3508832018,NA,31
12242751000119105#,Weakness of right facial muscle due to and following cerebrovascular accident,3513531014#,1,0,1,3508833011#,Right facial weakness as late effect of stroke,^ESCT1172523,NA,3508833011,NA,31
12242751000119105#,Weakness of right facial muscle due to and following cerebrovascular accident,3513531014#,1,0,1,3513531014#,Weakness of right facial muscle due to and following cerebrovascular accident,^ESCT1172524,NA,3513531014,NA,31
12367511000119101#,Paraplegia due to and following cerebrovascular accident (disorder),3503600018#,1,0,1,3503602014#,Paraplegia as late effect of stroke,^ESCT1172530,NA,3503602014,NA,31
12367511000119101#,Paraplegia due to and following cerebrovascular accident (disorder),3503600018#,1,0,1,3503601019#,Paraplegia as sequela of cerebrovascular accident,^ESCT1172529,NA,3503601019,NA,31
12367511000119101#,Paraplegia due to and following cerebrovascular accident (disorder),3503600018#,1,0,1,3511305015#,Paraplegia due to and following cerebrovascular accident,^ESCT1172531,NA,3511305015,NA,31
12367511000119101#,Paraplegia as sequela of cerebrovascular accident,3503601019#,1,0,1,3503602014#,Paraplegia as late effect of stroke,^ESCT1172530,NA,3503602014,NA,31
12367511000119101#,Paraplegia as sequela of cerebrovascular accident,3503601019#,1,0,1,3503601019#,Paraplegia as sequela of cerebrovascular accident,^ESCT1172529,NA,3503601019,NA,31
12367511000119101#,Paraplegia as sequela of cerebrovascular accident,3503601019#,1,0,1,3511305015#,Paraplegia due to and following cerebrovascular accident,^ESCT1172531,NA,3511305015,NA,31
12367511000119101#,Paraplegia as late effect of stroke,3503602014#,1,0,1,3503602014#,Paraplegia as late effect of stroke,^ESCT1172530,NA,3503602014,NA,31
12367511000119101#,Paraplegia as late effect of stroke,3503602014#,1,0,1,3503601019#,Paraplegia as sequela of cerebrovascular accident,^ESCT1172529,NA,3503601019,NA,31
12367511000119101#,Paraplegia as late effect of stroke,3503602014#,1,0,1,3511305015#,Paraplegia due to and following cerebrovascular accident,^ESCT1172531,NA,3511305015,NA,31
12367511000119101#,Paraplegia due to and following cerebrovascular accident,3511305015#,1,0,1,3503602014#,Paraplegia as late effect of stroke,^ESCT1172530,NA,3503602014,NA,31
12367511000119101#,Paraplegia due to and following cerebrovascular accident,3511305015#,1,0,1,3503601019#,Paraplegia as sequela of cerebrovascular accident,^ESCT1172529,NA,3503601019,NA,31
12367511000119101#,Paraplegia due to and following cerebrovascular accident,3511305015#,1,0,1,3511305015#,Paraplegia due to and following cerebrovascular accident,^ESCT1172531,NA,3511305015,NA,31
125081000119106#,Cerebral infarction due to occlusion of precerebral artery,3042974014#,1,1,2,370661000006114#,[X]Cereb infarct due unsp occlus/stenos precerebr arteries,Gyu6G,Gyu6G00,3042974014,NA,32
125081000119106#,Cerebral infarction due to occlusion of precerebral artery,3042974014#,1,1,2,542261000006114#,Cerebral infarction due to occlusion of precerebral artery,G6W,G6W..00,3042974014,NA,32
125081000119106#,Cerebral infarction due to occlusion of precerebral artery (disorder),3042985011#,1,1,2,370661000006114#,[X]Cereb infarct due unsp occlus/stenos precerebr arteries,Gyu6G,Gyu6G00,3042974014,NA,32
125081000119106#,Cerebral infarction due to occlusion of precerebral artery (disorder),3042985011#,1,1,2,542261000006114#,Cerebral infarction due to occlusion of precerebral artery,G6W,G6W..00,3042974014,NA,32
133981000119106#,Dysarthria as late effects of cerebrovascular disease,2958588014#,1,0,1,8042111000006110#,Dysarthria as late effects of cerebrovascular disease,^ESCTDY804211,NA,2958588014,NA,31
133981000119106#,Dysarthria as late effects of cerebrovascular disease (disorder),1071771000119119#,1,0,1,8042111000006110#,Dysarthria as late effects of cerebrovascular disease,^ESCTDY804211,NA,2958588014,NA,31
