snomedcode,term_snomed,id,search_terms,read_mapping,matchtotal,MedCodeId,term_medcode,OriginalReadCode,CleansedReadCode,SnomedCTDescriptionId,Release,EmisCodeCategoryId
161511000#,H/O: TIA,251692018#,1,1,2,251692018#,H/O: TIA,14AB,14AB.00,251692018,NA,32
161511000#,H/O: TIA,251692018#,1,1,2,4540591000006113#,History of transient ischemic attack,^ESCTHI454059,NA,2986735018,NA,32
161511000#,History of - TIA (context-dependent category),542547017#,1,1,2,251692018#,H/O: TIA,14AB,14AB.00,251692018,NA,32
161511000#,History of - TIA (context-dependent category),542547017#,1,1,2,4540591000006113#,History of transient ischemic attack,^ESCTHI454059,NA,2986735018,NA,32
161511000#,History of - transient ischemic attack (context-dependent category),2560313011#,1,1,2,251692018#,H/O: TIA,14AB,14AB.00,251692018,NA,32
161511000#,History of - transient ischemic attack (context-dependent category),2560313011#,1,1,2,4540591000006113#,History of transient ischemic attack,^ESCTHI454059,NA,2986735018,NA,32
161511000#,History of - transient ischemic attack (situation),2606666018#,1,1,2,251692018#,H/O: TIA,14AB,14AB.00,251692018,NA,32
161511000#,History of - transient ischemic attack (situation),2606666018#,1,1,2,4540591000006113#,History of transient ischemic attack,^ESCTHI454059,NA,2986735018,NA,32
161511000#,History of - transient ischemic attack,2666030013#,1,1,2,251692018#,H/O: TIA,14AB,14AB.00,251692018,NA,32
161511000#,History of - transient ischemic attack,2666030013#,1,1,2,4540591000006113#,History of transient ischemic attack,^ESCTHI454059,NA,2986735018,NA,32
161511000#,History of transient ischemic attack (situation),2986428010#,1,1,2,251692018#,H/O: TIA,14AB,14AB.00,251692018,NA,32
161511000#,History of transient ischemic attack (situation),2986428010#,1,1,2,4540591000006113#,History of transient ischemic attack,^ESCTHI454059,NA,2986735018,NA,32
161511000#,History of transient ischemic attack,2986735018#,1,1,2,251692018#,H/O: TIA,14AB,14AB.00,251692018,NA,32
161511000#,History of transient ischemic attack,2986735018#,1,1,2,4540591000006113#,History of transient ischemic attack,^ESCTHI454059,NA,2986735018,NA,32
161511000#,History of transient ischaemic attack,3789194012#,1,1,2,251692018#,H/O: TIA,14AB,14AB.00,251692018,NA,32
161511000#,History of transient ischaemic attack,3789194012#,1,1,2,4540591000006113#,History of transient ischemic attack,^ESCTHI454059,NA,2986735018,NA,32
266257000#,TIA,395781014#,1,1,2,395783012#,Transient ischaemic attack,G65-2,G65..12,395783012,NA,32
266257000#,TIA,395781014#,1,1,2,395788015#,Transient cerebral ischaemia,G65,G65..00,395788015,NA,32
266257000#,TIA,395781014#,1,1,2,95931000006111#,Transient cerebral ischaemia NOS,G65z,G65z.00,395788015,NA,32
266257000#,TIA,395781014#,1,1,2,5492201000006111#,TIA - Transient ischaemic attack,^ESCTTI549220,NA,395784018,NA,32
266257000#,TIA,395781014#,1,1,2,416991000006112#,Transient cerebral ischemia,Fyu55,Fyu5500,395788015,NA,32
266257000#,TIA,395781014#,1,1,2,5492221000006118#,Transient ischemic attack,^ESCTTR549222,NA,395787013,NA,32
266257000#,TIA,395781014#,1,1,2,5492181000006110#,Temporary cerebral vascular dysfunction,^ESCTTE549218,NA,395782019,NA,32
266257000#,TIA,395781014#,1,1,2,300348012#,Other transient cerebral ischaemia,G65y,G65y.00,395788015,NA,32
266257000#,TIA,395781014#,1,1,2,5492171000006112#,TIA,^ESCTTI549217,NA,395781014,NA,32
266257000#,TIA,395781014#,1,1,2,300349016#,Transient cerebral ischaemia NOS,G65zz,G65zz00,395788015,NA,32
266257000#,TIA,395781014#,1,1,2,988951000006117#,Transient Ischaemic Attacks,G65-99,G65..99,988951000000000,NA,32
266257000#,TIA,395781014#,1,1,2,11920121000006117#,Transient cerebral ischemia,^ESCT1192012,NA,395785017,NA,32
266257000#,Temporary cerebral vascular dysfunction,395782019#,1,1,2,395783012#,Transient ischaemic attack,G65-2,G65..12,395783012,NA,32
266257000#,Temporary cerebral vascular dysfunction,395782019#,1,1,2,395788015#,Transient cerebral ischaemia,G65,G65..00,395788015,NA,32
266257000#,Temporary cerebral vascular dysfunction,395782019#,1,1,2,95931000006111#,Transient cerebral ischaemia NOS,G65z,G65z.00,395788015,NA,32
266257000#,Temporary cerebral vascular dysfunction,395782019#,1,1,2,5492201000006111#,TIA - Transient ischaemic attack,^ESCTTI549220,NA,395784018,NA,32
266257000#,Temporary cerebral vascular dysfunction,395782019#,1,1,2,416991000006112#,Transient cerebral ischemia,Fyu55,Fyu5500,395788015,NA,32
266257000#,Temporary cerebral vascular dysfunction,395782019#,1,1,2,5492221000006118#,Transient ischemic attack,^ESCTTR549222,NA,395787013,NA,32
266257000#,Temporary cerebral vascular dysfunction,395782019#,1,1,2,5492181000006110#,Temporary cerebral vascular dysfunction,^ESCTTE549218,NA,395782019,NA,32
266257000#,Temporary cerebral vascular dysfunction,395782019#,1,1,2,300348012#,Other transient cerebral ischaemia,G65y,G65y.00,395788015,NA,32
266257000#,Temporary cerebral vascular dysfunction,395782019#,1,1,2,5492171000006112#,TIA,^ESCTTI549217,NA,395781014,NA,32
266257000#,Temporary cerebral vascular dysfunction,395782019#,1,1,2,300349016#,Transient cerebral ischaemia NOS,G65zz,G65zz00,395788015,NA,32
266257000#,Temporary cerebral vascular dysfunction,395782019#,1,1,2,988951000006117#,Transient Ischaemic Attacks,G65-99,G65..99,988951000000000,NA,32
266257000#,Temporary cerebral vascular dysfunction,395782019#,1,1,2,11920121000006117#,Transient cerebral ischemia,^ESCT1192012,NA,395785017,NA,32
266257000#,Transient ischaemic attack,395783012#,1,1,2,395783012#,Transient ischaemic attack,G65-2,G65..12,395783012,NA,32
266257000#,Transient ischaemic attack,395783012#,1,1,2,395788015#,Transient cerebral ischaemia,G65,G65..00,395788015,NA,32
266257000#,Transient ischaemic attack,395783012#,1,1,2,95931000006111#,Transient cerebral ischaemia NOS,G65z,G65z.00,395788015,NA,32
266257000#,Transient ischaemic attack,395783012#,1,1,2,5492201000006111#,TIA - Transient ischaemic attack,^ESCTTI549220,NA,395784018,NA,32
266257000#,Transient ischaemic attack,395783012#,1,1,2,416991000006112#,Transient cerebral ischemia,Fyu55,Fyu5500,395788015,NA,32
266257000#,Transient ischaemic attack,395783012#,1,1,2,5492221000006118#,Transient ischemic attack,^ESCTTR549222,NA,395787013,NA,32
266257000#,Transient ischaemic attack,395783012#,1,1,2,5492181000006110#,Temporary cerebral vascular dysfunction,^ESCTTE549218,NA,395782019,NA,32
266257000#,Transient ischaemic attack,395783012#,1,1,2,300348012#,Other transient cerebral ischaemia,G65y,G65y.00,395788015,NA,32
266257000#,Transient ischaemic attack,395783012#,1,1,2,5492171000006112#,TIA,^ESCTTI549217,NA,395781014,NA,32
266257000#,Transient ischaemic attack,395783012#,1,1,2,300349016#,Transient cerebral ischaemia NOS,G65zz,G65zz00,395788015,NA,32
266257000#,Transient ischaemic attack,395783012#,1,1,2,988951000006117#,Transient Ischaemic Attacks,G65-99,G65..99,988951000000000,NA,32
266257000#,Transient ischaemic attack,395783012#,1,1,2,11920121000006117#,Transient cerebral ischemia,^ESCT1192012,NA,395785017,NA,32
266257000#,TIA - Transient ischaemic attack,395784018#,1,1,2,395783012#,Transient ischaemic attack,G65-2,G65..12,395783012,NA,32
266257000#,TIA - Transient ischaemic attack,395784018#,1,1,2,395788015#,Transient cerebral ischaemia,G65,G65..00,395788015,NA,32
266257000#,TIA - Transient ischaemic attack,395784018#,1,1,2,95931000006111#,Transient cerebral ischaemia NOS,G65z,G65z.00,395788015,NA,32
266257000#,TIA - Transient ischaemic attack,395784018#,1,1,2,5492201000006111#,TIA - Transient ischaemic attack,^ESCTTI549220,NA,395784018,NA,32
266257000#,TIA - Transient ischaemic attack,395784018#,1,1,2,416991000006112#,Transient cerebral ischemia,Fyu55,Fyu5500,395788015,NA,32
266257000#,TIA - Transient ischaemic attack,395784018#,1,1,2,5492221000006118#,Transient ischemic attack,^ESCTTR549222,NA,395787013,NA,32
266257000#,TIA - Transient ischaemic attack,395784018#,1,1,2,5492181000006110#,Temporary cerebral vascular dysfunction,^ESCTTE549218,NA,395782019,NA,32
266257000#,TIA - Transient ischaemic attack,395784018#,1,1,2,300348012#,Other transient cerebral ischaemia,G65y,G65y.00,395788015,NA,32
266257000#,TIA - Transient ischaemic attack,395784018#,1,1,2,5492171000006112#,TIA,^ESCTTI549217,NA,395781014,NA,32
266257000#,TIA - Transient ischaemic attack,395784018#,1,1,2,300349016#,Transient cerebral ischaemia NOS,G65zz,G65zz00,395788015,NA,32
266257000#,TIA - Transient ischaemic attack,395784018#,1,1,2,988951000006117#,Transient Ischaemic Attacks,G65-99,G65..99,988951000000000,NA,32
266257000#,TIA - Transient ischaemic attack,395784018#,1,1,2,11920121000006117#,Transient cerebral ischemia,^ESCT1192012,NA,395785017,NA,32
266257000#,Transient cerebral ischemia,395785017#,1,1,2,395783012#,Transient ischaemic attack,G65-2,G65..12,395783012,NA,32
266257000#,Transient cerebral ischemia,395785017#,1,1,2,395788015#,Transient cerebral ischaemia,G65,G65..00,395788015,NA,32
266257000#,Transient cerebral ischemia,395785017#,1,1,2,95931000006111#,Transient cerebral ischaemia NOS,G65z,G65z.00,395788015,NA,32
266257000#,Transient cerebral ischemia,395785017#,1,1,2,5492201000006111#,TIA - Transient ischaemic attack,^ESCTTI549220,NA,395784018,NA,32
266257000#,Transient cerebral ischemia,395785017#,1,1,2,416991000006112#,Transient cerebral ischemia,Fyu55,Fyu5500,395788015,NA,32
266257000#,Transient cerebral ischemia,395785017#,1,1,2,5492221000006118#,Transient ischemic attack,^ESCTTR549222,NA,395787013,NA,32
266257000#,Transient cerebral ischemia,395785017#,1,1,2,5492181000006110#,Temporary cerebral vascular dysfunction,^ESCTTE549218,NA,395782019,NA,32
266257000#,Transient cerebral ischemia,395785017#,1,1,2,300348012#,Other transient cerebral ischaemia,G65y,G65y.00,395788015,NA,32
266257000#,Transient cerebral ischemia,395785017#,1,1,2,5492171000006112#,TIA,^ESCTTI549217,NA,395781014,NA,32
266257000#,Transient cerebral ischemia,395785017#,1,1,2,300349016#,Transient cerebral ischaemia NOS,G65zz,G65zz00,395788015,NA,32
266257000#,Transient cerebral ischemia,395785017#,1,1,2,988951000006117#,Transient Ischaemic Attacks,G65-99,G65..99,988951000000000,NA,32
266257000#,Transient cerebral ischemia,395785017#,1,1,2,11920121000006117#,Transient cerebral ischemia,^ESCT1192012,NA,395785017,NA,32
266257000#,Intermittent cerebral ischemia,395786016#,1,1,2,395783012#,Transient ischaemic attack,G65-2,G65..12,395783012,NA,32
266257000#,Intermittent cerebral ischemia,395786016#,1,1,2,395788015#,Transient cerebral ischaemia,G65,G65..00,395788015,NA,32
266257000#,Intermittent cerebral ischemia,395786016#,1,1,2,95931000006111#,Transient cerebral ischaemia NOS,G65z,G65z.00,395788015,NA,32
266257000#,Intermittent cerebral ischemia,395786016#,1,1,2,5492201000006111#,TIA - Transient ischaemic attack,^ESCTTI549220,NA,395784018,NA,32
266257000#,Intermittent cerebral ischemia,395786016#,1,1,2,416991000006112#,Transient cerebral ischemia,Fyu55,Fyu5500,395788015,NA,32
266257000#,Intermittent cerebral ischemia,395786016#,1,1,2,5492221000006118#,Transient ischemic attack,^ESCTTR549222,NA,395787013,NA,32
266257000#,Intermittent cerebral ischemia,395786016#,1,1,2,5492181000006110#,Temporary cerebral vascular dysfunction,^ESCTTE549218,NA,395782019,NA,32
266257000#,Intermittent cerebral ischemia,395786016#,1,1,2,300348012#,Other transient cerebral ischaemia,G65y,G65y.00,395788015,NA,32
266257000#,Intermittent cerebral ischemia,395786016#,1,1,2,5492171000006112#,TIA,^ESCTTI549217,NA,395781014,NA,32
266257000#,Intermittent cerebral ischemia,395786016#,1,1,2,300349016#,Transient cerebral ischaemia NOS,G65zz,G65zz00,395788015,NA,32
266257000#,Intermittent cerebral ischemia,395786016#,1,1,2,988951000006117#,Transient Ischaemic Attacks,G65-99,G65..99,988951000000000,NA,32
266257000#,Intermittent cerebral ischemia,395786016#,1,1,2,11920121000006117#,Transient cerebral ischemia,^ESCT1192012,NA,395785017,NA,32
266257000#,Transient ischemic attack,395787013#,1,1,2,395783012#,Transient ischaemic attack,G65-2,G65..12,395783012,NA,32
266257000#,Transient ischemic attack,395787013#,1,1,2,395788015#,Transient cerebral ischaemia,G65,G65..00,395788015,NA,32
266257000#,Transient ischemic attack,395787013#,1,1,2,95931000006111#,Transient cerebral ischaemia NOS,G65z,G65z.00,395788015,NA,32
266257000#,Transient ischemic attack,395787013#,1,1,2,5492201000006111#,TIA - Transient ischaemic attack,^ESCTTI549220,NA,395784018,NA,32
266257000#,Transient ischemic attack,395787013#,1,1,2,416991000006112#,Transient cerebral ischemia,Fyu55,Fyu5500,395788015,NA,32
266257000#,Transient ischemic attack,395787013#,1,1,2,5492221000006118#,Transient ischemic attack,^ESCTTR549222,NA,395787013,NA,32
266257000#,Transient ischemic attack,395787013#,1,1,2,5492181000006110#,Temporary cerebral vascular dysfunction,^ESCTTE549218,NA,395782019,NA,32
266257000#,Transient ischemic attack,395787013#,1,1,2,300348012#,Other transient cerebral ischaemia,G65y,G65y.00,395788015,NA,32
266257000#,Transient ischemic attack,395787013#,1,1,2,5492171000006112#,TIA,^ESCTTI549217,NA,395781014,NA,32
266257000#,Transient ischemic attack,395787013#,1,1,2,300349016#,Transient cerebral ischaemia NOS,G65zz,G65zz00,395788015,NA,32
266257000#,Transient ischemic attack,395787013#,1,1,2,988951000006117#,Transient Ischaemic Attacks,G65-99,G65..99,988951000000000,NA,32
266257000#,Transient ischemic attack,395787013#,1,1,2,11920121000006117#,Transient cerebral ischemia,^ESCT1192012,NA,395785017,NA,32
266257000#,Transient cerebral ischaemia,395788015#,1,1,2,395783012#,Transient ischaemic attack,G65-2,G65..12,395783012,NA,32
266257000#,Transient cerebral ischaemia,395788015#,1,1,2,395788015#,Transient cerebral ischaemia,G65,G65..00,395788015,NA,32
266257000#,Transient cerebral ischaemia,395788015#,1,1,2,95931000006111#,Transient cerebral ischaemia NOS,G65z,G65z.00,395788015,NA,32
266257000#,Transient cerebral ischaemia,395788015#,1,1,2,5492201000006111#,TIA - Transient ischaemic attack,^ESCTTI549220,NA,395784018,NA,32
266257000#,Transient cerebral ischaemia,395788015#,1,1,2,416991000006112#,Transient cerebral ischemia,Fyu55,Fyu5500,395788015,NA,32
266257000#,Transient cerebral ischaemia,395788015#,1,1,2,5492221000006118#,Transient ischemic attack,^ESCTTR549222,NA,395787013,NA,32
266257000#,Transient cerebral ischaemia,395788015#,1,1,2,5492181000006110#,Temporary cerebral vascular dysfunction,^ESCTTE549218,NA,395782019,NA,32
266257000#,Transient cerebral ischaemia,395788015#,1,1,2,300348012#,Other transient cerebral ischaemia,G65y,G65y.00,395788015,NA,32
266257000#,Transient cerebral ischaemia,395788015#,1,1,2,5492171000006112#,TIA,^ESCTTI549217,NA,395781014,NA,32
266257000#,Transient cerebral ischaemia,395788015#,1,1,2,300349016#,Transient cerebral ischaemia NOS,G65zz,G65zz00,395788015,NA,32
266257000#,Transient cerebral ischaemia,395788015#,1,1,2,988951000006117#,Transient Ischaemic Attacks,G65-99,G65..99,988951000000000,NA,32
266257000#,Transient cerebral ischaemia,395788015#,1,1,2,11920121000006117#,Transient cerebral ischemia,^ESCT1192012,NA,395785017,NA,32
266257000#,Transient ischemic attack (disorder),658729012#,1,1,2,395783012#,Transient ischaemic attack,G65-2,G65..12,395783012,NA,32
266257000#,Transient ischemic attack (disorder),658729012#,1,1,2,395788015#,Transient cerebral ischaemia,G65,G65..00,395788015,NA,32
266257000#,Transient ischemic attack (disorder),658729012#,1,1,2,95931000006111#,Transient cerebral ischaemia NOS,G65z,G65z.00,395788015,NA,32
266257000#,Transient ischemic attack (disorder),658729012#,1,1,2,5492201000006111#,TIA - Transient ischaemic attack,^ESCTTI549220,NA,395784018,NA,32
266257000#,Transient ischemic attack (disorder),658729012#,1,1,2,416991000006112#,Transient cerebral ischemia,Fyu55,Fyu5500,395788015,NA,32
266257000#,Transient ischemic attack (disorder),658729012#,1,1,2,5492221000006118#,Transient ischemic attack,^ESCTTR549222,NA,395787013,NA,32
266257000#,Transient ischemic attack (disorder),658729012#,1,1,2,5492181000006110#,Temporary cerebral vascular dysfunction,^ESCTTE549218,NA,395782019,NA,32
266257000#,Transient ischemic attack (disorder),658729012#,1,1,2,300348012#,Other transient cerebral ischaemia,G65y,G65y.00,395788015,NA,32
266257000#,Transient ischemic attack (disorder),658729012#,1,1,2,5492171000006112#,TIA,^ESCTTI549217,NA,395781014,NA,32
266257000#,Transient ischemic attack (disorder),658729012#,1,1,2,300349016#,Transient cerebral ischaemia NOS,G65zz,G65zz00,395788015,NA,32
266257000#,Transient ischemic attack (disorder),658729012#,1,1,2,988951000006117#,Transient Ischaemic Attacks,G65-99,G65..99,988951000000000,NA,32
266257000#,Transient ischemic attack (disorder),658729012#,1,1,2,11920121000006117#,Transient cerebral ischemia,^ESCT1192012,NA,395785017,NA,32
266257000#,Intermittent cerebral ischaemia,2693085010#,1,1,2,395783012#,Transient ischaemic attack,G65-2,G65..12,395783012,NA,32
266257000#,Intermittent cerebral ischaemia,2693085010#,1,1,2,395788015#,Transient cerebral ischaemia,G65,G65..00,395788015,NA,32
266257000#,Intermittent cerebral ischaemia,2693085010#,1,1,2,95931000006111#,Transient cerebral ischaemia NOS,G65z,G65z.00,395788015,NA,32
266257000#,Intermittent cerebral ischaemia,2693085010#,1,1,2,5492201000006111#,TIA - Transient ischaemic attack,^ESCTTI549220,NA,395784018,NA,32
266257000#,Intermittent cerebral ischaemia,2693085010#,1,1,2,416991000006112#,Transient cerebral ischemia,Fyu55,Fyu5500,395788015,NA,32
266257000#,Intermittent cerebral ischaemia,2693085010#,1,1,2,5492221000006118#,Transient ischemic attack,^ESCTTR549222,NA,395787013,NA,32
266257000#,Intermittent cerebral ischaemia,2693085010#,1,1,2,5492181000006110#,Temporary cerebral vascular dysfunction,^ESCTTE549218,NA,395782019,NA,32
266257000#,Intermittent cerebral ischaemia,2693085010#,1,1,2,300348012#,Other transient cerebral ischaemia,G65y,G65y.00,395788015,NA,32
266257000#,Intermittent cerebral ischaemia,2693085010#,1,1,2,5492171000006112#,TIA,^ESCTTI549217,NA,395781014,NA,32
266257000#,Intermittent cerebral ischaemia,2693085010#,1,1,2,300349016#,Transient cerebral ischaemia NOS,G65zz,G65zz00,395788015,NA,32
266257000#,Intermittent cerebral ischaemia,2693085010#,1,1,2,988951000006117#,Transient Ischaemic Attacks,G65-99,G65..99,988951000000000,NA,32
266257000#,Intermittent cerebral ischaemia,2693085010#,1,1,2,11920121000006117#,Transient cerebral ischemia,^ESCT1192012,NA,395785017,NA,32
230716006#,Anterior circulation transient ischaemic attack,345683018#,1,1,2,5011501000006111#,Anterior circulation transient ischemic attack,^ESCTAN501150,NA,345685013,NA,32
230716006#,Anterior circulation transient ischaemic attack,345683018#,1,1,2,5011491000006115#,Anterior circulation transient ischaemic attack,^ESCTAN501149,NA,345683018,NA,32
230716006#,Anterior circulation transient ischaemic attack,345683018#,1,1,2,345684012#,Carotid territory transient ischaemic attack,G657,G657.00,345684012,NA,32
230716006#,Anterior circulation transient ischaemic attack,345683018#,1,1,2,5011511000006114#,Carotid territory transient ischemic attack,^ESCTCA501151,NA,345686014,NA,32
230716006#,Carotid territory transient ischaemic attack,345684012#,1,1,2,5011501000006111#,Anterior circulation transient ischemic attack,^ESCTAN501150,NA,345685013,NA,32
230716006#,Carotid territory transient ischaemic attack,345684012#,1,1,2,5011491000006115#,Anterior circulation transient ischaemic attack,^ESCTAN501149,NA,345683018,NA,32
230716006#,Carotid territory transient ischaemic attack,345684012#,1,1,2,345684012#,Carotid territory transient ischaemic attack,G657,G657.00,345684012,NA,32
230716006#,Carotid territory transient ischaemic attack,345684012#,1,1,2,5011511000006114#,Carotid territory transient ischemic attack,^ESCTCA501151,NA,345686014,NA,32
230716006#,Anterior circulation transient ischemic attack,345685013#,1,1,2,5011501000006111#,Anterior circulation transient ischemic attack,^ESCTAN501150,NA,345685013,NA,32
230716006#,Anterior circulation transient ischemic attack,345685013#,1,1,2,5011491000006115#,Anterior circulation transient ischaemic attack,^ESCTAN501149,NA,345683018,NA,32
230716006#,Anterior circulation transient ischemic attack,345685013#,1,1,2,345684012#,Carotid territory transient ischaemic attack,G657,G657.00,345684012,NA,32
230716006#,Anterior circulation transient ischemic attack,345685013#,1,1,2,5011511000006114#,Carotid territory transient ischemic attack,^ESCTCA501151,NA,345686014,NA,32
230716006#,Carotid territory transient ischemic attack,345686014#,1,1,2,5011501000006111#,Anterior circulation transient ischemic attack,^ESCTAN501150,NA,345685013,NA,32
230716006#,Carotid territory transient ischemic attack,345686014#,1,1,2,5011491000006115#,Anterior circulation transient ischaemic attack,^ESCTAN501149,NA,345683018,NA,32
230716006#,Carotid territory transient ischemic attack,345686014#,1,1,2,345684012#,Carotid territory transient ischaemic attack,G657,G657.00,345684012,NA,32
230716006#,Carotid territory transient ischemic attack,345686014#,1,1,2,5011511000006114#,Carotid territory transient ischemic attack,^ESCTCA501151,NA,345686014,NA,32
230716006#,Carotid territory transient ischemic attack (disorder),618561012#,1,1,2,5011501000006111#,Anterior circulation transient ischemic attack,^ESCTAN501150,NA,345685013,NA,32
230716006#,Carotid territory transient ischemic attack (disorder),618561012#,1,1,2,5011491000006115#,Anterior circulation transient ischaemic attack,^ESCTAN501149,NA,345683018,NA,32
230716006#,Carotid territory transient ischemic attack (disorder),618561012#,1,1,2,345684012#,Carotid territory transient ischaemic attack,G657,G657.00,345684012,NA,32
230716006#,Carotid territory transient ischemic attack (disorder),618561012#,1,1,2,5011511000006114#,Carotid territory transient ischemic attack,^ESCTCA501151,NA,345686014,NA,32
195196001#,Transient cerebral ischemia,300335013#,1,1,2,NA#,NA,NA,NA,NA,NA,NA
195196001#,Transient ischemic attack,300336014#,1,1,2,NA#,NA,NA,NA,NA,NA,NA
195196001#,Transient ischaemic attack,300337017#,1,1,2,NA#,NA,NA,NA,NA,NA,NA
195196001#,Transient cerebral ischaemia,300338010#,1,1,2,NA#,NA,NA,NA,NA,NA,NA
230717002#,Vertebrobasilar territory transient ischemic attack,345687017#,1,1,2,5011541000006113#,Posterior circulation transient ischemic attack,^ESCTPO501154,NA,345688010,NA,31
230717002#,Vertebrobasilar territory transient ischemic attack,345687017#,1,1,2,5011521000006118#,Vertebrobasilar territory transient ischaemic attack,^ESCTVE501152,NA,345689019,NA,31
