snomedcode,term_snomed,id,search_terms,read_mapping,matchtotal,MedCodeId,term_medcode,OriginalReadCode,CleansedReadCode,SnomedCTDescriptionId,Release,EmisCodeCategoryId
139394000#,Nocturia,221079019#,1,1,2,317533012#,[D]Nocturia,R0842,R084200,221079019,NA,27
139394000#,Nocturia,221079019#,1,1,2,11625011#,Nocturia,1A13,1A13.00,221079019,NA,27
139394000#,Nocturia,517960017#,1,1,2,317533012#,[D]Nocturia,R0842,R084200,221079019,NA,27
139394000#,Nocturia,517960017#,1,1,2,11625011#,Nocturia,1A13,1A13.00,221079019,NA,27
139394000#,Nocturia (finding),2762144019#,1,1,2,317533012#,[D]Nocturia,R0842,R084200,221079019,NA,27
139394000#,Nocturia (finding),2762144019#,1,1,2,11625011#,Nocturia,1A13,1A13.00,221079019,NA,27
162116003#,Increased frequency of urination,252775019#,1,1,2,217701000000114#,Urinary frequency,1A1-3,1A1..13,252775019,NA,27
162116003#,Increased frequency of urination,252775019#,1,1,2,11811671000006119#,Frequent urination,^ESCT1181167,NA,273e13,NA,27
162116003#,Increased frequency of urination,252775019#,1,1,2,317529017#,Increased frequency of urination,R0840,R084000,252775019,NA,27
162116003#,Increased frequency of urination,252775019#,1,1,2,4546651000006115#,Passes water too often,^ESCTPA454665,NA,252780011,NA,27
162116003#,Increased frequency of urination,252775019#,1,1,2,4546681000006111#,Urinary frequency,^ESCTUR454668,NA,2920681012,NA,27
162116003#,Increased frequency of urination,252775019#,1,1,2,4546671000006113#,Pollakisuria,^ESCTPO454667,NA,252782015,NA,27
162116003#,Increased frequency of urination,252775019#,1,1,2,4546641000006117#,Pollakiuria,^ESCTPO454664,NA,252778017,NA,27
162116003#,Increased frequency of urination,252775019#,1,1,2,12704781000006114#,Frequency of micturition,^ESCT1270478,NA,252781010,NA,27
162116003#,Increased frequency of urination,252775019#,1,1,2,4546631000006110#,Increased frequency of micturition,^ESCTIN454663,NA,252776018,NA,27
162116003#,Increased frequency of micturition,252776018#,1,1,2,217701000000114#,Urinary frequency,1A1-3,1A1..13,252775019,NA,27
162116003#,Increased frequency of micturition,252776018#,1,1,2,11811671000006119#,Frequent urination,^ESCT1181167,NA,273e13,NA,27
162116003#,Increased frequency of micturition,252776018#,1,1,2,317529017#,Increased frequency of urination,R0840,R084000,252775019,NA,27
162116003#,Increased frequency of micturition,252776018#,1,1,2,4546651000006115#,Passes water too often,^ESCTPA454665,NA,252780011,NA,27
162116003#,Increased frequency of micturition,252776018#,1,1,2,4546681000006111#,Urinary frequency,^ESCTUR454668,NA,2920681012,NA,27
162116003#,Increased frequency of micturition,252776018#,1,1,2,4546671000006113#,Pollakisuria,^ESCTPO454667,NA,252782015,NA,27
162116003#,Increased frequency of micturition,252776018#,1,1,2,4546641000006117#,Pollakiuria,^ESCTPO454664,NA,252778017,NA,27
162116003#,Increased frequency of micturition,252776018#,1,1,2,12704781000006114#,Frequency of micturition,^ESCT1270478,NA,252781010,NA,27
162116003#,Increased frequency of micturition,252776018#,1,1,2,4546631000006110#,Increased frequency of micturition,^ESCTIN454663,NA,252776018,NA,27
162116003#,Frequency of urination,252777010#,1,1,2,217701000000114#,Urinary frequency,1A1-3,1A1..13,252775019,NA,27
162116003#,Frequency of urination,252777010#,1,1,2,11811671000006119#,Frequent urination,^ESCT1181167,NA,273e13,NA,27
162116003#,Frequency of urination,252777010#,1,1,2,317529017#,Increased frequency of urination,R0840,R084000,252775019,NA,27
162116003#,Frequency of urination,252777010#,1,1,2,4546651000006115#,Passes water too often,^ESCTPA454665,NA,252780011,NA,27
162116003#,Frequency of urination,252777010#,1,1,2,4546681000006111#,Urinary frequency,^ESCTUR454668,NA,2920681012,NA,27
162116003#,Frequency of urination,252777010#,1,1,2,4546671000006113#,Pollakisuria,^ESCTPO454667,NA,252782015,NA,27
162116003#,Frequency of urination,252777010#,1,1,2,4546641000006117#,Pollakiuria,^ESCTPO454664,NA,252778017,NA,27
162116003#,Frequency of urination,252777010#,1,1,2,12704781000006114#,Frequency of micturition,^ESCT1270478,NA,252781010,NA,27
162116003#,Frequency of urination,252777010#,1,1,2,4546631000006110#,Increased frequency of micturition,^ESCTIN454663,NA,252776018,NA,27
162116003#,Pollakiuria,252778017#,1,1,2,217701000000114#,Urinary frequency,1A1-3,1A1..13,252775019,NA,27
162116003#,Pollakiuria,252778017#,1,1,2,11811671000006119#,Frequent urination,^ESCT1181167,NA,273e13,NA,27
162116003#,Pollakiuria,252778017#,1,1,2,317529017#,Increased frequency of urination,R0840,R084000,252775019,NA,27
162116003#,Pollakiuria,252778017#,1,1,2,4546651000006115#,Passes water too often,^ESCTPA454665,NA,252780011,NA,27
162116003#,Pollakiuria,252778017#,1,1,2,4546681000006111#,Urinary frequency,^ESCTUR454668,NA,2920681012,NA,27
162116003#,Pollakiuria,252778017#,1,1,2,4546671000006113#,Pollakisuria,^ESCTPO454667,NA,252782015,NA,27
162116003#,Pollakiuria,252778017#,1,1,2,4546641000006117#,Pollakiuria,^ESCTPO454664,NA,252778017,NA,27
162116003#,Pollakiuria,252778017#,1,1,2,12704781000006114#,Frequency of micturition,^ESCT1270478,NA,252781010,NA,27
162116003#,Pollakiuria,252778017#,1,1,2,4546631000006110#,Increased frequency of micturition,^ESCTIN454663,NA,252776018,NA,27
162116003#,FOM - Frequency of micturition,252779013#,1,1,2,217701000000114#,Urinary frequency,1A1-3,1A1..13,252775019,NA,27
162116003#,FOM - Frequency of micturition,252779013#,1,1,2,11811671000006119#,Frequent urination,^ESCT1181167,NA,273e13,NA,27
162116003#,FOM - Frequency of micturition,252779013#,1,1,2,317529017#,Increased frequency of urination,R0840,R084000,252775019,NA,27
162116003#,FOM - Frequency of micturition,252779013#,1,1,2,4546651000006115#,Passes water too often,^ESCTPA454665,NA,252780011,NA,27
162116003#,FOM - Frequency of micturition,252779013#,1,1,2,4546681000006111#,Urinary frequency,^ESCTUR454668,NA,2920681012,NA,27
162116003#,FOM - Frequency of micturition,252779013#,1,1,2,4546671000006113#,Pollakisuria,^ESCTPO454667,NA,252782015,NA,27
162116003#,FOM - Frequency of micturition,252779013#,1,1,2,4546641000006117#,Pollakiuria,^ESCTPO454664,NA,252778017,NA,27
162116003#,FOM - Frequency of micturition,252779013#,1,1,2,12704781000006114#,Frequency of micturition,^ESCT1270478,NA,252781010,NA,27
162116003#,FOM - Frequency of micturition,252779013#,1,1,2,4546631000006110#,Increased frequency of micturition,^ESCTIN454663,NA,252776018,NA,27
162116003#,Passes water too often,252780011#,1,1,2,217701000000114#,Urinary frequency,1A1-3,1A1..13,252775019,NA,27
162116003#,Passes water too often,252780011#,1,1,2,11811671000006119#,Frequent urination,^ESCT1181167,NA,273e13,NA,27
162116003#,Passes water too often,252780011#,1,1,2,317529017#,Increased frequency of urination,R0840,R084000,252775019,NA,27
162116003#,Passes water too often,252780011#,1,1,2,4546651000006115#,Passes water too often,^ESCTPA454665,NA,252780011,NA,27
162116003#,Passes water too often,252780011#,1,1,2,4546681000006111#,Urinary frequency,^ESCTUR454668,NA,2920681012,NA,27
162116003#,Passes water too often,252780011#,1,1,2,4546671000006113#,Pollakisuria,^ESCTPO454667,NA,252782015,NA,27
162116003#,Passes water too often,252780011#,1,1,2,4546641000006117#,Pollakiuria,^ESCTPO454664,NA,252778017,NA,27
162116003#,Passes water too often,252780011#,1,1,2,12704781000006114#,Frequency of micturition,^ESCT1270478,NA,252781010,NA,27
162116003#,Passes water too often,252780011#,1,1,2,4546631000006110#,Increased frequency of micturition,^ESCTIN454663,NA,252776018,NA,27
162116003#,Frequency of micturition,252781010#,1,1,2,217701000000114#,Urinary frequency,1A1-3,1A1..13,252775019,NA,27
162116003#,Frequency of micturition,252781010#,1,1,2,11811671000006119#,Frequent urination,^ESCT1181167,NA,273e13,NA,27
162116003#,Frequency of micturition,252781010#,1,1,2,317529017#,Increased frequency of urination,R0840,R084000,252775019,NA,27
162116003#,Frequency of micturition,252781010#,1,1,2,4546651000006115#,Passes water too often,^ESCTPA454665,NA,252780011,NA,27
162116003#,Frequency of micturition,252781010#,1,1,2,4546681000006111#,Urinary frequency,^ESCTUR454668,NA,2920681012,NA,27
162116003#,Frequency of micturition,252781010#,1,1,2,4546671000006113#,Pollakisuria,^ESCTPO454667,NA,252782015,NA,27
162116003#,Frequency of micturition,252781010#,1,1,2,4546641000006117#,Pollakiuria,^ESCTPO454664,NA,252778017,NA,27
162116003#,Frequency of micturition,252781010#,1,1,2,12704781000006114#,Frequency of micturition,^ESCT1270478,NA,252781010,NA,27
162116003#,Frequency of micturition,252781010#,1,1,2,4546631000006110#,Increased frequency of micturition,^ESCTIN454663,NA,252776018,NA,27
162116003#,Pollakisuria,252782015#,1,1,2,217701000000114#,Urinary frequency,1A1-3,1A1..13,252775019,NA,27
162116003#,Pollakisuria,252782015#,1,1,2,11811671000006119#,Frequent urination,^ESCT1181167,NA,273e13,NA,27
162116003#,Pollakisuria,252782015#,1,1,2,317529017#,Increased frequency of urination,R0840,R084000,252775019,NA,27
