snomedcode,term_snomed,id,search_terms,read_mapping,matchtotal,MedCodeId,term_medcode,OriginalReadCode,CleansedReadCode,SnomedCTDescriptionId,Release,EmisCodeCategoryId
162685008#,O/E - dehydrated,253563016#,1,1,2,4550381000006117#,On examination - dehydrated,^ESCTON455038,NA,2668436018,NA,27
162685008#,O/E - dehydrated,253563016#,1,1,2,253563016#,O/E - dehydrated,2225,2225,253563016,NA,27
162685008#,On examination - dehydrated (context-dependent category),543819016#,1,1,2,4550381000006117#,On examination - dehydrated,^ESCTON455038,NA,2668436018,NA,27
162685008#,On examination - dehydrated (context-dependent category),543819016#,1,1,2,253563016#,O/E - dehydrated,2225,2225,253563016,NA,27
162685008#,On examination - dehydrated (disorder),2561914016#,1,1,2,4550381000006117#,On examination - dehydrated,^ESCTON455038,NA,2668436018,NA,27
162685008#,On examination - dehydrated (disorder),2561914016#,1,1,2,253563016#,O/E - dehydrated,2225,2225,253563016,NA,27
162685008#,On examination - dehydrated,2668436018#,1,1,2,4550381000006117#,On examination - dehydrated,^ESCTON455038,NA,2668436018,NA,27
162685008#,On examination - dehydrated,2668436018#,1,1,2,253563016#,O/E - dehydrated,2225,2225,253563016,NA,27
163029008#,O/E - BP reading:postural drop,254074011#,1,1,2,254074011#,O/E - BP reading:postural drop,2468,2468,254074011,NA,2
163029008#,O/E - BP reading:postural drop,254074011#,1,1,2,4556561000006117#,On examination - blood pressure reading: postural drop,^ESCTON455656,NA,2667436015,NA,2
163029008#,O/E - BP reading:postural drop,254074011#,1,1,2,4556571000006112#,On examination - BP reading:postural drop,^ESCTON455657,NA,2667437012,NA,2
163029008#,On examination - BP reading:postural drop (context-dependent category),544202016#,1,1,2,254074011#,O/E - BP reading:postural drop,2468,2468,254074011,NA,2
163029008#,On examination - BP reading:postural drop (context-dependent category),544202016#,1,1,2,4556561000006117#,On examination - blood pressure reading: postural drop,^ESCTON455656,NA,2667436015,NA,2
163029008#,On examination - BP reading:postural drop (context-dependent category),544202016#,1,1,2,4556571000006112#,On examination - BP reading:postural drop,^ESCTON455657,NA,2667437012,NA,2
163029008#,On examination - BP reading:postural drop (finding),2561372019#,1,1,2,254074011#,O/E - BP reading:postural drop,2468,2468,254074011,NA,2
163029008#,On examination - BP reading:postural drop (finding),2561372019#,1,1,2,4556561000006117#,On examination - blood pressure reading: postural drop,^ESCTON455656,NA,2667436015,NA,2
163029008#,On examination - BP reading:postural drop (finding),2561372019#,1,1,2,4556571000006112#,On examination - BP reading:postural drop,^ESCTON455657,NA,2667437012,NA,2
163029008#,On examination - blood pressure reading: postural drop (finding),2659132016#,1,1,2,254074011#,O/E - BP reading:postural drop,2468,2468,254074011,NA,2
163029008#,On examination - blood pressure reading: postural drop (finding),2659132016#,1,1,2,4556561000006117#,On examination - blood pressure reading: postural drop,^ESCTON455656,NA,2667436015,NA,2
163029008#,On examination - blood pressure reading: postural drop (finding),2659132016#,1,1,2,4556571000006112#,On examination - BP reading:postural drop,^ESCTON455657,NA,2667437012,NA,2
163029008#,On examination - blood pressure reading: postural drop,2667436015#,1,1,2,254074011#,O/E - BP reading:postural drop,2468,2468,254074011,NA,2
163029008#,On examination - blood pressure reading: postural drop,2667436015#,1,1,2,4556561000006117#,On examination - blood pressure reading: postural drop,^ESCTON455656,NA,2667436015,NA,2
163029008#,On examination - blood pressure reading: postural drop,2667436015#,1,1,2,4556571000006112#,On examination - BP reading:postural drop,^ESCTON455657,NA,2667437012,NA,2
163029008#,On examination - BP reading:postural drop,2667437012#,1,1,2,254074011#,O/E - BP reading:postural drop,2468,2468,254074011,NA,2
163029008#,On examination - BP reading:postural drop,2667437012#,1,1,2,4556561000006117#,On examination - blood pressure reading: postural drop,^ESCTON455656,NA,2667436015,NA,2
163029008#,On examination - BP reading:postural drop,2667437012#,1,1,2,4556571000006112#,On examination - BP reading:postural drop,^ESCTON455657,NA,2667437012,NA,2
17173007#,Polydipsia,29042017#,1,1,2,29043010#,Excessive thirst,1644,1644,29043010,NA,27
17173007#,Polydipsia,29042017#,1,1,2,214641000006119#,Polydipsia,1645-1,1645.11,29042017,NA,27
17173007#,Polydipsia,29042017#,1,1,2,2772561000006112#,Keen for fluids,^ESCTKE277256,NA,478081012,NA,27
17173007#,Polydipsia,29042017#,1,1,2,2772551000006110#,Always thirsty,^ESCTAL277255,NA,478080013,NA,27
17173007#,Polydipsia,29042017#,1,1,2,317252019#,[D]Polydipsia,R035,R035.00,29043010,NA,27
17173007#,Polydipsia,29042017#,1,1,2,2772541000006113#,Desperate to drink,^ESCTDE277254,NA,478079010,NA,27
17173007#,Polydipsia,29042017#,1,1,2,29042017#,Polydipsia,1644-1,1644.11,29042017,NA,27
17173007#,Polydipsia,29042017#,1,1,2,317254018#,[D]Polydipsia NOS,R035z,R035z00,29043010,NA,27
17173007#,Polydipsia,29042017#,1,1,2,317253012#,[D]Excessive thirst,R0350,R035000,29043010,NA,27
17173007#,Excessive thirst,29043010#,1,1,2,29043010#,Excessive thirst,1644,1644,29043010,NA,27
17173007#,Excessive thirst,29043010#,1,1,2,214641000006119#,Polydipsia,1645-1,1645.11,29042017,NA,27
17173007#,Excessive thirst,29043010#,1,1,2,2772561000006112#,Keen for fluids,^ESCTKE277256,NA,478081012,NA,27
17173007#,Excessive thirst,29043010#,1,1,2,2772551000006110#,Always thirsty,^ESCTAL277255,NA,478080013,NA,27
17173007#,Excessive thirst,29043010#,1,1,2,317252019#,[D]Polydipsia,R035,R035.00,29043010,NA,27
17173007#,Excessive thirst,29043010#,1,1,2,2772541000006113#,Desperate to drink,^ESCTDE277254,NA,478079010,NA,27
17173007#,Excessive thirst,29043010#,1,1,2,29042017#,Polydipsia,1644-1,1644.11,29042017,NA,27
17173007#,Excessive thirst,29043010#,1,1,2,317254018#,[D]Polydipsia NOS,R035z,R035z00,29043010,NA,27
17173007#,Excessive thirst,29043010#,1,1,2,317253012#,[D]Excessive thirst,R0350,R035000,29043010,NA,27
17173007#,Desperate to drink,478079010#,1,1,2,29043010#,Excessive thirst,1644,1644,29043010,NA,27
17173007#,Desperate to drink,478079010#,1,1,2,214641000006119#,Polydipsia,1645-1,1645.11,29042017,NA,27
17173007#,Desperate to drink,478079010#,1,1,2,2772561000006112#,Keen for fluids,^ESCTKE277256,NA,478081012,NA,27
17173007#,Desperate to drink,478079010#,1,1,2,2772551000006110#,Always thirsty,^ESCTAL277255,NA,478080013,NA,27
17173007#,Desperate to drink,478079010#,1,1,2,317252019#,[D]Polydipsia,R035,R035.00,29043010,NA,27
17173007#,Desperate to drink,478079010#,1,1,2,2772541000006113#,Desperate to drink,^ESCTDE277254,NA,478079010,NA,27
17173007#,Desperate to drink,478079010#,1,1,2,29042017#,Polydipsia,1644-1,1644.11,29042017,NA,27
17173007#,Desperate to drink,478079010#,1,1,2,317254018#,[D]Polydipsia NOS,R035z,R035z00,29043010,NA,27
17173007#,Desperate to drink,478079010#,1,1,2,317253012#,[D]Excessive thirst,R0350,R035000,29043010,NA,27
17173007#,Always thirsty,478080013#,1,1,2,29043010#,Excessive thirst,1644,1644,29043010,NA,27
17173007#,Always thirsty,478080013#,1,1,2,214641000006119#,Polydipsia,1645-1,1645.11,29042017,NA,27
17173007#,Always thirsty,478080013#,1,1,2,2772561000006112#,Keen for fluids,^ESCTKE277256,NA,478081012,NA,27
17173007#,Always thirsty,478080013#,1,1,2,2772551000006110#,Always thirsty,^ESCTAL277255,NA,478080013,NA,27
17173007#,Always thirsty,478080013#,1,1,2,317252019#,[D]Polydipsia,R035,R035.00,29043010,NA,27
17173007#,Always thirsty,478080013#,1,1,2,2772541000006113#,Desperate to drink,^ESCTDE277254,NA,478079010,NA,27
17173007#,Always thirsty,478080013#,1,1,2,29042017#,Polydipsia,1644-1,1644.11,29042017,NA,27
17173007#,Always thirsty,478080013#,1,1,2,317254018#,[D]Polydipsia NOS,R035z,R035z00,29043010,NA,27
17173007#,Always thirsty,478080013#,1,1,2,317253012#,[D]Excessive thirst,R0350,R035000,29043010,NA,27
17173007#,Keen for fluids,478081012#,1,1,2,29043010#,Excessive thirst,1644,1644,29043010,NA,27
17173007#,Keen for fluids,478081012#,1,1,2,214641000006119#,Polydipsia,1645-1,1645.11,29042017,NA,27
17173007#,Keen for fluids,478081012#,1,1,2,2772561000006112#,Keen for fluids,^ESCTKE277256,NA,478081012,NA,27
17173007#,Keen for fluids,478081012#,1,1,2,2772551000006110#,Always thirsty,^ESCTAL277255,NA,478080013,NA,27
