Code,Description
312910009#,Vitreous hemorrhage due to diabetes mellitus (disorder)
31341008#,Vitreous hemorrhage (disorder)
104951000119106#,Vitreous hemorrhage due to type 1 diabetes mellitus (disorder)
1491000119102#,Vitreous hemorrhage due to type 2 diabetes mellitus (disorder)
163990004#,On examination - vitreous hemorrhages (disorder)
1231448006#,Acute hemorrhagic posterior vitreous detachment (disorder)
336981000119105#,Hemorrhage of left vitreous body (disorder)
343091000119103#,Hemorrhage of bilateral vitreous bodies (disorder)
678051000119107#,Preretinal hemorrhage of bilateral eyes (disorder)
678071000119103#,Preretinal hemorrhage of left eye (disorder)
770362001#,Vitreous hemorrhage of left eye due to diabetes mellitus (disorder)
331371000119103#,Hemorrhage of right vitreous body (disorder)
678091000119102#,Preretinal hemorrhage of right eye (disorder)
770361008#,Vitreous hemorrhage of right eye due to diabetes mellitus (disorder)
1217667002#,Vitreous hemorrhage due to central retinal vein occlusion (disorder)
1231691008#,Vitreous hemorrhage due to proliferative diabetic retinopathy (disorder)
1231687003#,Vitreous hemorrhage due to retinal branch vein occlusion (disorder)
11547003#, Preretinal hemorrhage
1547003#,Preretinal hemorrhage (disorder)
