MedCodeId	Term
2672961000006111	Severe mixed bipolar I disorder with psychotic features, mood-incongruent
2672971000006116	Severe bipolar I disorder, most recent episode mixed, with psychotic features, mood-incongruent
2674671000006119	Severe mixed bipolar I disorder with psychotic features
2674681000006116	Severe bipolar I disorder, most recent episode mixed, with psychotic features
4196211000006116	Bipolar I disorder, most recent episode mixed, in full remission
4196201000006119	Mixed bipolar I disorder in full remission
2517511000006119	Chronic bipolar II disorder, most recent episode major depressive
2705961000006118	Severe bipolar II disorder, most recent episode major depressive, in full remission
8041781000006111	Rapid cycling bipolar I disorder
294882016	Mild bipolar disorder
2715201000006111	Severe bipolar I disorder, single manic episode with psychotic features, mood-congruent
401865016	[X]Other bipolar affective disorders
294881011	Unspecified bipolar affective disorder, unspecified
294896010	Other and unspecified manic-depressive psychoses NOS
396801000006115	Manic-depressive psychosis
294888017	Unspecified bipolar affective disorder, NOS
294880012	Unspecified bipolar affective disorder
296135011	[X]Bipolar affective disorder, unspecified
367101000006112	Bipolar affective disorder
294892012	Unspecified manic-depressive psychoses
396791000006116	Manic-depressive illness
513871000006118	Bipolar disorder
294891017	Other and unspecified manic-depressive psychoses
396071000006119	[X]Manic-depressive reaction
2717981000006118	MDI - Manic-depressive illness
882311000006110	Manic-depressive psychoses
2729641000006117	Severe bipolar I disorder, single manic episode without psychotic features
2522281000006115	Bipolar I disorder, single manic episode with postpartum onset
2501011000006119	Severe bipolar I disorder, most recent episode manic, without psychotic features
513691000006116	Severe manic bipolar I disorder without psychotic features
2758341000006117	Bipolar II disorder, most recent episode major depressive
294848010	Bipolar affective disorder, currently manic, unspecified
367081000006116	[X]Bipolar affect disorder cur epi manic wout psychotic symp
513801000006112	Bipolar affective disorder, current episode manic
294858014	Bipolar affective disorder, currently manic, NOS
294847017	Manic-depressive - now manic
294849019	Bipolar affective disorder, currently manic, mild
294850019	Bipolar affective disorder, currently manic, moderate
367071000006119	Bipolar affective disorder, currently manic, severe, with psychosis
513701000006116	Bipolar affect disord, currently manic,severe with psychosis
513811000006110	Bipolar affective disorder, currently manic, in full remission
513751000006117	Bipolar affective disorder, current episode depression
294860011	Manic-depressive - now depressed
294861010	Bipolar affective disorder, currently depressed, unspecified
294868016	Bipolar affective disorder, currently depressed, NOS
294862015	Bipolar affective disorder, currently depressed, mild
367091000006118	[X]Bipolar affect disorder cur epi mild or moderate depressn
294863013	Bipolar affective disorder, currently depressed, moderate
513861000006113	Bipolar affective disorder, currently depressed, in full remission
294876019	Mixed bipolar affective disorder, in full remission
2806351000006114	Severe bipolar II disorder, most recent episode major depressive with psychotic features, mood-congruent
2833511000006116	Severe bipolar II disorder, most recent episode major depressive with psychotic features, mood-incongruent
2848341000006118	Bipolar I disorder, most recent episode depressed with catatonic features
2852391000006114	Bipolar I disorder, most recent episode depressed, in full remission
2852381000006111	Depressed bipolar I disorder in full remission
2857081000006110	Bipolar II disorder, most recent episode major depressive with catatonic features
5023451000006115	Organic bipolar disorder
8011471000006113	Severe manic bipolar I disorder
5435901000006117	Bipolar
7965151000006112	Severe depressed bipolar I disorder
2919431000006110	Severe bipolar I disorder, most recent episode depressed with psychotic features, mood-incongruent
2919421000006112	Severe depressed bipolar I disorder with psychotic features, mood-incongruent
2924901000006115	Severe bipolar disorder with psychotic features, mood-incongruent
7965161000006114	Severe mixed bipolar I disorder
492761000000114	Bipolar affective disorder resolved
2964521000006113	Moderate bipolar I disorder, single manic episode
2981801000006118	Bipolar I disorder, most recent episode depressed with atypical features
