MedCodeId	Term	Observations_jun24	old_2021	new_2024
303457015	Non-alcoholic fatty liver	423217	1	1
1786211000006116	Fatty liver	196694	1	1
303463012	Steatosis of liver	162519	1	1
84516016	Hepatitis C	158023	1	1
476611000006116	Alcoholic cirrhosis of liver	124766	1	1
353613017	Cirrhosis of liver	120336	1	1
303399018	Alcoholic liver damage	109339	1	1
813401000006113	Hemochromatosis	82158	1	1
459860017	Hepatitis B carrier	66642	1	1
52980015	Primary biliary cirrhosis	66408	1	1
303393017	Cirrhosis and chronic liver disease	61048	1	1
2159899016	Autoimmune hepatitis	59533	1	1
48003016	Oesophageal varices	57031	1	1
83834016	Alcoholic fatty liver	56394	1	1
459095018	Hepatitis C antibody test positive	54300	1	1
1786201000006119	Fatty change of liver	54091	1	1
30458014	Transplantation of liver	46820	1	1
820791000006114	Hepatitis B surface antigen positive	45019	1	1
7302012	Viral hepatitis	44541	1	1
61061000006116	Serum hepatitis	40998	1	1
57989014	Portal hypertension	39638	1	1
127487019	Chronic hepatitis	38031	1	1
303465017	Chronic liver disease	33479	1	1
1232261014	Chronic viral hepatitis B	28824	1	1
222891000000119	Infectious hepatitis	28807	0	1
286871011	Viral hepatitis C	28747	1	1
6947461000006115	Alcoholic cirrhosis	28446	1	1
353587018	Alcoholic hepatitis	28179	1	1
6618761000006118	Haemochromatosis	26586	1	1
557071000006112	Chronic hepatitis C	23972	1	1
4044018	Biliary cirrhosis	20956	1	1
1488891017	Hepatitis C viral load	20480	1	1
303614019	Primary sclerosing cholangitis	19768	1	1
2693857014	History of hepatitis B	15880	1	1
221131000000118	Hepatic encephalopathy	15794	1	1
303401012	Chronic active hepatitis	15459	1	1
1216060010	Oesophageal varices with bleeding	15274	1	1
17390014	Acute alcoholic hepatitis	14083	1	1
221111000000114	Cirrhosis - non-alcoholic	12946	1	1
2474329018	Hepatitis C carrier	12515	1	1
2819666013	Nonalcoholic steatohepatitis	11570	1	1
303490015	Other liver disorders	10993	1	1
460651015	Transplanted liver present	9983	1	1
103853010	Hepatic fibrosis	9519	1	1
456800015	Oesophageal varices NOS	8680	1	1
303404016	Autoimmune chronic active hepatitis	8648	1	1
264367013	Viral hepatitis carrier	8022	1	1
1786360015	Hepatitis B nucleic acid detection	7246	1	1
150964016	Gastric varices	6997	1	1
303783014	Disease of liver	6711	1	1
3070251000006116	Hereditary haemochromatosis	6613	1	1
303532011	Liver disease	6518	1	1
268885015	Fibreoptic endoscopic banding of oesophageal varices	6448	1	1
1783609017	Hepatitis C virus genotype	6059	1	1
286882015	Unspecified viral hepatitis	4941	1	1
1786403019	Hepatitis C nucleic acid detection	4783	1	1
603321000006118	Cryptogenic cirrhosis	4611	1	1
354081000000114	Hepatitis B viral load	4539	1	1
303410016	Chronic hepatitis NOS	4523	1	1
303779014	[X]Diseases of the liver	4517	1	1
31211000006119	Orthotopic transplantation of liver	4247	1	1
396393014	Non-alcoholic cirrhosis NOS	4223	1	1
353595019	Alcoholic hepatic failure	4189	1	1
128627011	Biliary atresia	4133	1	1
353596018	Liver failure	3999	1	1
24192017	Oesophageal varices without bleeding	3754	1	1
1739601000000111	Hepatitis C PCR positive	3312	1	1
3574441000006112	Hepatitis B infection	3119	1	1
99549014	Hepatic failure	3001	1	1
359011000006113	[X] Liver failure	2983	1	1
303379012	Acute liver failure	2759	1	1
353594015	Alcoholic fibrosis and sclerosis of liver	2750	1	1
303381014	Acute hepatic failure	2652	1	1
85441018	Hepatorenal syndrome	2622	1	1
303511015	Toxic liver disease with cholestasis	2493	1	1
1686831000000111	Hepatitis C resolved	2395	1	1
2146501000000114	Hepatitis C genotype 3	2328	1	1
886501000006115	Alcoholic liver damage NOS	2287	1	1
2146441000000113	Hepatitis C genotype 1	2151	1	1
453265010	Oesophageal varices in alcoholic cirrhosis of the liver	2123	1	1
303781011	[X]Other and unspecified cirrhosis of liver	1969	1	1
17930015	Chronic viral hepatitis	1933	1	1
49567015	Glycogen storage disease	1902	1	1
270234015	Transplantation of liver NOS	1816	1	1
286879013	Chronic viral hepatitis B without delta-agent	1665	1	1
740781000006110	Liver anomalies	1626	1	1
3515871000006112	Fibrosis of liver	1569	1	1
2118321000000118	Hepatitis C antigen positive	1543	1	1
2855181000006117	Hepatitis B surface antigen	1479	1	1
864281000006116	Liver transplant	1439	1	1
460192013	[V]Viral hepatitis carrier	1401	1	1
303456012	Chronic nonalcoholic liver disease	1379	1	1
2781011000006119	Bleeding oesophageal varices	1368	1	1
257841016	Hepatitis e antigen present	1350	1	1
1766481000006112	Hepatitis C viral ribonucleic acid polymerase chain reaction positive	1350	1	1
53033015	Alagille syndrome	1338	1	1
451442010	Oesophageal varices in cirrhosis of the liver	1302	1	1
820381000006112	Hepatic fibrosis	1213	1	1
3507191000006112	Chronic type B viral hepatitis	1161	1	1
358961000006119	[X] Hepatic failure	1142	1	1
806841000006117	Granulomatous hepatitis	1134	1	1
582851000006119	Congenital viral hepatitis B infection	1073	1	1
451124014	Chronic alcoholic hepatitis	1044	1	1
4661751000006118	Orthotopic liver transplant	892	1	1
303510019	Toxic liver disease	860	1	1
461319017	[V]Assessment for liver transplant	850	1	1
2156971000000110	H/O hepatitis C antiviral drug therapy	844	1	1
353580016	Chronic viral hepatitis B with delta-agent	830	1	1
4656781000006112	Fibreoptic oesophagoscopy and banding of oesophageal varices	784	1	1
821081000006115	Hepatitis non A non B	742	1	1
731231000006114	Macronodular cirrhosis of liver	731	1	1
737961000006116	Ligation of oesophageal varices	728	1	1
3315041000006111	Alcoholic steatosis	725	1	1
268819017	Open injection sclerotherapy to oesophageal varices	708	1	1
69895016	Chronic persistent hepatitis	707	1	1
1544611000006117	Fibreoptic endoscopic rubber band ligation of upper gastrointestinal tract varices	697	1	1
303527010	Other specified liver disorder	683	1	1
303466016	Liver abscess and sequelae of chronic liver disease	667	1	1
3010811000006111	Primary biliary cholangitis	634	1	1
109733012	Serum hepatitis	629	1	1
3523221000006115	Hepatitis C virus	608	1	1
268957016	Rigid oesophagoscopic banding of oesophageal varices	602	1	1
303376017	Acute and subacute liver necrosis	599	1	1
803921000006113	Glycogenosis - glycogen storage disease	598	1	1
353576014	Acute hepatitis C	596	1	1
394251013	Roux-en-Y procedure for biliary atresia	595	1	1
708811000006119	Fibreoptic endoscopic injection sclerotherapy to oesophageal varices	570	1	1
